Date,Open,High,Low,Close,Volume,Adj Close
2012-02-21,7845.63,7845.63,7502.59,7552.6,5907820000,7552.6
2012-02-17,7933.0,8005.96,7811.38,7850.41,5296650000,7850.41
2012-02-16,7931.97,7956.02,7662.04,7932.76,6476460000,7932.76
2012-02-15,7887.05,8042.36,7820.14,7939.53,5926460000,7939.53
2012-02-14,8269.36,8293.17,7835.83,7888.88,6770169600,7888.88
2012-02-13,8281.38,8376.56,8137.7,8270.87,5574370000,8270.87
2012-02-10,8056.38,8360.07,8044.03,8280.59,6484100000,8280.59
2012-02-09,7954.83,8138.65,7811.7,8063.07,6624030000,8063.07
2012-02-08,8070.32,8197.04,7899.79,7956.66,6420450000,7956.66
2012-02-07,7936.99,8157.13,7855.19,8078.36,5886310000,8078.36
2012-02-06,8000.62,8053.43,7796.17,7936.83,5673270000,7936.83
2012-02-03,8149.01,8243.95,7924.88,8000.86,5350580000,8000.86
2012-02-02,8373.06,8373.06,8092.14,8149.01,5067060000,8149.01
2012-02-01,8175.93,8446.33,8175.93,8375.45,6199180000,8375.45
2012-01-31,8117.39,8264.1,8042.6,8174.73,5353260000,8174.73
2012-01-30,8078.04,8278.12,7971.15,8116.03,6039940000,8116.03
2012-01-27,8108.79,8187.88,7856.86,8077.56,5832160000,8077.56
2012-01-26,8224.43,8239.33,7925.75,8122.8,5843830000,8122.8
2012-01-25,7949.17,8286.4,7890.63,8228.1,6467830000,8228.1
2012-01-24,8279.63,8309.02,7920.66,7949.09,6375230000,7949.09
2012-01-20,8215.67,8424.59,8086.01,8281.22,6786040000,8281.22
2012-01-19,8196.24,8326.06,7949.65,8212.49,7807350400,8212.49
2012-01-18,8446.01,8446.01,8097.95,8200.14,5407880000,8200.14
2012-01-17,8474.61,8584.68,8325.59,8448.56,5567460000,8448.56
2012-01-16,8599.26,8653.97,8391.85,8473.97,4725050000,8473.97
2012-01-13,8738.8,8800.45,8541.75,8599.18,4716500000,8599.18
2012-01-12,8769.94,8807.14,8593.52,8742.46,4991550000,8742.46
2012-01-11,8996.94,8996.94,8690.45,8769.7,4704940000,8769.7
2012-01-10,8954.57,9175.19,8868.07,9015.1,5392620000,9015.1
2012-01-09,9027.13,9093.47,8841.7,8952.89,5413910000,8952.89
2012-01-06,8772.25,9080.57,8725.1,9034.69,4048270000,9034.69
2012-01-04,8666.48,8862.65,8634.06,8776.39,4172940000,8776.39
2012-01-03,8487.51,8700.89,8463.7,8668.39,3627800000,8668.39
2012-01-02,8515.87,8575.6,8349.24,8483.93,3323430000,8483.93
2011-12-30,8468.71,8581.58,8434.94,8515.55,1880050000,8515.55
2011-12-28,8428.17,8498.26,8417.02,8468.48,1546550000,8468.48
2011-12-27,8518.65,8647.6,8376.8,8419.49,4051970000,8419.49
2011-12-26,8573.37,8672.06,8351.79,8519.69,4869850000,8519.69
2011-12-23,8606.5,8823.78,8499.06,8579.11,6705310000,8579.11
2011-12-22,8823.94,8946.36,8516.02,8604.99,5675000000,8604.99
2011-12-21,8921.91,9001.96,8701.13,8824.34,5907380000,8824.34
2011-12-20,8565.65,8985.63,8534.03,8924.14,6009780000,8924.14
2011-12-19,8628.81,8738.4,8431.04,8564.53,4982390000,8564.53
2011-12-16,8563.1,8705.43,8272.22,8629.68,5959590000,8629.68
2011-12-15,8750.13,8861.86,8480.18,8565.09,5513840000,8565.09
2011-12-14,8693.0,8942.46,8589.86,8761.42,5942130000,8761.42
2011-12-13,8934.1,8978.14,8591.69,8691.33,5693110000,8691.33
2011-12-12,8637.65,9151.61,8637.65,8934.18,6553600000,8934.18
2011-12-09,8376.08,8722.47,8084.25,8635.42,6165370000,8635.42
2011-12-08,8587.07,8705.98,8222.84,8376.24,5860390000,8376.24
2011-12-07,8409.14,8654.77,8170.19,8591.69,6221880000,8591.69
2011-12-06,8153.75,8490.62,8072.47,8419.09,6170100000,8419.09
2011-12-05,8826.89,8826.89,8123.04,8149.09,6052010000,8149.09
2011-12-02,8690.24,8840.33,8687.05,8829.04,2740860000,8829.04
2011-11-30,8464.49,8760.46,8250.8,8726.61,5793260000,8726.61
2011-11-29,8445.14,8682.09,8244.43,8479.47,6952700000,8479.47
2011-11-28,8048.09,8624.27,8023.32,8443.39,7879440000,8443.39
2011-11-25,7552.37,8121.45,7392.27,8046.42,9495900000,8046.42
2011-11-24,7995.53,8224.35,7464.51,7552.29,9093740000,7552.29
2011-11-23,8420.69,8534.34,7967.33,7997.28,6548600000,7997.28
2011-11-22,8273.34,8540.08,8075.81,8424.75,6679470000,8424.75
