source,target,value
Bayana Junction,Mathura Junction,1
Ramnagar,Moradabad,1
Murtajapur,Achalpur,1
Achalpur,Murtajapur,1
Surendranagar,Botad Junction,1
Botad Junction,Surendranagar,1
Manikpur Junction,Satna,1
Satna,Manikpur Junction,1
Ludhiana Junction,Lohian Khas Junction,1
Fatehpur,Kanpur Central,1
Nagercoil Junction,Trivandrum Kochuveli,1
Lohian Khas Junction,Ludhiana Junction,1
Kanpur Central,Fatehpur,1
Rewari,Delhi Sarai Rohilla,1
Delhi Sarai Rohilla,Rewari,1
Nagpur Junction,Wardha Junction,1
Wardha Junction,Nagpur Junction,1
Bareilly,Roza Junction,1
Anand Junction,Godhra Junction,1
Roza Junction,Bareilly,1
Godhra Junction,Anand Junction,1
Trivandrum Kochuveli,Nagercoil Junction,1
Ujjain Junction,Indore Junction BG,1
Rampur Hat,Barharwa Junction,1
Barharwa Junction,Rampur Hat,1
Gwalior Junction,Bhind,1
Chaparmukh Junction,Silghat Town,1
Bhind,Gwalior Junction,1
Asansol Junction,Purulia Junction,1
Purulia Junction,Asansol Junction,1
Silghat Town,Chaparmukh Junction,1
Madgaon Junction,Karwar,1
Sirsa,Hisar,1
Hisar,Sirsa,1
Kolkata Howrah Junction,Memari,1
Nautanwa,Gorakhpur Junction,1
Memari,Kolkata Howrah Junction,1
Chennai Central,Tiruttani,1
Gorakhpur Junction,Nautanwa,1
Old Delhi,Rewari,1
Rewari,Old Delhi,1
Mavli Junction,Bari Sadri,1
Bari Sadri,Mavli Junction,1
Cuttack,Paradip,1
Bhiwani,Rewari,1
Rewari,Bhiwani,1
Sullurupeta,Chennai Central,1
Chennai Beach,Tiruttani,1
Cheruvathur,Mangalore Central,1
Paradip,Cuttack,1
Sullurupeta,Chennai Beach,1
Chopan,Shakti Nagar,1
Tiruttani,Chennai Central,1
Shakti Nagar,Chopan,1
Pilibhit Junction,Shahjahanpur,1
Shahjahanpur,Pilibhit Junction,1
Bareilly,Lal Kuan,1
Bareilly MG,Lal Kuan,1
Lal Kuan,Bareilly MG,1
Dehri On Sone,Gaya Junction,1
Gaya Junction,Dehri On Sone,1
Kollam Junction,Alappuzha,1
