constituency,category,name,sex,party,votes,color
Anaikattu,GEN,Kalaiarasu.M.,M,PMK,80233,#F1DF19
Kilpennathur,GEN,Aranganathan.A.K,M,AIADMK,83663,#9DBC2A
Pollachi,GEN,Muthukaruppannasamy M K,M,AIADMK,81446,#9DBC2A
Tindivanam,(SC),Haridoss.D,M,AIADMK,80553,#9DBC2A
Polur,GEN,Jayasudha.L,F,AIADMK,92391,#9DBC2A
Vaniyambadi,GEN,Sampath Kumar .Govi,M,AIADMK,80563,#9DBC2A
Madurai East,GEN,Tamilarasan K,M,AIADMK,99447,#9DBC2A
Vellore,GEN,Vijay.Dr.V.S.,M,AIADMK,71522,#9DBC2A
Arani,GEN,Babu Murugavel.R.M,M,DMDK,88967,#8064a2
Cheyyar,GEN,Subramanian.N,M,AIADMK,96180,#9DBC2A
Vandavasi,(SC),Gunaseelan.V,M,AIADMK,84529,#9DBC2A
Coonoor,GEN,Ramachandran.K,M,DMK,61302,#800000
Chidambaram,GEN,K.Balakrishnan,M,CPM,72054,#DE0000
Valparai,(SC),Arumugham M,M,CPI,61171,#F05A00
Dr. Radhakrishnan Nagar,GEN,Vetriivel P,M,AIADMK,83777,#9DBC2A
Vilathikulam,GEN,Markandayan. V,M,AIADMK,72753,#9DBC2A
Perambur,GEN,Soundararajan A,M,CPM,84668,#DE0000
Ramanathapuram,GEN,Jawahirulla,M,MAMAK,65831,#0C6965
Periyakulam,(SC),Laser.A,M,CPM,76687,#DE0000
Killiyur,GEN,John Jacob.S,M,INC,56932,#019733
Erode West,GEN,Ramalingam K.V,M,AIADMK,90789,#9DBC2A
Krishnagiri,GEN,K.P.Munusamy,M,AIADMK,89776,#9DBC2A
Sivakasi,GEN,Rajenthra Bhalaji.K.T,M,AIADMK,87333,#9DBC2A
Tirunelveli,GEN,Nainar Nagenthran,M,AIADMK,86220,#9DBC2A
Madavaram,GEN,Moorthy V,M,AIADMK,115468,#9DBC2A
Thiruvallur,GEN,Ramana B.V,M,AIADMK,91337,#9DBC2A
Gummidipoondi,GEN,Sekar C H,M,DMDK,97708,#8064a2
Shozhinganallur,GEN,K.P. Kandan,M,AIADMK,145385,#9DBC2A
Pallavaram,GEN,P. Dhansingh,M,AIADMK,105631,#9DBC2A
Kancheepuram,GEN,V. Somasundaram,M,AIADMK,102710,#9DBC2A
Karaikudi,GEN,Palanichamy.Cholan.Ct,M,AIADMK,86104,#9DBC2A
Sivaganga,GEN,Gunasekaran.S,M,CPI,75176,#F05A00
Cheyyur,(SC),V. S . Raji,M,AIADMK,78307,#9DBC2A
Uthiramerur,GEN,P. Ganesan,M,AIADMK,86912,#9DBC2A
Maduranthakam,(SC),S. Kanitha,F,AIADMK,79256,#9DBC2A
Manamadurai,(SC),Gunasekaran.M,M,AIADMK,83535,#9DBC2A
