field	occupation	n	count	expected	diff
JOURNALISM	SAL-INSURANCE SALES AGENTS	73	2702	1837.68430644605	1.47032871234857
JOURNALISM	SAL-REAL ESTATE BROKERS AND SALES AGENTS	78	2951	1998.40093269534	1.47668065587812
JOURNALISM	SAL-RETAIL SALESPERSONS	171	6212	4363.62008297326	1.42358864472163
JOURNALISM	SAL-SALES REPRESENTATIVES, SERVICES, ALL OTHER	81	2694	2300.10538154983	1.17125068338597
JOURNALISM	SAL-SALES REPRESENTATIVES, WHOLESALE AND MANUFACTURING	164	5743	5170.43807942201	1.11073760323264
JOURNALISM	SAL-SECURITIES, COMMODITIES, AND FINANCIAL SERVICES SALES	31	1072	1615.79579810743	0.663450171894015
MASS MEDIA	BUS-HUMAN RESOURCES WORKERS	58	1835	1685.25474522191	1.08885615376705
MASS MEDIA	BUS-MANAGEMENT ANALYSTS	54	2021	2053.29761657636	0.984270367668274
MASS MEDIA	BUS-MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS	67	2296	885.774762160941	2.59208107758531
MASS MEDIA	CMM-COMPUTER OCCUPATIONS, ALL OTHER	31	1255	804.472069295595	1.56002930107802
MASS MEDIA	CMM-COMPUTER PROGRAMMERS	20	679	1497.46822555826	0.453431991685076
MASS MEDIA	CMM-COMPUTER SUPPORT SPECIALISTS	35	1013	1020.79230291082	0.992366416862075
MASS MEDIA	CMM-COMPUTER SYSTEMS ANALYSTS	31	1012	1552.94869552157	0.651663511433718
MASS MEDIA	CMM-SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE	49	1722	3758.79921260038	0.458125029458198
MASS MEDIA	CMS-CLERGY	30	742	1089.93006984654	0.680777620994047
MASS MEDIA	CMS-COUNSELORS	41	1345	2111.63671276244	0.636946683049697
MASS MEDIA	CMS-SOCIAL WORKERS	28	961	2695.26414186595	0.356551324626273
MASS MEDIA	EDU-ELEMENTARY AND MIDDLE SCHOOL TEACHERS	177	5670	14137.0837529996	0.4010728166477
MASS MEDIA	EDU-OTHER TEACHERS AND INSTRUCTORS	31	916	1157.2076278064	0.791560630944308
MASS MEDIA	EDU-POSTSECONDARY TEACHERS	83	2703	3848.18908516581	0.702408312112224
MASS MEDIA	EDU-PRESCHOOL AND KINDERGARTEN TEACHERS	9	238	963.24143086705	0.24708239530952
MASS MEDIA	EDU-SECONDARY SCHOOL TEACHERS	39	1119	3215.40799854792	0.348011823229071
MASS MEDIA	EDU-SPECIAL EDUCATION TEACHERS	16	490	928.354630328462	0.527815539441681
MASS MEDIA	EDU-TEACHER ASSISTANTS	14	582	723.337530913943	0.804603625730077
MASS MEDIA	ENG-CIVIL ENGINEERS	2	57	1135.79946010129	0.050184915561517
MASS MEDIA	ENG-ELECTRICAL AND ELECTRONICS ENGINEERS	3	52	816.936520399305	0.0636524365131617
MASS MEDIA	ENG-MECHANICAL ENGINEERS	1	49	724.556650920714	0.0676275622309648
MASS MEDIA	ENG-MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS	14	695	1591.48760125286	0.436698344022837
MASS MEDIA	ENT-DESIGNERS	125	4466	1725.42790234159	2.58834344450972
MASS MEDIA	FIN-ACCOUNTANTS AND AUDITORS	52	1710	3642.07898160729	0.46951205853459
MASS MEDIA	FIN-CREDIT COUNSELORS AND LOAN OFFICERS	14	579	707.756967034305	0.818077429073101
MASS MEDIA	FIN-PERSONAL FINANCIAL ADVISORS	17	539	1086.07302637684	0.496283386945089
MASS MEDIA	HLS-NURSING, PSYCHIATRIC, AND HOME HEALTH AIDES	6	175	724.493592989329	0.241548029814775
MASS MEDIA	LGL-LAWYERS, AND JUDGES, MAGISTRATES, AND OTHER JUDICIAL	60	2043	4072.8277108962	0.501617093827534
MASS MEDIA	MED-CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS	1	65	728.765767840643	0.0891918952129121
MASS MEDIA	MED-PHARMACISTS	1	45	971.696448500216	0.0463107589509627
MASS MEDIA	MED-PHYSICAL THERAPISTS	2	78	743.41097240474	0.104921776642185
MASS MEDIA	MED-PHYSICIANS AND SURGEONS	3	112	3285.28144134978	0.034091447566813
MASS MEDIA	MED-REGISTERED NURSES	22	767	6262.02042443421	0.122484429627088
MASS MEDIA	MGR-CHIEF EXECUTIVES AND LEGISLATORS	53	1691	2599.34251857459	0.650549124602209
MASS MEDIA	MGR-COMPUTER AND INFORMATION SYSTEMS MANAGERS	42	1342	1775.8900119322	0.755677429898873
MASS MEDIA	MGR-CONSTRUCTION MANAGERS	6	267	967.623957098287	0.275933639345475
MASS MEDIA	MGR-EDUCATION ADMINISTRATORS	75	2475	2783.88680959954	0.889044767001869
MASS MEDIA	MGR-FINANCIAL MANAGERS	44	1459	2527.0045616211	0.577363421561865
MASS MEDIA	MGR-FOOD SERVICE MANAGERS	30	1195	920.761404424221	1.29783893444933
MASS MEDIA	MGR-GENERAL AND OPERATIONS MANAGERS	69	2092	2120.14953349937	0.986722854659732
MASS MEDIA	MGR-HUMAN RESOURCES MANAGERS	26	871	876.373875557004	0.99386805596688
MASS MEDIA	MGR-MARKETING AND SALES MANAGERS	149	5004	2564.76575286531	1.95105537198071
MASS MEDIA	MGR-MEDICAL AND HEALTH SERVICES MANAGERS	15	538	1543.3638899511	0.348589210556848
MASS MEDIA	MGR-MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE	200	6769	7402.20766559436	0.914456916882038
MASS MEDIA	MGR-PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION	30	1154	730.436803022337	1.5798765823752
