rank,image,Country,overall_life,male,female,url
96, //upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/45px-Flag_of_Saudi_Arabia.svg.png,Saudi Arabia,74.3,72.4,76.2,http://en.wikipedia.org/wiki/Saudi_Arabia
97, //upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/45px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,74.2,72,76.4,http://en.wikipedia.org/wiki/China
98, //upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Samoa.svg/46px-Flag_of_Samoa.svg.png,Samoa,74,71,77,http://en.wikipedia.org/wiki/Samoa
99, //upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Lebanon.svg/45px-Flag_of_Lebanon.svg.png,Lebanon,74,72.5,76.5,http://en.wikipedia.org/wiki/Lebanon
100, //upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Palau.svg/46px-Flag_of_Palau.svg.png,Palau,74,70,78,http://en.wikipedia.org/wiki/Palau
101, //upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/45px-Flag_of_Romania.svg.png,Romania,74,70,78,http://en.wikipedia.org/wiki/Romania
102, //upload.wikimedia.org/wikipedia/commons/thumb/8/82/Flag_of_Honduras.svg/46px-Flag_of_Honduras.svg.png,Honduras,74,72,76,http://en.wikipedia.org/wiki/Honduras
103, //upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/42px-Flag_of_Albania.svg.png,Albania,74,72,76,http://en.wikipedia.org/wiki/Albania
104, //upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Serbia.svg/45px-Flag_of_Serbia.svg.png,Serbia,74,71,77,http://en.wikipedia.org/wiki/Serbia
105, //upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Jamaica.svg/46px-Flag_of_Jamaica.svg.png,Jamaica,74.8,71.5,78.2,http://en.wikipedia.org/wiki/Jamaica
106, //upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/46px-Flag_of_Iran.svg.png,Iran,73.5,72,75,http://en.wikipedia.org/wiki/Iran
107, //upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flag_of_the_Marshall_Islands.svg/46px-Flag_of_the_Marshall_Islands.svg.png,Marshall Islands,73.5,69,75,http://en.wikipedia.org/wiki/Marshall_Islands
108, //upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/45px-Flag_of_Algeria.svg.png,Algeria,73.3,71.8,74.8,http://en.wikipedia.org/wiki/Algeria
109, //upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/45px-Flag_of_Egypt.svg.png,Egypt,73.2,71.2,75.2,http://en.wikipedia.org/wiki/Egypt
110, //upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_the_Dominican_Republic.svg/46px-Flag_of_the_Dominican_Republic.svg.png,Dominican Republic,73.2,72,74.4,http://en.wikipedia.org/wiki/Dominican_Republic
111, //upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Fiji.svg/46px-Flag_of_Fiji.svg.png,Fiji,73,70,76,http://en.wikipedia.org/wiki/Fiji
112, //upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/46px-Flag_of_the_Philippines.svg.png,Philippines,73,70,76,http://en.wikipedia.org/wiki/Philippines
113, //upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_the_Solomon_Islands.svg/46px-Flag_of_the_Solomon_Islands.svg.png,Solomon Islands,73,71,75,http://en.wikipedia.org/wiki/Solomon_Islands
114, //upload.wikimedia.org/wikipedia/commons/thumb/3/30/Flag_of_Nauru.svg/46px-Flag_of_Nauru.svg.png,Nauru,73,70,76,http://en.wikipedia.org/wiki/Nauru
115, //upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/45px-Flag_of_Morocco.svg.png,Morocco,73,71,75,http://en.wikipedia.org/wiki/Morocco
116, //upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/46px-Flag_of_Belarus.svg.png,Belarus,72.5,68.5,77.5,http://en.wikipedia.org/wiki/Belarus
117, //upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/45px-Flag_of_Indonesia.svg.png,Indonesia,72,68,76,http://en.wikipedia.org/wiki/Indonesia
118, //upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Sao_Tome_and_Principe.svg/46px-Flag_of_Sao_Tome_and_Principe.svg.png,Sao Tome and Principe,72,68,76,http://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
119, //upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Vanuatu.svg/46px-Flag_of_Vanuatu.svg.png,Vanuatu,72,71,74,http://en.wikipedia.org/wiki/Vanuatu
120, //upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/46px-Flag_of_Azerbaijan.svg.png,Azerbaijan,71.5,69.5,74.5,http://en.wikipedia.org/wiki/Azerbaijan
121, //upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Guatemala.svg/46px-Flag_of_Guatemala.svg.png,Guatemala,71.5,68,75,http://en.wikipedia.org/wiki/Guatemala
122, //upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/45px-Flag_of_Ukraine.svg.png,Ukraine,71,65.5,76.5,http://en.wikipedia.org/wiki/Ukraine
