constituency,file_src,alliance
aruppukottai,aruppukottai/pmk_aravindkumar.jpg,
aruppukottai,aruppukottai/naamtamilar_ravimariya.jpg,
aruppukottai,aruppukottai/dmk_kk_ss_ramachandran.jpg,
aruppukottai,aruppukottai/bjp_r_vetrivel.jpg,
aruppukottai,aruppukottai/admk_vaigai_selvan.jpg,
aruppukottai,aruppukottai/cpi_senthikumar.jpg,
srirangam,srirangam/pmk_uma.jpg,
srirangam,srirangam/bjp_rajesh.jpg,
srirangam,srirangam/admk_valarmathi.jpg,
srirangam,srirangam/dmk_palaniyandi.jpg,
srirangam,srirangam/naam_rasamanikkam.jpg,
srirangam,srirangam/cpi_pushpavaithiyalingam.jpg,
viruthachallam,viruthachallam/pmk.jpg,
viruthachallam,viruthachallam/ijk.jpg,
viruthachallam,viruthachallam/dmdk.jpg,
viruthachallam,viruthachallam/ntk.jpg,
viruthachallam,viruthachallam/admk.jpg,
viruthachallam,viruthachallam/dmk.jpg,
kunnam,kunnam/pmk.jpg,
kunnam,kunnam/ijk.jpg,
kunnam,kunnam/viduthali_siruthaikal.jpg,
kunnam,kunnam/admk.jpg,
kunnam,kunnam/dmk.jpg,
kunnam,kunnam/nam_thamilar.jpg,
viralimalai,viralimalai/naam_srithar.jpg,
viralimalai,viralimalai/dmk_m_pazhaniyappan.jpg,
viralimalai,viralimalai/ijk_muthukumar.jpg,
viralimalai,viralimalai/pmk_kanagaraj.jpg,
viralimalai,viralimalai/dmdk_ar_karthikeyan.jpg,
viralimalai,viralimalai/admk_vijayabaskar.jpg,
ramnad,ramnad/nam_ramnadu.jpg,
ramnad,ramnad/dmdk_ramnad.jpg,
ramnad,ramnad/mmk_ramnad.jpg,
ramnad,ramnad/pmk_ramnadu.jpg,
ramnad,ramnad/bjp_ramnadu.jpg,
ramnad,ramnad/admk_ramnad.jpg,
tirupathur,tirupathur/admk kumar.jpg,
tirupathur,tirupathur/pmk raj.jpg,
tirupathur,tirupathur/naam tamilar.jpg,
tirupathur,tirupathur/dmdk harikrishnana.jpg,
tirupathur,tirupathur/dmk nalathambi.jpg,
tirupathur,tirupathur/bjp_govindaraj.jpg,
kv kuppam,kv kuppam/kv_kuppam_neela_archana_naam.jpg,
kv kuppam,kv kuppam/dmdk_deviyamal.jpg,
kv kuppam,kv kuppam/dmk_ammulu.jpg,
kv kuppam,kv kuppam/lokanathan_kilavaithiyan_kuppam_admk.jpg,
kv kuppam,kv kuppam/pmk_kusulakuamar.jpg,
aranthangi,aranthangi/ijk_gemniganesan.jpg,
