constituency,S,District,candidate,party,Alliance,votes
Nilakkottai,S,Dindigul,Anbalaghan.M,DMK,DMK+,0
Natham,N,Dindigul,Andi Ambalam,DMK,DMK+,0
Dindigul,N,Dindigul,Bazeer Mohmed,DMK,DMK+,0
Vedasandur,N,Dindigul,Sivasakthi Gownder,INC,DMK+,0
Aravakurichi,N,Karur,Palani Swamy.K.C,DMK,DMK+,0
Karur,N,Karur,Subramaniam,INC,DMK+,0
Krishnarajapuram,S,Karur,Iyer.V.K.,PT,DMK+,0
Kulithalai,N,Karur,Ramar,DMK,DMK+,0
Manapparai,N,Tiruchirappalli,Mohmed Nizam,IUML,DMK+,0
Srirangam,N,Tiruchirappalli,Palani Andi,DMK,DMK+,0
Tiruchirappalli (West),N,Tiruchirappalli,Nehru.K.N,DMK,DMK+,0
Tiruchirappalli (East),N,Tiruchirappalli,Jarome Aarokya Raj,INC,DMK+,0
Thiruverumbur,N,Tiruchirappalli,Anbil Mahesh Poyya Mozhi,DMK,DMK+,0
Lalgudi,N,Tiruchirappalli,Soundara Pandiyan,DMK,DMK+,0
Manachanallur,N,Tiruchirappalli,Ganeshan,DMK,DMK+,0
Musiri,N,Tiruchirappalli,Vijaya Babu,INC,DMK+,0
Thuraiyur,S,Tiruchirappalli,Stalin Kumar,DMK,DMK+,0
Perambalur,S,Perambalur,Sivagami,SSP,DMK+,0
Kunnam,N,Perambalur,Thanga Durai Raj,DMK,DMK+,0
Ariyalur,N,Ariyalur,Siva Shankar,DMK,DMK+,0
Jayankondam,N,Ariyalur,Rajendran.G,INC,DMK+,0
Tittakudi,S,Cuddalore,Saba,DMK,DMK+,0
Vridhachalam,N,Cuddalore,Thanga Aananthan,DMK,DMK+,0
Neyveli,N,Cuddalore,Rajendran,DMK,DMK+,0
Panruti,N,Cuddalore,Kumar,ViSK,DMK+,0
Cuddalore,N,Cuddalore,Puhalendhi,DMK,DMK+,0
Kurinjipadi,N,Cuddalore,Paneer Selvam.M.R.K,DMK,DMK+,0
Bhuvanagiri,N,Cuddalore,Saravanan,DMK,DMK+,0
Chidambaram,N,Cuddalore,Senthil Kumar,DMK,DMK+,0
Kattumannarkoil,S,Cuddalore,Mani Rathnam,INC,DMK+,0
Sirkazhi,S,Nagapattinam,Killai Raveendhran,DMK,DMK+,0
Mayuram,N,Nagapattinam,Anbalagan.K,DMK,DMK+,0
Poompuhar,N,Nagapattinam,Shajahan,IUML,DMK+,0
Nagapattinam,N,Nagapattinam,Jabrulla,MMK,DMK+,0
Kilvelur,S,Nagapattinam,Mathi Vanan,DMK,DMK+,0
Vedaranyam,N,Nagapattinam,Rajendran.P.V,INC,DMK+,0
Thiruthuraipoondi,S,Thiruvarur,Maheshwari,DMK,DMK+,0
Mannargudi,N,Thiruvarur,Raja.T.R.P,DMK,DMK+,0
Thiruvarur,N,Thiruvarur,M.Karuna Nithi,DMK,DMK+,0
Nannilam,N,Thiruvarur,Durai Velan,INC,DMK+,0
Thiruvidaimarudur,S,Thanjavur,Chezhiyan,DMK,DMK+,0
Kumbakonam,N,Thanjavur,Anbalagan.K,DMK,DMK+,0
Papanasam,N,Thanjavur,Loganathan,INC,DMK+,0
Thiruvaiyaru,N,Thanjavur,Chandra Sekaran,DMK,DMK+,0
Thanjavur,N,Thanjavur,Anjugam Boopathi,DMK,DMK+,0
Orathanadu,N,Thanjavur,Rama Chandran.N,DMK,DMK+,0
Pattukkottai,N,Thanjavur,Mahendran,INC,DMK+,0
Peravurani,N,Thanjavur,Ashok Kumar,DMK,DMK+,0
Gandharvakottai,S,Pudukkottai,Anbarasan,DMK,DMK+,0
Viralimalai,N,Pudukkottai,Palaniappan,DMK,DMK+,0
Pudukkottai,N,Pudukkottai,Periyannan Arasu,DMK,DMK+,0
Thirumaiyam,N,Pudukkottai,Raghupathi,DMK,DMK+,0
Alangudi,N,Pudukkottai,Meyya Nathan.Siva,DMK,DMK+,0
Aranthangi,N,Pudukkottai,Ramachandran.S.T,INC,DMK+,0
Karaikudi,N,Sivaganga,Rama Swamy.K.R,INC,DMK+,0
Tirupathur,N,Sivaganga,Periya Karuppan,DMK,DMK+,0
Sivaganga,N,Sivaganga,Sathya Nathan,DMK,DMK+,0
Manamadurai,S,Sivaganga,Chitra Selvi,DMK,DMK+,0
Melur,N,Madurai,Raghupathi,DMK,DMK+,0
Madurai East,N,Madurai,Moorthy,DMK,DMK+,0
Sholavandan,S,Madurai,Bhavani.C,DMK,DMK+,0
Madurai North,N,Madurai,Karthikeyan,INC,DMK+,0
Madurai South,N,Madurai,Bala Chandran,DMK,DMK+,0
Madurai Central,N,Madurai,Thiyagarajan.P.T.R.P,DMK,DMK+,0
Madurai West,N,Madurai,Thalapathy,DMK,DMK+,0
Thirupparankundram,N,Madurai,Mani Maran,DMK,DMK+,0
Thirumangalam,N,Madurai,Jaya Raman,INC,DMK+,0
Usilampatti,N,Madurai,Ela Mahizhan,DMK,DMK+,0
Andipatti,N,Theni,Mookaiya,DMK,DMK+,0
Periyakulam,S,Theni,Anbalagan,DMK,DMK+,0
Bodinayakkanur,N,Theni,Lakshmanan,DMK,DMK+,0
Cumbum,N,Theni,Rama Krishnan,DMK,DMK+,0
Rajapalayam,N,Virudhunagar,Thanga Pandiyan,DMK,DMK+,0
Srivilliputhur,S,Virudhunagar,Muthu Kumar,PT,DMK+,0
Sattur,N,Virudhunagar,Srinivasan,DMK,DMK+,0
Sivakasi,N,Virudhunagar,Raja Chokkar,INC,DMK+,0
Virudhunagar,N,Virudhunagar,Srinivasan,DMK,DMK+,0
Aruppukkottai,N,Virudhunagar,Ramachandran.K.K.S.S.R,DMK,DMK+,0
Tiruchuli,N,Virudhunagar,Thangam Thennarasu,DMK,DMK+,0
Paramakudi,S,Ramanathapuram,Thisai Veeran,DMK,DMK+,0
Tiruvadanai,N,Ramanathapuram,Dhivagaran,DMK,DMK+,0
Ramanathapuram,N,Ramanathapuram,Javahirulla,MMK,DMK+,0
Mudhukulathur,N,Ramanathapuram,Malaysia Pandiyan,INC,DMK+,0
Vilathikulam,N,Thoothukkudi,Beema Raj,DMK,DMK+,0
Thoothukkudi,N,Thoothukkudi,Geetha Jeevan,DMK,DMK+,0
Tiruchendur,N,Thoothukkudi,Anitha Radha Krishnan,DMK,DMK+,0
Srivaikuntam,N,Thoothukkudi,Rani Venkatesan,INC,DMK+,0
Ottapidaram,S,Thoothukkudi,Krishna Swamy,PT,DMK+,0
Kovilpatti,N,Thoothukkudi,Subramanaian,DMK,DMK+,0
Sankarankovil,S,Tirunelveli,Anbhumani Gneshan,DMK,DMK+,0
Vasudevanallur,S,Tirunelveli,Anbazhagan,PT,DMK+,0
Kadayanallur,N,Tirunelveli,Mohmed Abu Bakker,IUML,DMK+,0
Tenkasi,N,Tirunelveli,Palani Nadar,INC,DMK+,0
Alangulam,N,Tirunelveli,Bhoongothai,DMK,DMK+,0
Tirunelveli,N,Tirunelveli,Lakshmanan,DMK,DMK+,0
Ambasamudram,N,Tirunelveli,Aavudayappan,DMK,DMK+,0
Palayamkottai,N,Tirunelveli,Maidheen Khan,DMK,DMK+,0
Nanguneri,N,Tirunelveli,Vasantha Kumar,INC,DMK+,0
Radhapuram,N,Tirunelveli,Appavu,DMK,DMK+,0
Kanniyakumari,N,Kanniyakumari,Austin,DMK,DMK+,0
Nagercoil,N,Kanniyakumari,Suresh Rajan,DMK,DMK+,0
Kollachal,N,Kanniyakumari,Prnce,INC,DMK+,0
Padmanabhapuram,N,Kanniyakumari,Mano Thangaraj,DMK,DMK+,0
Vilavancode,N,Kanniyakumari,Vijaya Dharani,INC,DMK+,0
Killiyoor,N,Kanniyakumari,Rajesh,INC,DMK+,0
Gummidipoondi,N,Thiruvallur,Geetha,DMDK,PWF+,0
Ponneri,N,Thiruvallur,Meejore Senthil,VCK,PWF+,0
Tiruttani,N,Thiruvallur,Krishna Moorthy,DMDK,PWF+,0
Thiruvallur,N,Thiruvallur,Bala Singam,VCK,PWF+,0
Poonamallee,S,Thiruvallur,Kandan,MDMK,PWF+,0
Avadi,N,Thiruvallur,Andhiridas,MDMK,PWF+,0
Maduravoyal,N,Thiruvallur,Beemarao.K,CPI,PWF+,0
Ambattur,N,Thiruvallur,Kanstantain,DMDK,PWF+,0
Madavaram,N,Thiruvallur,Kannan.A.S,CPM,PWF+,0
Thiruvottiyur,N,Thiruvallur,Aarumugam,DMDK,PWF+,0
Dr. Radhakrishnan Nagar,N,Chennai,Vasanthi Devi,VCK,PWF+,0
Perambur,N,Chennai,Soundar Rajan.A,CPI,PWF+,0
Kolathur,N,Chennai,Mathi Vanan,DMDK,PWF+,0
Villivakkam,N,Chennai,Pandiyan,DMDK,PWF+,0
Thiru-Vi-Ka-Nagar,S,Chennai,P.Suganthi,CPI,PWF+,0
Egmore,S,Chennai,Prabu,DMDK,PWF+,0
Royapuram,N,Chennai,Biju Jakko,TMC,PWF+,0
Harbour,N,Chennai,Murath Bhuhari,MDMK,PWF+,0
Chepauk,N,Chennai,Abdulla Set,DMDK,PWF+,0
Thousand Lights,N,Chennai,Ambikapathy,MDMK,PWF+,0
Anna Nagar,N,Chennai,Malaika Thayazhan,MDMK,PWF+,0
Virugampakkam,N,Chennai,Partha Sarathy,DMDK,PWF+,0
T-Nagar,N,Chennai,Elumalai.S,CPM,PWF+,0
Saidapet,N,Chennai,Kumar,DMDK,PWF+,0
Mylapore,N,Chennai,Munavar Batcha.A.S,TMC,PWF+,0
Velachery,N,Chennai,Raja,DMDK,PWF+,0
Shozhinganallur,N,Kancheepuram,Paneer Das.Era,VCK,PWF+,0
Alandur,N,Kancheepuram,Chandran,DMDK,PWF+,0
Sriperumbudur,S,Kancheepuram,Veera Kumar,VCK,PWF+,0
Pallavaram,N,Kancheepuram,Veera Lakshmi,MDMK,PWF+,0
Tambaram,N,Kancheepuram,Chezhian,DMDK,PWF+,0
Chengalpattu,N,Kancheepuram,Murugeshan,DMDK,PWF+,0
Thiruporur,N,Kancheepuram,Mallai Sathya,MDMK,PWF+,0
Cheyyur,S,Kancheepuram,Ezhil Caroline,VCK,PWF+,0
Maduranthakam,S,Kancheepuram,Thennarasu,DMDK,PWF+,0
Uthiramerur,N,Kancheepuram,Rajendran,DMDK,PWF+,0
Kancheepuram,N,Kancheepuram,Egambaram,DMDK,PWF+,0
Arakkonam,S,Vellore,Ilan Cheghuvara,VCK,PWF+,0
Sholingur,N,Vellore,Manoharan,DMDK,PWF+,0
Katpadi,N,Vellore,Sivanantham.T.V,TMC,PWF+,0
Ranipet,N,Vellore,Nithyanantham,DMDK,PWF+,0
Arcot,N,Vellore,Udhaya Kumar,MDMK,PWF+,0
Vellore,N,Vellore,Abdhul Rahman,VCK,PWF+,0
Anaicut,N,Vellore,Palani.P.S,TMC,PWF+,0
Kilvaithinankuppam,S,Vellore,Devi Ammal,DMDK,PWF+,0
Gudiyattam,S,Vellore,Linga Muthu.K,CPM,PWF+,0
Vaniyambadi,N,Vellore,Gnana Sekaran.C,TMC,PWF+,0
Ambur,N,Vellore,Vasu,DMDK,PWF+,0
Jolarpet,N,Vellore,Byas Batcha,DMDK,PWF+,0
Tiruppattur,N,Vellore,Hari Krishnan,DMDK,PWF+,0
Uthangarai,S,Krishnagiri,Krishnan.C @ Kani Amuthan,VCK,PWF+,0
Bargur,N,Krishnagiri,Rajendran.M.R,TMC,PWF+,0
Krishnagiri,N,Krishnagiri,Jaya Prakash.R,TMC,PWF+,0
Veppanahalli,N,Krishnagiri,Nagaraj,DMDK,PWF+,0
Hosur,N,Krishnagiri,Chandran,DMDK,PWF+,0
Thalli,N,Krishnagiri,Ramachandran.T,CPM,PWF+,0
Palacodu,N,Dharmapuri,Kaveri Varman ,DMDK,PWF+,0
Pennagaram,N,Dharmapuri,N.Nanjappan,CPM,PWF+,0
Dharmapuri,N,Dharmapuri,Dr.Elangovan,DMDK,PWF+,0
Pappireddippatti,N,Dharmapuri,Basker,DMDK,PWF+,0
Harur,S,Dharmapuri,Kovendhan,VCK,PWF+,0
Chengam,S,Tiruvannamalai,Kalai Arasi,DMDK,PWF+,0
Tiruvannamalai,N,Tiruvannamalai,Manigandan,DMDK,PWF+,0
Kilpennathur,N,Tiruvannamalai,Jothi.K,CPM,PWF+,0
Kalasapakkam,N,Tiruvannamalai,Nehru,DMDK,PWF+,0
Polur,N,Tiruvannamalai,Selvan.P,CPI,PWF+,0
Arani,N,Tiruvannamalai,Babu Murugavel,DMDK,PWF+,0
Cheyyar,N,Tiruvannamalai,Saravanan,DMDK,PWF+,0
Vandavasi,S,Tiruvannamalai,Metha Ramesh,VCK,PWF+,0
Gingee,N,Villupuram,Mani,MDMK,PWF+,0
Mailam,N,Villupuram,Balaji.S.S,VCK,PWF+,0
Tindivanam,S,Villupuram,Udhaya Kumar,DMDK,PWF+,0
Vanur,S,Villupuram,Ravi Kumar,VCK,PWF+,0
Villupuram,N,Villupuram,Venkateshan,DMDK,PWF+,0
Vikravandi,N,Villupuram,Rama Moorthy.R,CPI,PWF+,0
Tirukkoyilur,N,Villupuram,Ganesh.T.G,TMC,PWF+,0
Ulundurpet,N,Villupuram,Vijaya Kanth,DMDK,PWF+,0
Rishivandiyam,N,Villupuram,Vincent Jaya Raj,DMDK,PWF+,0
Sankarapuram,N,Villupuram,Govindhan,DMDK,PWF+,0
Kallakurichi,S,Villupuram,Rama Moorthy,VCK,PWF+,0
Gangavalli,S,Villupuram,Subha,DMDK,PWF+,0
Attur,S,Salem,Aathithyan,VCK,PWF+,0
Yercaud,S,Salem,Kumar,DMDK,PWF+,0
Omalur,N,Salem,Elangovan,DMDK,PWF+,0
Mettur,N,Salem,Bhoopathi,DMDK,PWF+,0
Edappadi,N,Salem,Thanga Velu.P,CPI,PWF+,0
Sankari,N,Salem,Selva Kumar.K,TMC,PWF+,0
Salem (West),N,Salem,Mohan Raj,DMDK,PWF+,0
Salem (North),N,Salem,Deva Das.R,TMC,PWF+,0
Salem (South),N,Salem,Jaya Chandran,VCK,PWF+,0
Veerapandi,N,Salem,Mohan.A,CPM,PWF+,0
Rasipuram,S,Namakkal,Arjun.K,VCK,PWF+,0
Senthamangalam,S,Namakkal,Sathya,DMDK,PWF+,0
Namakkal,N,Namakkal,Elango.N,TMC,PWF+,0
Paramathi-Velur,N,Namakkal,Muthu Kumar,DMDK,PWF+,0
Tiruchengodu,N,Namakkal,Vijaya Kamal,DMDK,PWF+,0
Kumarapalayam,N,Erode,Matheswaran,DMDK,PWF+,0
Erode (East),N,Erode,Chairman.Ponn.Kumar,DMDK,PWF+,0
Erode (West),N,Erode,Murugan,MDMK,PWF+,0
Modakkurichi,N,Erode,Ramesh,DMDK,PWF+,0
Dharapuram,S,Tiruppur,Thiru Valluvan,MDMK,PWF+,0
Kangayam,N,Tiruppur,Muthu Venkateshwaran,DMDK,PWF+,0
Perundurai,N,Erode,Shanmugam.V.P,TMC,PWF+,0
Bhavani,N,Erode,Gopal,DMDK,PWF+,0
Andhiyur,N,Tiruppur,Raja Sambath,DMDK,PWF+,0
Gobichettipalayam,N,Tiruppur,Munu Swamy.A.M,CPI,PWF+,0
Bhavanisagar,S,Erode,Sundaram.P.L.,CPM,PWF+,0
Udhagamandalam,N,Nilgiris,King Narsesus,DMDK,PWF+,0
Gudalur,S,Nilgiris,Tamil Mani.P,CPI,PWF+,0
Coonoor,N,Nilgiris,Chidambaram,DMDK,PWF+,0
Mettuppalayam,N,Coimbatore,Shanmuga Sundaram.T.R,TMC,PWF+,0
Avanashi,S,Tiruppur,Aarumugam.M,CPM,PWF+,0
Tiruppur (North),N,Tiruppur,Subramanian.Ravi.N,CPM,PWF+,0
Tiruppur (South),N,Tiruppur,Thanga Velu.K,CPI,PWF+,0
Palladam,N,Tiruppur,Muthu Rathinam,MDMK,PWF+,0
Sulur,N,Coimbatore,Dinagaran,DMDK,PWF+,0
Kavundampalayam,N,Coimbatore,Rama Moorthy.V,CPI,PWF+,0
Coimbatore North,N,Coimbatore,Murugan,DMDK,PWF+,0
Thondamuthur,N,Coimbatore,Thiyagarajan,DMDK,PWF+,0
Singanallur,N,Coimbatore,Padmanabhan.C.,CPI,PWF+,0
Coimbatore South,N,Coimbatore,Arjun Raj,MDMK,PWF+,0
Kinathukkadavu,N,Coimbatore,Easwaran,MDMK,PWF+,0
Pollachi,N,Coimbatore,Muthu Kumar,DMDK,PWF+,0
Valparai,S,Coimbatore,Mani Bharathy.P,CPM,PWF+,0
Udumalpet,N,Tiruppur,Ganesh Kumar,DMDK,PWF+,0
Madathukulam,N,Tiruppur,Maheshwari.,TMC,PWF+,0
Palani,N,Dindigul,Raja Manikkam,CPI,PWF+,0
Oddamchatram,N,Dindigul,Santhanam.K,CPM,PWF+,0
Athoor,N,Dindigul,Bakya Selvaraj.M,DMDK,PWF+,0
Nilakkottai,S,Dindigul,Rama Swamy,DMDK,PWF+,0
Natham,N,Dindigul,Karthikeyan,DMDK,PWF+,0
Dindigul,N,Dindigul,Pandi.N,CPI,PWF+,0
Vedasandur,N,Dindigul,Balu,DMDK,PWF+,0
Aravakurichi,N,Karur,Kalai Arasu,MDMK,PWF+,0
Karur,N,Karur,Ravi,DMDK,PWF+,0
Krishnarajapuram,S,Karur,Shivanantham,TMC,PWF+,0
Kulithalai,N,Karur,Jamuna,DMDK,PWF+,0
Manapparai,N,Tiruchirappalli,Krishna Gopal,DMDK,PWF+,0
Srirangam,N,Tiruchirappalli,Pushpam Vaithyanathan,CPM,PWF+,0
Tiruchirappalli (West),N,Tiruchirappalli,Joseph Gerald,DMDK,PWF+,0
Tiruchirappalli (East),N,Tiruchirappalli,Rehaiya Shek Mohmed,MDMK,PWF+,0
Thiruverumbur,N,Tiruchirappalli,Senthil Kumar,DMDK,PWF+,0
Lalgudi,N,Tiruchirappalli,Jaya Sheelan.M,CPI,PWF+,0
Manachanallur,N,Tiruchirappalli,Babu ,DMDK,PWF+,0
Musiri,N,Tiruchirappalli,Rajasekaran,TMC,PWF+,0
Thuraiyur,S,Tiruchirappalli,Aathi Mozhi,VCK,PWF+,0
Perambalur,S,Perambalur,Rajendran,DMDK,PWF+,0
Kunnam,N,Perambalur,Azhur Zanavash,VCK,PWF+,0
Ariyalur,N,Ariyalur,Jaya Vel,DMDK,PWF+,0
Jayankondam,N,Ariyalur,Kandaswamy,MDMK,PWF+,0
Tittakudi,S,Cuddalore,Sashi Kumar,DMDK,PWF+,0
Vridhachalam,N,Cuddalore,Muthu Kumar,DMDK,PWF+,0
Neyveli,N,Cuddalore,Aarumugam,CPI,PWF+,0
Panruti,N,Cuddalore,Sivakkolundhu,DMDK,PWF+,0
Cuddalore,N,Cuddalore,Chandra  Sekar,TMC,PWF+,0
Kurinjipadi,N,Cuddalore,Bala Murugan,DMDK,PWF+,0
Bhuvanagiri,N,Cuddalore,Chinthanai Selvan,VCK,PWF+,0
Chidambaram,N,Cuddalore,Bala Krishnan,CPI,PWF+,0
Kattumannarkoil,S,Cuddalore,Thiruma Vazhavan,VCK,PWF+,0
Sirkazhi,S,Nagapattinam,Umanath,DMDK,PWF+,0
Mayuram,N,Nagapattinam,Arul Selvan,DMDK,PWF+,0
Poompuhar,N,Nagapattinam,Shankar.M,TMC,PWF+,0
Nagapattinam,N,Nagapattinam,Dhaleem Ansari.A.P.,CPM,PWF+,0
Kilvelur,S,Nagapattinam,Nagai Malik.V.P,CPI,PWF+,0
Vedaranyam,N,Nagapattinam,Vaira Nathan,DMDK,PWF+,0
Thiruthuraipoondi,S,Thiruvarur,Ulaganathan.K,CPM,PWF+,0
Mannargudi,N,Thiruvarur,Murugayyan Babu,DMDK,PWF+,0
Thiruvarur,N,Thiruvarur,Masila Mani.P.S,CPM,PWF+,0
Nannilam,N,Thiruvarur,Sundara Moorthy.G,CPI,PWF+,0
Thiruvidaimarudur,S,Thanjavur,Vivegananthan,VCK,PWF+,0
Kumbakonam,N,Thanjavur,Paramashivam,DMDK,PWF+,0
Papanasam,N,Thanjavur,Jaya Kumar.S.T,TMC,PWF+,0
Thiruvaiyaru,N,Thanjavur,Jeeva Kumar.V,CPI,PWF+,0
Thanjavur,N,Thanjavur,Jaya Prakash,DMDK,PWF+,0
Orathanadu,N,Thanjavur,Ramanathan,DMDK,PWF+,0
Pattukkottai,N,Thanjavur,Senthil Kumar,DMDK,PWF+,0
Peravurani,N,Thanjavur,Thamayanthi Thirugnanam,CPM,PWF+,0
Gandharvakottai,S,Pudukkottai,M.Chinna Durai,CPI,PWF+,0
Viralimalai,N,Pudukkottai,Kathikeyan,DMDK,PWF+,0
Pudukkottai,N,Pudukkottai,Jagheer Ushain,DMDK,PWF+,0
Thirumaiyam,N,Pudukkottai,Chidambaram.P.L.A,TMC,PWF+,0
Alangudi,N,Pudukkottai,Chandrasekaran,MDMK,PWF+,0
Aranthangi,N,Pudukkottai,Loganathan.P,CPM,PWF+,0
Karaikudi,N,Sivaganga,Sevanthiyappan,MDMK,PWF+,0
Tirupathur,N,Sivaganga,Sathaiah.N,CPM,PWF+,0
Sivaganga,N,Sivaganga,Gunasekaran.S,CPM,PWF+,0
Manamadurai,S,Sivaganga,Thiru Mozhi,VCK,PWF+,0
Melur,N,Madurai,Bharath Nachiappan.T.N,TMC,PWF+,0
Madurai East,N,Madurai,Kali Das.P,CPM,PWF+,0
Sholavandan,S,Madurai,Pandiyammal,VCK,PWF+,0
Madurai North,N,Madurai,Mujibur Rahman,DMDK,PWF+,0
Madurai South,N,Madurai,Puthur Boominathan,MDMK,PWF+,0
Madurai Central,N,Madurai,Siva Muthu Kumar,DMDK,PWF+,0
Madurai West,N,Madurai,Vasughi.O,CPI,PWF+,0
Thirupparankundram,N,Madurai,Kanthaswamy.K,CPM,PWF+,0
Thirumangalam,N,Madurai,Seenivasan,DMDK,PWF+,0
Usilampatti,N,Madurai,Baskara Sethupathi,MDMK,PWF+,0
Andipatti,N,Theni,Krishna Moorthy,DMDK,PWF+,0
Periyakulam,S,Theni,Lasar.A,CPI,PWF+,0
Bodinayakkanur,N,Theni,Veera Bhadran,DMDK,PWF+,0
Cumbum,N,Theni,Rama Chandran,TMC,PWF+,0
Rajapalayam,N,Virudhunagar,Guru Swamy.A,CPI,PWF+,0
Srivilliputhur,S,Virudhunagar,Lingam.Po,CPM,PWF+,0
Sattur,N,Virudhunagar,Rahu Raman,MDMK,PWF+,0
Sivakasi,N,Virudhunagar,Sudhagaran,DMDK,PWF+,0
Virudhunagar,N,Virudhunagar,Syed Kasha Sherif,DMDK,PWF+,0
Aruppukkottai,N,Virudhunagar,Senthil Kumar.S,CPM,PWF+,0
Tiruchuli,N,Virudhunagar,Raju,DMDK,PWF+,0
Paramakudi,S,Ramanathapuram,Irulan,VCK,PWF+,0
Tiruvadanai,N,Ramanathapuram,Mani Maran,DMDK,PWF+,0
Ramanathapuram,N,Ramanathapuram,Singai Jinna,DMDK,PWF+,0
Mudhukulathur,N,Ramanathapuram,Raj Kumar,MDMK,PWF+,0
Vilathikulam,N,Thoothukkudi,Kathir Vel.P,TMC,PWF+,0
Thoothukkudi,N,Thoothukkudi,Fatima Babu,MDMK,PWF+,0
Tiruchendur,N,Thoothukkudi,Senthil Kumar,DMDK,PWF+,0
Srivaikuntam,N,Thoothukkudi,Vijaya Seelan.S.T.R,TMC,PWF+,0
Ottapidaram,S,Thoothukkudi,Aarumuga Nainaar,DMDK,PWF+,0
Kovilpatti,N,Thoothukkudi,Ramesh,MDMK,PWF+,0
Sankarankovil,S,Tirunelveli,Sathin Thirumalai Kumar,MDMK,PWF+,0
Vasudevanallur,S,Tirunelveli,Samuthra Kani,CPM,PWF+,0
Kadayanallur,N,Tirunelveli,Kothai Mariappan,DMDK,PWF+,0
Tenkasi,N,Tirunelveli,Charles.S.T.S,TMC,PWF+,0
Alangulam,N,Tirunelveli,Rajendra Nathan,DMDK,PWF+,0
Tirunelveli,N,Tirunelveli,Mada Swamy,DMDK,PWF+,0
Ambasamudram,N,Tirunelveli,Karpagam.P,CPI,PWF+,0
Palayamkottai,N,Tirunelveli,Nizam,MDMK,PWF+,0
Nanguneri,N,Tirunelveli,Jaya Balan,DMDK,PWF+,0
Radhapuram,N,Tirunelveli,Sivananintha Perumal,DMDK,PWF+,0
Kanniyakumari,N,Kanniyakumari,Aathi Linga Perumal,DMDK,PWF+,0
Nagercoil,N,Kanniyakumari,Rani Celine,MDMK,PWF+,0
Kollachal,N,Kanniyakumari,Sampath Chandra,MDMK,PWF+,0
Padmanabhapuram,N,Kanniyakumari,Jagan Nathan,DMDK,PWF+,0
Vilavancode,N,Kanniyakumari,Chella Swamy.R,CPI,PWF+,0
Killiyoor,N,Kanniyakumari,Kumara Das,TMC,PWF+,0
Gummidipoondi,N,Thiruvallur,Selvaraj.M,PMK,PMK+,0
Ponneri,N,Thiruvallur,Pandiyan.T.A,PMK,PMK+,0
Tiruttani,N,Thiruvallur,Dr.Vaithiya Lingam.A,PMK,PMK+,0
Thiruvallur,N,Thiruvallur,Bala Yogi.V,PMK,PMK+,0
Poonamallee,S,Thiruvallur,Partha Sarathy.C,PMK,PMK+,0
Avadi,N,Thiruvallur,Anantha Krishnan.N,PMK,PMK+,0
Maduravoyal,N,Thiruvallur,Seenivasan.G,PMK,PMK+,0
Ambattur,N,Thiruvallur,Sekar.K.N,PMK,PMK+,0
Madavaram,N,Thiruvallur,Ravi Raj.K,PMK,PMK+,0
Thiruvottiyur,N,Thiruvallur,Vasantha Kumari.T,PMK,PMK+,0
Dr. Radhakrishnan Nagar,N,Chennai,Aakinesh.P,PMK,PMK+,0
Perambur,N,Chennai,Venkateshan Perumal.M,PMK,PMK+,0
Kolathur,N,Chennai,Gopal.S,PMK,PMK+,0
Villivakkam,N,Chennai,Subramanian.G.V,PMK,PMK+,0
Thiru-Vi-Ka-Nagar,S,Chennai,Vanitha Mani.T,PMK,PMK+,0
Egmore,S,Chennai,Rajendran.,PMK,PMK+,0
Royapuram,N,Chennai,Perumal.T.S,PMK,PMK+,0
Harbour,N,Chennai,Suresh Kumar.R,PMK,PMK+,0
Chepauk,N,Chennai,Kazali.A.V.AThiruvallikeni ,PMK,PMK+,0
Thousand Lights,N,Chennai,Ranganathan.V @ Rangan,PMK,PMK+,0
Anna Nagar,N,Chennai,Akilesh Arali Malli Chetty,PMK,PMK+,0
Virugampakkam,N,Chennai,Jaya Rao.C.H,PMK,PMK+,0
T-Nagar,N,Chennai,Shagadevan.T.R,PMK,PMK+,0
Saidapet,N,Chennai,Vinod.V,PMK,PMK+,0
Mylapore,N,Chennai,Suresh Kumar,PMK,PMK+,0
Velachery,N,Chennai,Vinobhava Bhoopathi.N,PMK,PMK+,0
Shozhinganallur,N,Kancheepuram,Ram Kumar.K,PMK,PMK+,0
Alandur,N,Kancheepuram,Srinivasan.R,PMK,PMK+,0
Sriperumbudur,S,Kancheepuram,Muthu Raman.C,PMK,PMK+,0
Pallavaram,N,Kancheepuram,Venkateshan.R,PMK,PMK+,0
Tambaram,N,Kancheepuram,Suresh.R,PMK,PMK+,0
Chengalpattu,N,Kancheepuram,Aarumugam.K,PMK,PMK+,0
Thiruporur,N,Kancheepuram,Vasu.P.V.K,PMK,PMK+,0
Cheyyur,S,Kancheepuram,Sadaiyappan,PMK,PMK+,0
Maduranthakam,S,Kancheepuram,Aathi Kesavan.A,PMK,PMK+,0
Uthiramerur,N,Kancheepuram,Gangadharan.Pon,PMK,PMK+,0
Kancheepuram,N,Kancheepuram,Mahesh Kumar.P,PMK,PMK+,0
Arakkonam,S,Vellore,Arputham.R,PMK,PMK+,0
Sholingur,N,Vellore,Saravanan.K,PMK,PMK+,0
Katpadi,N,Vellore,Shanmugam.S.D,PMK,PMK+,0
Ranipet,N,Vellore,Murali.K.K,PMK,PMK+,0
Arcot,N,Vellore,Karikalan.K,PMK,PMK+,0
