YEAR,AC_NAME,ST_NAME,AC_NO,rank,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES,polled_votes,vote_percent
1999,DARGALIM,Goa,3,2,SC,DHARGALKAR BALKRISHNA ATMARAM,M,,,BJP,3232,10084,32.05
1999,DARGALIM,Goa,3,3,SC,HARMALKAR RAMESH MUKUND,M,,,MAG,1934,10084,19.18
1999,DARGALIM,Goa,3,4,SC,MANDREKAR DEU GUNAJI,M,,,IND,296,10084,2.94
1999,DARGALIM,Goa,3,5,SC,RAO NARAYAN BHIKAJI,M,,,JD,161,10084,1.6
1999,DARGALIM,Goa,3,6,SC,PARSHEKAR RESHA RAJANIKANT,F,,,GVP,133,10084,1.32
1999,TIVIM,Goa,4,1,GEN,NARVEKAR DYANAND GANESH,M,,,INC,6989,16974,41.17
1999,TIVIM,Goa,4,2,GEN,HALARNKAR NILKANT RAMNATH,M,,,GRCP,4333,16974,25.53
1999,TIVIM,Goa,4,3,GEN,SHET SADANAND MHALU,M,,,BJP,2769,16974,16.31
1999,TIVIM,Goa,4,4,GEN,FADTE KAMALKANT SURYA,M,,,MAG,2066,16974,12.17
1999,TIVIM,Goa,4,5,GEN,PEREIRA SEBASTIAO CHRISTOPHER,M,,,IND,817,16974,4.81
1999,MAPUSA,Goa,5,1,GEN,D SOUZA FRANCIS PEDRO,M,,,GRCP,5602,15476,36.2
1999,MAPUSA,Goa,5,2,GEN,NATEKAR GURUDAS BHALCHANDRA,M,,,INC,4027,15476,26.02
1999,MAPUSA,Goa,5,3,GEN,SHIRODKAR TULASHIDAS ATMARAM,M,,,BJP,3013,15476,19.47
1999,MAPUSA,Goa,5,4,GEN,SIRSAT SURENDRA VASANT,M,,,MAG,2318,15476,14.98
1999,MAPUSA,Goa,5,5,GEN,BHIKE VIJAY LAXMAN,M,,,IND,247,15476,1.6
1999,MAPUSA,Goa,5,6,GEN,PALYEKAR KESHAV SHAMBHU,M,,,SHS,154,15476,1
1999,MAPUSA,Goa,5,7,GEN,PEREIRA BONI PETER OLIVER,M,,,IND,115,15476,0.74
1999,SIOLIM,Goa,6,1,GEN,MANDREKAR DAYANAND RAYU,M,,,BJP,4455,16423,27.13
