ST_NAME,year,AC_NO,rank,constituency,AC_TYPE,name,SEX,AGE,CATEGORY,party,votes
Pondicherry,1985,7,1,Nellithope,GEN,R.V.JANAKIRAMAN,M,,,DMK,5526
Pondicherry,1985,8,1,Modeliarpeth,GEN,V. SABAPATHY KOTHANDARAMAN,M,,,INC,6260
Pondicherry,1985,9,1,Ariankuppam,GEN,P. PURUSHOTHAMAN,M,,,ADMK,5505
Pondicherry,1985,10,1,Embalom,SC,K. ANBALAGAN,M,,,ADMK,4509
Pondicherry,1985,11,1,Nettapakkam,GEN,V. VAITHILINGAM,M,,,INC,6946
Pondicherry,1985,12,1,Kuruvinatham,GEN,R. RAMANSTHAN,M,,,DMK,4207
Pondicherry,1985,13,1,Bahour,SC,P. UTHIRAVELU,M,,,JNP,4911
Pondicherry,1985,14,1,Thirubuvanai,SC,S. KOMALA,F,,,DMK,5745
Pondicherry,1985,15,1,Mannadipeth,GEN,D. RAMACHANDRAN,M,,,DMK,6383
Pondicherry,1985,16,1,Ossudu,SC,V. NAGARATHINAM,M,,,INC,6176
Pondicherry,1985,17,1,Villenour,GEN,R. SUBRAYA COUNDER,M,,,INC,5696
Pondicherry,1985,18,1,Ozhukarai,GEN,R. SOMASUNDARAM,M,,,ADMK,5729
Pondicherry,1985,19,1,Thattanchavady,GEN,V. PETHAPERUMAL,M,,,JNP,6228
Pondicherry,1985,20,1,Reddiarpalayam,GEN,V. BALAJI,M,,,INC,7852
Pondicherry,1985,21,1,Lawspet,GEN,M.O.H. FAROOK,M,,,INC,8804
Pondicherry,1985,22,1,Cotchery,GEN,N. VENGADASALAM,M,,,INC,5774
Pondicherry,1985,23,1,Karaikal,GEN,V. GOVINDARAJAN,M,,,INC,4784
Pondicherry,1985,24,1,Karaikal South,GEN,S. RAMASSAMY,M,,,IND,3808
Pondicherry,1985,25,1,Neravy-Grand Aldee,GEN,V.M.C. VARADA PILLAI,M,,,ADMK,5788
Pondicherry,1985,26,1,Tirunallar,GEN,A. SONUDARARENGAN,M,,,IND,4246
Pondicherry,1985,27,1,Neduncadu,SC,M. CHANDIRAKASU,M,,,INC,5870
Pondicherry,1985,28,1,Mahe,GEN,P.K. SATHYANANDAN,M,,,INC,3695
Pondicherry,1985,29,1,Palloor,GEN,A.V. SREEDHARAN,M,,,INC,3766
Pondicherry,1985,30,1,Yanam,GEN,KAMICHETTY SRI PARASSORAMA VARAPRASSADA RAO,M,,,INC,2884
Pondicherry,1990,1,1,Muthialpet,GEN,G. PALANIRAJA,M,,,DMK,10571
Pondicherry,1990,2,1,Cassicade,GEN,P. KANNAN,M,,,INC,6040
Pondicherry,1990,3,1,Raj Bhavan,GEN,S. P. SIVAKUMAR,M,,,DMK,2528
Pondicherry,1990,4,1,Bussy,GEN,C. M. ACHRAFF,M,,,INC,2692
Pondicherry,1990,5,1,Oupalam,GEN,N. NAGHAMUTHU,M,,,DMK,7378
Pondicherry,1990,6,1,Orleampeth,GEN,N. MANIMARAN,M,,,DMK,8076
Pondicherry,1990,7,1,Nellithope,GEN,R. V. JANKIRAMAN,M,,,DMK,6601
Pondicherry,1990,8,1,Modeliarpeth,GEN,M. MANJINI,M,,,CPI,8905
Pondicherry,1990,9,1,Ariankuppam,GEN,A. BAKTHKAVACHALAM,M,,,JD,5950
Pondicherry,1990,10,1,Embalom,SC,K. DEIVANAYAGAM,M,,,JD,4669
Pondicherry,1990,11,1,Nettapakkam,GEN,V. VAITHILINGAM,M,,,INC,7332
Pondicherry,1990,12,1,Kuruvinatham,GEN,R. RAMANATHAN,M,,,DMK,6072
Pondicherry,1990,13,1,Bahour,SC,P. RAJAVELU,M,,,JD,8223
Pondicherry,1990,14,1,Thirubuvanai,SC,D. VISWANATHAN,M,,,ADMK,6743
Pondicherry,1990,15,1,Mannadipeth,GEN,D. RAMACHANDIRAN,M,,,DMK,7802
Pondicherry,1990,16,1,Ossudu,SC,N. MARIMUTHU,M,,,INC,5242
Pondicherry,1990,17,1,Villenour,GEN,P. ANANDA BASKARAN,M,,,INC,8442
Pondicherry,1990,18,1,Ozhukarai,GEN,M. RASAN ALIAS VAZHUMUNI,M,,,DMK,8749
Pondicherry,1990,19,1,Thattanchavady,GEN,V. PETHAPERUMAL,M,,,JD,9503
Pondicherry,1990,20,1,Reddiarpalayam,GEN,R. VISWANATHAN,M,,,CPI,11153
Pondicherry,1990,21,1,Lawspet,GEN,M. O. H. FAROOK,M,,,INC,12637
Pondicherry,1990,22,1,Cotchery,GEN,M. VAITHILINGAM,M,,,INC,5189
Pondicherry,1990,23,1,Karaikal,GEN,S. M. THAVASU,M,,,INC,5394
Pondicherry,1990,24,1,Karaikal South,GEN,S. RAMASSAMY,M,,,ADMK,6012
Pondicherry,1990,25,1,Neravy-Grand Aldee,GEN,V. GANAPATHY,M,,,ADMK,7102
Pondicherry,1990,26,1,Tirunallar,GEN,R. KAMALAKKANNAN,M,,,IND,4124
Pondicherry,1990,27,1,Neduncadu,SC,M. CHANDIRAKASSU,M,,,INC,6174
Pondicherry,1990,28,1,Mahe,GEN,E. VALSARAJ,M,,,INC,5142
Pondicherry,1990,29,1,Palloor,GEN,A. V. SREEDHARAN,M,,,INC,5288
Pondicherry,1990,30,1,Yanam,GEN,RAKSHA HARIKRISHNA,M,,,DMK,4632
Pondicherry,1991,1,1,Muthialpet,GEN,M. BALASUBRAMANIAM,M,,,ADMK,9175
Pondicherry,1991,2,1,Cassicade,GEN,M. ELANGO,M,,,JD,4927
Pondicherry,1991,3,1,Raj Bhavan,GEN,A. GANDHIRAJ,M,,,INC,2381
Pondicherry,1991,4,1,Bussy,GEN,C. M.K ACHRAFF,M,,,INC,3083
Pondicherry,1991,5,1,Oupalam,GEN,U. C. ARUMUGAN,M,,,ADMK,7352
Pondicherry,1991,6,1,Orleampeth,GEN,K.PARASURAMAN,M,,,ADMK,8697
Pondicherry,1991,7,1,Nellithope,GEN,R. V. JANAKIRAMAN,M,,,DMK,7067
Pondicherry,1991,8,1,Modeliarpeth,GEN,V. KOTHANDARAMAN ALIAS SABAPATHY,M,,,IND,8230
Pondicherry,1991,9,1,Ariankuppam,GEN,P. SUBBURAYAN,M,,,DMK,5794
Pondicherry,1991,10,1,Embalom,SC,K. PAKKIRI AMMAL,F,,,INC,4171
Pondicherry,1991,11,1,Nettapakkam,GEN,V. VAITHILINGAM,M,,,INC,8095
Pondicherry,1991,12,1,Kuruvinatham,GEN,T. THIAGARAJAN,M,,,INC,6765
Pondicherry,1991,13,1,Bahour,SC,P. RAJAVELU,M,,,IND,6377
Pondicherry,1991,14,1,Thirubuvanai,SC,D. VISWANATHAN,M,,,ADMK,7453
Pondicherry,1991,15,1,Mannadipeth,GEN,N. RAJARAM,M,,,INC,7771
Pondicherry,1991,16,1,Ossudu,SC,N. MARIMUTHU,M,,,INC,7293
Pondicherry,1991,17,1,Villenour,GEN,P. ANANDABASKARAN,M,,,INC,8190
Pondicherry,1991,18,1,Ozhukarai,GEN,K. NATARAJAN,M,,,ADMK,8566
Pondicherry,1991,19,1,Thattanchavady,GEN,N. RANGASAMY,M,,,INC,12545
Pondicherry,1991,20,1,Reddiarpalayam,GEN,R. VISWANATHAN,M,,,CPI,13134
Pondicherry,1991,21,1,Lawspet,GEN,P. KANANN,M,,,INC,13475
Pondicherry,1991,22,1,Cotchery,GEN,R. NALAMAHARAJAN,M,,,IND,5051
Pondicherry,1991,23,1,Karaikal,GEN,A. M. H. NAZEEM,M,,,DMK,6809
Pondicherry,1991,24,1,Karaikal South,GEN,A. V. SUBRAMANIAN,M,,,INC,6189
Pondicherry,1991,25,1,Neravy-Grand Aldee,GEN,V. M. C. V. GANAPATHY,M,,,ADMK,6384
Pondicherry,1991,26,1,Tirunallar,GEN,A. SOUNDARARENGAN,M,,,DMK,4401
Pondicherry,1991,27,1,Neduncadu,SC,M. CHANDIRAKASU,M,,,INC,5955
Pondicherry,1991,28,1,Mahe,GEN,E. VALSARAJ,M,,,INC,5099
Pondicherry,1991,29,1,Palloor,GEN,A. V. SREEDHARAN,M,,,INC,4922
Pondicherry,1991,30,1,Yanam,GEN,VELAGA RAJESWARA RAO,M,,,INC,6331
Pondicherry,1996,1,1,Muthialpet,GEN,S. ANANDAVELU,M,,,ADMK,11009
Pondicherry,1996,2,1,Cassicade,GEN,P. KANNAN,M,,,IND,6501
Pondicherry,1996,3,1,Raj Bhavan,GEN,S.P. SIVAKUMAR,M,,,DMK,2697
Pondicherry,1996,4,1,Bussy,GEN,C.M. ACHRAFF,M,,,INC,2208
Pondicherry,1996,5,1,Oupalam,GEN,S. RATHINAM @ MANOHAR,M,,,TMC(M),6866
Pondicherry,1996,6,1,Orleampeth,GEN,R. SIVA,M,,,DMK,8105
Pondicherry,1996,7,1,Nellithope,GEN,R.V. JANAKIRAMAN,M,,,DMK,8803
Pondicherry,1996,8,1,Modeliarpeth,GEN,M. MANJINI,M,,,CPI,11380
Pondicherry,1996,9,1,Ariankuppam,GEN,S. RAMSINGH,M,,,PMK,7382
Pondicherry,1996,10,1,Embalom,SC,R. RAJARAMAN,M,,,JD,8311
Pondicherry,1996,11,1,Nettapakkam,GEN,V. VAITHILINGAM,M,,,INC,7563
Pondicherry,1996,12,1,Kuruvinatham,GEN,T. THIAGARAJAN,M,,,INC,7209
Pondicherry,1996,13,1,Bahour,SC,M. KANDASAMY,M,,,TMC(M),7921
Pondicherry,1996,14,1,Thirubuvanai,SC,S. ARASI,F,,,ADMK,5707
Pondicherry,1996,15,1,Mannadipeth,GEN,K. RAJASEGARAN,M,,,TMC(M),8113
Pondicherry,1996,16,1,Ossudu,SC,V. NAGARATHINAM,M,,,TMC(M),7380
Pondicherry,1996,17,1,Villenour,GEN,C. JAYAKUMAR,M,,,TMC(M),12205
Pondicherry,1996,18,1,Ozhukarai,GEN,K. NATARAJAN,M,,,ADMK,7794
Pondicherry,1996,19,1,Thattanchavady,GEN,N. RANGASAMY,M,,,INC,9989
Pondicherry,1996,20,1,Reddiarpalayam,GEN,R. VISWANATHAN,M,,,CPI,17206
Pondicherry,1996,21,1,Lawspet,GEN,N. KESAVAN,M,,,DMK,16442
Pondicherry,1996,22,1,Cotchery,GEN,R. NALAMAGARAJAN,M,,,INC,7630
Pondicherry,1996,23,1,Karaikal,GEN,A.M.H. NAZEEM,M,,,DMK,9474
Pondicherry,1996,24,1,Karaikal South,GEN,A.V. SUBRAMANIAN,M,,,INC,6676
Pondicherry,1996,25,1,Neravy-Grand Aldee,GEN,V.M.C. SIVAKUMAR,M,,,DMK,7595
Pondicherry,1996,26,1,Tirunallar,GEN,R. KAMALAKANNAN,M,,,INC,6063
Pondicherry,1996,27,1,Neduncadu,SC,A. MARIMUTHU,M,,,DMK,6899
Pondicherry,1996,28,1,Mahe,GEN,E. VALSARAJ,M,,,INC,4184
Pondicherry,1996,29,1,Palloor,GEN,A.V. SREEDHARAN,M,,,INC,4253
Pondicherry,1996,30,1,Yanam,GEN,MALLADI KRISHNA RAO,M,,,IND,8445
Pondicherry,2001,1,1,Muthialpet,GEN,KASILINGAM .A.,M,,,ADMK,6857
Pondicherry,2001,2,1,Cassicade,GEN,LAKSHMINARAYANAN .K.,M,,,PMC,4875
Pondicherry,2001,3,1,Raj Bhavan,GEN,SIVAKUMAR .S.P.,M,,,DMK,2408
Pondicherry,2001,4,1,Bussy,GEN,ANNIBAL KENNEDY,M,,,DMK,3087
Pondicherry,2001,5,1,Oupalam,GEN,ANBALAGAN .A.,M,,,ADMK,8416
Pondicherry,2001,6,1,Orleampeth,GEN,SIVA .R.,M,,,DMK,7608
Pondicherry,2001,7,1,Nellithope,GEN,R.V. JANAKIRAMAN,M,,,DMK,7780
Pondicherry,2001,8,1,Modeliarpeth,GEN,DR. SUBRAMANIAN .M.A.S.,M,,,DMK,9119
Pondicherry,2001,9,1,Ariankuppam,GEN,JAYAMOORTHY .T.,M,,,IND,9790
Pondicherry,2001,10,1,Embalom,SC,N. GANGADARAN,M,,,INC,3723
Pondicherry,2001,11,1,Nettapakkam,GEN,V. VAITHILINGAM,M,,,INC,5984
