ST_NAME,year,AC_NO,rank,constituency,AC_TYPE,name,SEX,AGE,CATEGORY,votes,party,color
Pondicherry,1977,9,1,Ariankuppam,GEN,P. SUBBARAYAN,M,,,3345,DMK,#800000
Pondicherry,1977,10,1,Embalom,SC,SIVALOGANATHAN K.,M,,,2442,ADMK,#9DBC2A
Pondicherry,1977,11,1,Nettapakkam,GEN,SRVAPRAKASAM S.,M,,,3122,INC,#019733
Pondicherry,1977,12,1,Kuruvinatham,GEN,N. VENGADASAMY,M,,,3359,ADMK,#9DBC2A
Pondicherry,1977,13,1,Bahour,SC,P. UTHIRAVELU,M,,,3399,JNP,#9A9E56
Pondicherry,1977,14,1,Thirubuvanai,SC,MANIYAM M.,M,,,3226,ADMK,#9DBC2A
Pondicherry,1977,15,1,Mannadipeth,GEN,RAMACHANDRAN D.,M,,,3824,ADMK,#9DBC2A
Pondicherry,1977,16,1,Ossudu,SC,THANGAVELU M.,M,,,2902,ADMK,#9DBC2A
Pondicherry,1977,17,1,Villenour,GEN,PAZHANINATHAN S.,M,,,2891,ADMK,#9DBC2A
Pondicherry,1977,18,1,Ozhukarai,GEN,G. PERUMAL RAJA,M,,,2477,DMK,#800000
Pondicherry,1977,19,1,Thattanchavady,GEN,V. PETHAPERUMAL,M,,,4669,JNP,#9A9E56
Pondicherry,1977,20,1,Reddiarpalayam,GEN,V. SUBBIAH,M,,,2775,CPI,#DE0000
Pondicherry,1977,21,1,Lawspet,GEN,N. VARADHAN,M,,,4477,ADMK,#9DBC2A
Pondicherry,1977,22,1,Cotchery,GEN,T. SUBBIAH,M,,,3041,ADMK,#9DBC2A
Pondicherry,1977,23,1,Karaikal,GEN,K. KANDHI,M,,,3995,IND,#888888
Pondicherry,1977,24,1,Karaikal South,GEN,S. RAMASSAMY,M,,,3424,ADMK,#9DBC2A
Pondicherry,1977,25,1,Neravy-Grand Aldee,GEN,V.M.C. VARADHAPILLAI,M,,,3314,JNP,#9A9E56
Pondicherry,1977,26,1,Tirunallar,GEN,N.V. RAMALINGAM,M,,,2654,DMK,#800000
Pondicherry,1977,27,1,Neduncadu,SC,P. SELVARAJ,M,,,2789,ADMK,#9DBC2A
Pondicherry,1977,28,1,Mahe,GEN,RAGHAVAN K.V.,M,,,2847,IND,#888888
Pondicherry,1977,29,1,Palloor,GEN,CHANDRASEKRAN T.K.,M,,,2853,IND,#888888
Pondicherry,1977,30,1,Yanam,GEN,KAMICHETTY SRI PARASSOURAMA VARAPRASSADA RAO,M,,,2047,JNP,#9A9E56
Pondicherry,1980,1,1,Muthialpet,GEN,G. PALANIRAJA,M,,,7396,DMK,#800000
Pondicherry,1980,2,1,Cassicade,GEN,V. KATHIRVELU,M,,,3948,INC,#019733
Pondicherry,1980,3,1,Raj Bhavan,GEN,L. JOSEPH MARIADASS,M,,,1880,DMK,#800000
Pondicherry,1980,4,1,Bussy,GEN,C. M. ACHRAFF,M,,,2898,INC,#019733
Pondicherry,1980,5,1,Oupalam,GEN,SITHA VEDANAYAGAM,M,,,5419,DMK,#800000
Pondicherry,1980,6,1,Orleampeth,GEN,NA. MANIMARAN ALIAS NA. MARIMUTHU,M,,,5721,DMK,#800000
Pondicherry,1980,7,1,Nellithope,GEN,P. RAMALINGAM,M,,,4019,DMK,#800000
Pondicherry,1980,8,1,Modeliarpeth,GEN,V. KOTHANDARAMAN ALIAS SABAPATHY,M,,,5258,INC,#019733
Pondicherry,1980,9,1,Ariankuppam,GEN,P. SUBBURAYAN,M,,,5900,DMK,#800000
Pondicherry,1980,10,1,Embalom,SC,G. MURUGESAN,M,,,5033,INC,#019733
Pondicherry,1980,11,1,Nettapakkam,GEN,R. SUBBARAYA GOUNDER,M,,,4201,JNP,#9A9E56
Pondicherry,1980,12,1,Kuruvinatham,GEN,M. A. SHANMUGAM,M,,,3738,DMK,#800000
