YEAR,AC_NAME,VOTES
1980,PALACODU,74487
1980,PALANI,78830
1980,PALAYAMKOTTAI,77729
1980,PALLADAM,83337
1980,PALLIPET,75308
1980,PANAMARATHUPATTI,77238
1980,PANRUTI,85891
1980,PAPANASAM,71766
1980,PARAMAKUDI,80616
1980,PARK TOWN,68098
1980,PATTUKKOTTAI,96249
1980,PENNAGARAM,65591
1980,PERAMBALUR,69977
1980,PERAMBUR,90258
1980,PERANAMALLUR,74043
1980,PERAVURANI,95643
1980,PERIYAKULAM,81051
1980,PERNAMBATTU,66323
1980,PERUNDURAI,80837
1980,PERUR,98486
1980,POLLACHI,93334
1980,POLUR,72475
1980,PONGALUR,68370
1980,PONNERI,83033
1980,POOMPUHAR,84879
1980,POONAMALLEE,77860
1980,PUDUKKOTTAI,95877
1980,PURASAWALKAM,100724
1980,RADHAPURAM,70519
1980,RAJAPALAYAM,87003
1980,RAMANATHAPURAM,81527
1980,RANIPET,82529
1980,RASIPURAM,85463
1980,RISHIVANDIYAM,74810
1980,ROYAPURAM,74319
1980,SAIDAPET,84261
1980,SALEM-I,97010
1980,SALEM-II,79450
1980,SAMAYANALLUR,94410
1980,SANKARANKOVIL,65107
1980,SANKARAPURAM,72831
1980,SANKARI,80666
1980,SATHYAMANGALAM,70132
1980,SATTANGULAM,59900
1980,SATTUR,99314
1980,SEDAPATTI,70169
1980,SENTHAMANGALAM,69020
1980,SHOLAVANDAN,82975
1980,SHOLINGUR,72442
1980,SINGANALLUR,98582
1980,SIRKAZHI,85388
1980,SIVAGANGA,72579
1980,SIVAKASI,86561
1980,SRIPERUMBUDUR,70553
1980,SRIRANGAM,91921
1980,SRIVAIKUNTAM,67968
1980,SRIVILLIPUTHUR,89536
1980,T-NAGAR,84164
1980,TALAVASAL,72935
1980,TAMBARAM,116326
1980,TARAMANGALAM,82203
1980,TENKASI,73457
1980,THALLI,61542
1980,THANDARAMBATTU,72540
1980,THANJAVUR,80781
1980,THENI,92949
1980,THIRUMAIYAM,86344
1980,THIRUMANGALAM,75766
1980,THIRUNAVALUR,75627
1980,THIRUPPARANKUNDRAM,101180
1980,THIRUTHURAIPUNDI,101396
1980,THIRUVAIYARU,77322
1980,THIRUVALLUR,72595
1980,THIRUVARUR,90786
1980,THIRUVATTAR,61757
1980,THIRUVERUMBUR,90703
1980,THIRUVIDAIMARUDUR,88054
1980,THIRUVONAM,90663
1980,THIRUVOTTIYUR,102296
1980,THONDAMUTHUR,100495
1980,THOTTIYAM,87268
1980,THOUSAND LIGHTS,80691
1980,TINDIVANAM,70343
1980,TIRUCHENDUR,71730
1980,TIRUCHENGODU,124904
1980,TIRUCHIRAPALLI-I,71182
1980,TIRUCHIRAPALLI-II,77496
1980,TIRUNELVELI,83394
