constituency,name,party,margin,state,votes,Year,rank
Darbhanga Rural,LALIT KUMAR YADAV,Rashtriya Janata Dal,34491,Bihar,70557,2015,1
Dehri,MOHAMMAD ILIYAS HUSSAIN,Rashtriya Janata Dal,3898,Bihar,49402,2015,1
Dhaka,FAISAL RAHMAN,Rashtriya Janata Dal,19197,Bihar,87458,2015,1
Dhamdaha,LESHI SINGH,Janata Dal (United),29817,Bihar,75400,2015,1
Dhauraiya (SC),MANISH KUMAR,Janata Dal (United),24154,Bihar,68858,2015,1
Digha,SANJIV CHAURASIA,Bharatiya Janata Party,24779,Bihar,92671,2015,1
Dinara,JAI KUMAR SINGH,Janata Dal (United),2691,Bihar,64699,2015,1
Dumraon,DADAN YADAV,Janata Dal (United),30339,Bihar,81081,2015,1
Ekma,MANORANJAN SINGH,Janata Dal (United),8126,Bihar,49508,2015,1
Fatuha,DR. RAMA NAND YADAV,Rashtriya Janata Dal,30402,Bihar,77210,2015,1
Forbesganj,VIDYA SAGAR KESHRI,Bharatiya Janata Party,25238,Bihar,85929,2015,1
Gaighat,MAHESHWAR PRASAD YADAV,Rashtriya Janata Dal,3501,Bihar,67313,2015,1
Garkha (SC),MUNESHWAR CHAUDHARY,Rashtriya Janata Dal,39883,Bihar,89249,2015,1
Gaura Bauram,MADAN SAHNI,Janata Dal (United),14062,Bihar,51403,2015,1
Gaya Town,PREM KUMAR,Bharatiya Janata Party,22789,Bihar,66891,2015,1
Ghosi,KRISHAN NANDAN PRASAD VERMA,Janata Dal (United),21625,Bihar,67248,2015,1
Gobindpur,PURNIMA YADAV,Indian National Congress,4399,Bihar,43016,2015,1
Goh,MANOJ KUMAR,Bharatiya Janata Party,7672,Bihar,53615,2015,1
Gopalganj,SUBASH SINGH,Bharatiya Janata Party,5074,Bihar,78491,2015,1
Gopalpur,NARENDRA KUMAR NIRAJ,Janata Dal (United),5169,Bihar,57403,2015,1
Goriakothi,SATYADEO PRASAD SINGH,Rashtriya Janata Dal,7651,Bihar,70965,2015,1
Govindganj,RAJU TIWARI,Lok Jan Shakti Party,27920,Bihar,74685,2015,1
Gurua,RAJIV NANDAN,Bharatiya Janata Party,6515,Bihar,56480,2015,1
Hajipur,AWADHESH SINGH,Bharatiya Janata Party,12195,Bihar,86773,2015,1
Harlakhi,BASANT KUMAR,Rashtriya Lok Samta Party,3892,Bihar,40468,2015,1
Harnaut,HARI NARAYAN SINGH,Janata Dal (United),14295,Bihar,71933,2015,1
Harsidhi (SC),RAJENDRA KUMAR,Rashtriya Janata Dal,10267,Bihar,75203,2015,1
Hasanpur,RAJ KUMAR RAY,Janata Dal (United),29600,Bihar,63094,2015,1
Hathua,RAMSEWAK SINGH,Janata Dal (United),22984,Bihar,57917,2015,1
Hayaghat,AMAR NATH GAMI,Janata Dal (United),33231,Bihar,65677,2015,1
Hilsa,ATRI MUNI URPH SHAKTI SINGH YADAV,Rashtriya Janata Dal,26076,Bihar,72347,2015,1
Hisua,ANIL SINGH,Bharatiya Janata Party,12239,Bihar,82493,2015,1
Imamganj (SC),JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),29408,Bihar,79389,2015,1
Islampur,CHANDRASEN PRASAD,Janata Dal (United),22602,Bihar,66587,2015,1
Jagdishpur,RAM VISHUN SINGH,Rashtriya Janata Dal,10195,Bihar,49020,2015,1
Jahanabad,MUNDRIKA SINGH YADAV,Rashtriya Janata Dal,30321,Bihar,76458,2015,1
Jale,JIBESH KUMAR,Bharatiya Janata Party,4620,Bihar,62059,2015,1
Jamalpur,SHAILESH KUMAR,Janata Dal (United),15476,Bihar,67273,2015,1
Jamui,VIJAY PRAKASH,Rashtriya Janata Dal,8249,Bihar,66577,2015,1
Jhajha,RABINDRA YADAV,Bharatiya Janata Party,22086,Bihar,65537,2015,1
Jhanjharpur,GULAB YADAV,Rashtriya Janata Dal,834,Bihar,64320,2015,1
Jokihat,SARFRAZ ALAM,Janata Dal (United),53980,Bihar,92890,2015,1
Kadwa,SHAKEEL AHMAD KHAN,Indian National Congress,5799,Bihar,56141,2015,1
Kahalgaon,SADANAND SINGH,Indian National Congress,21229,Bihar,64981,2015,1
Kalyanpur,SACHINDRA PRASAD SINGH,Bharatiya Janata Party,11488,Bihar,50060,2015,1
Kalyanpur (SC),MAHESHWAR HAZARI,Janata Dal (United),37686,Bihar,84904,2015,1
Kanti,ASHOK KUMAR CHOUDHARY (SADATPUR),Independent,9275,Bihar,58111,2015,1
Karakat,SANJAY KUMAR SINGH,Rashtriya Janata Dal,12119,Bihar,59720,2015,1
Kargahar,BASHISHT SINGH,Janata Dal (United),12907,Bihar,57018,2015,1
Kasba,MD. AFAQUE ALAM,Indian National Congress,1794,Bihar,81633,2015,1
Katihar,TARKISHORE PRASAD,Bharatiya Janata Party,14894,Bihar,66048,2015,1
Katoria (ST),SWEETY SIMA HEMBRAM,Rashtriya Janata Dal,10337,Bihar,54760,2015,1
Keoti,FARAZ FATMI,Rashtriya Janata Dal,7830,Bihar,68601,2015,1
Kesaria,DR. RAJESH KUMAR,Rashtriya Janata Dal,15947,Bihar,62902,2015,1
Khagaria,POONAM DEVI YADAV,Janata Dal (United),25565,Bihar,64767,2015,1
Khajauli,SITARAM YADAV,Rashtriya Janata Dal,10703,Bihar,71534,2015,1
Kishanganj,DR MOHAMMAD JAWAID,Indian National Congress,8609,Bihar,66522,2015,1
Kochadhaman,MUJAHID ALAM,Janata Dal (United),18843,Bihar,55929,2015,1
Korha (SC),PUNAM KUMARI ALIAS PUNAM PASWAN,Indian National Congress,5426,Bihar,78409,2015,1
Kuchaikote,AMRENDRA KUMAR PANDEY,Janata Dal (United),3562,Bihar,72224,2015,1
Kumhrar,ARUN KUMAR SINHA,Bharatiya Janata Party,37275,Bihar,87792,2015,1
Kurhani,KEDAR PRASAD GUPTA,Bharatiya Janata Party,11570,Bihar,73227,2015,1
Kurtha,SATYADEO SINGH,Janata Dal (United),14119,Bihar,43676,2015,1
Kusheshwar Asthan (SC),SHASHI BHUSAN HAZARI,Janata Dal (United),19850,Bihar,50062,2015,1
Kutumba (SC),RAJESH KUMAR,Indian National Congress,10098,Bihar,51303,2015,1
Lakhisarai,VIJAY KUMAR SINHA,Bharatiya Janata Party,6556,Bihar,75901,2015,1
Lalganj,RAJ KUMAR SAH,Lok Jan Shakti Party,20293,Bihar,80842,2015,1
Laukaha,LAKSHMESHWAR ROY,Janata Dal (United),23833,Bihar,79971,2015,1
Lauriya,VINAY BIHARI,Bharatiya Janata Party,17573,Bihar,57351,2015,1
Madhepura,CHANDRA SHEKHAR,Rashtriya Janata Dal,37642,Bihar,90974,2015,1
Madhuban,RANA RANDHIR,Bharatiya Janata Party,16222,Bihar,61054,2015,1
Madhubani,SAMIR KUMAR MAHASETH,Rashtriya Janata Dal,7307,Bihar,76823,2015,1
Maharajganj,HEM NARAYAN SAH,Janata Dal (United),20292,Bihar,68459,2015,1
Mahishi,DR. ABDUL GHAFOOR,Rashtriya Janata Dal,26135,Bihar,56436,2015,1
Mahnar,UMESH SINGH KUSHWAHA,Janata Dal (United),26455,Bihar,69825,2015,1
Mahua,TEJ PRATAP YADAV,Rashtriya Janata Dal,28155,Bihar,66927,2015,1
Makhadumapur (SC),SUBEDAR DAS,Rashtriya Janata Dal,26777,Bihar,66631,2015,1
Maner,BHAI VIRENDRA,Rashtriya Janata Dal,22828,Bihar,89773,2015,1
Manihari (ST),MANOHAR PRASAD SINGH,Indian National Congress,13680,Bihar,61704,2015,1
Manjhi,VIJAY SHANKER DUBEY,Indian National Congress,8866,Bihar,29558,2015,1
Marhaura,JEETENDRA KUMAR RAI,Rashtriya Janata Dal,16718,Bihar,66714,2015,1
Masaurhi (SC),REKHA DEVI (VILL- PABHEDA),Rashtriya Janata Dal,39186,Bihar,89657,2015,1
Matihani,NARENDRA KUMAR SINGH ALIAS BOGO SINGH,Janata Dal (United),22688,Bihar,89297,2015,1
