year,constituency,ST_NAME,AC_NO,rank,AC_TYPE,name,SEX,AGE,CATEGORY,party,votes,color,polled_votes
2006,Karur,Tamil Nadu,152,1,GEN,Senthil Balaji V,M,31,GEN,ADMK,80214,#9DBC2A,170676
2006,Krishnarajapuram,Tamil Nadu,153,1,SC,Kamaraj. P,M,43,SC,DMK,58394,#800000,126049
2006,Marungapuri,Tamil Nadu,154,1,GEN,Chinnasamy.C,M,39,GEN,ADMK,57910,#9DBC2A,135080
2006,Kulithalai,Tamil Nadu,155,1,GEN,Manickam.R,M,46,GEN,DMK,69615,#800000,138070
2006,Thottiyam,Tamil Nadu,156,1,GEN,Rajasekharan M.,M,43,GEN,INC,43080,#019733,123642
2006,Uppiliapuram,Tamil Nadu,157,1,ST,Rani R.,F,38,ST,DMK,59171,#800000,125957
2006,Musiri,Tamil Nadu,158,1,GEN,Selvaraj N,M,61,GEN,DMK,74311,#800000,153726
2006,Lalgudi,Tamil Nadu,159,1,GEN,Soundara Pandian A.,M,42,GEN,DMK,62937,#800000,132167
2006,Perambalur,Tamil Nadu,160,1,SC,Rajkumar.M,M,39,SC,DMK,60478,#800000,133863
2006,Varahur,Tamil Nadu,161,1,SC,Chanthirakasi.M,M,38,SC,ADMK,52815,#9DBC2A,121148
2006,Ariyalur,Tamil Nadu,162,1,GEN,Amaramoorthy.D,M,55,GEN,INC,60089,#019733,132460
2006,Andimadam,Tamil Nadu,163,1,GEN,Sivasankar.S.S,M,36,GEN,DMK,51395,#800000,113460
2006,Jayankondam,Tamil Nadu,164,1,GEN,Rajendran.K,M,49,GEN,ADMK,61999,#9DBC2A,135031
2006,Srirangam,Tamil Nadu,165,1,GEN,Paranjothi M.,M,45,GEN,ADMK,89135,#9DBC2A,193841
2006,Tiruchirapalli-I,Tamil Nadu,166,1,GEN,Anbil Periasamy,M,40,GEN,DMK,42886,#800000,86797
2006,Tiruchirapalli-Ii,Tamil Nadu,167,1,GEN,Nehru K.N.,M,54,GEN,DMK,74026,#800000,149931
2006,Thiruverumbur,Tamil Nadu,168,1,GEN,Sekaran K.N.,M,48,GEN,DMK,95687,#800000,189750
2006,Sirkazhi,Tamil Nadu,169,1,SC,Pannerselvam.M,M,51,SC,DMK,58609,#800000,123817
2006,Poompuhar,Tamil Nadu,170,1,GEN,Periyasamy.K,M,35,GEN,PMK,55375,#F0CC52,120015
2006,Mayuram,Tamil Nadu,171,1,GEN,Rajakumar.S,M,38,GEN,INC,53490,#019733,115612
2006,Kuttalam,Tamil Nadu,172,1,GEN,Anbazhagan.K,M,25,GEN,DMK,66841,#800000,129123
2006,Nannilam,Tamil Nadu,173,1,SC,Padmavathy .P,F,52,SC,CPI,65614,#DE0000,127511
2006,Thiruvarur,Tamil Nadu,174,1,SC,Mathivanan. U,M,48,SC,DMK,76901,#800000,135462
2006,Nagapattinam,Tamil Nadu,175,1,GEN,Marimuthu.V,M,48,GEN,CPI(M),57315,#DE0000,125060
2006,Vedaranyam,Tamil Nadu,176,1,GEN,Vedarathinam.S.K,M,48,GEN,DMK,66401,#800000,132984
2006,Thiruthuraipundi,Tamil Nadu,177,1,SC,Ulaganathan .K.,M,51,SC,CPI,75371,#DE0000,137841
2006,Mannargudi,Tamil Nadu,178,1,GEN,Sivapunniyam . V,M,54,GEN,CPI,68144,#DE0000,137898
2006,Pattukkottai,Tamil Nadu,179,1,GEN,Rengarajan.N.R,M,42,GEN,INC,58776,#019733,125918
2006,Peravurani,Tamil Nadu,180,1,GEN,Veerakapilan.M.V.R,M,48,GEN,ADMK,54183,#9DBC2A,129781
2006,Orathanadu,Tamil Nadu,181,1,GEN,Vaithilingam.R,M,51,GEN,ADMK,61595,#9DBC2A,128638
2006,Thiruvonam,Tamil Nadu,182,1,GEN,Mahesh Krishnasamy.T,M,31,GEN,DMK,69235,#800000,149991
2006,Thanjavur,Tamil Nadu,183,1,GEN,Ubayadullah.S.N.M,M,64,GEN,DMK,61658,#800000,123038
2006,Thiruvaiyaru,Tamil Nadu,184,1,GEN,Chandrasekaran.Durai,M,46,GEN,DMK,52723,#800000,114898
2006,Papanasam,Tamil Nadu,185,1,GEN,Doraikkannu.R,M,56,GEN,ADMK,60027,#9DBC2A,123180
2006,Valangiman,Tamil Nadu,186,1,SC,Ilamathi Subramanian,F,35,SC,ADMK,51939,#9DBC2A,109960
2006,Kumbakonam,Tamil Nadu,187,1,GEN,Mani.Ko.Si,M,75,GEN,DMK,65305,#800000,125038
2006,Thiruvidaimarudur,Tamil Nadu,188,1,GEN,Bharathimohan.R.K,M,38,GEN,ADMK,63231,#9DBC2A,134700
2006,Thirumaiyam,Tamil Nadu,189,1,GEN,"Subburam, Rm",M,55,GEN,INC,47358,#019733,117986
2006,Kolathur,Tamil Nadu,190,1,SC,"Subramanian, N.",M,52,SC,ADMK,68735,#9DBC2A,148090
2006,Pudukkottai,Tamil Nadu,191,1,GEN,"Nedunchezhian, R",M,35,GEN,ADMK,64319,#9DBC2A,152502
2006,Alangudi,Tamil Nadu,192,1,GEN,"Rajasekaran, S",M,59,GEN,CPI,60122,#DE0000,152986
2006,Aranthangi,Tamil Nadu,193,1,GEN,Udayam Shanmugam,M,51,GEN,DMK,63333,#800000,144402
2006,Tirupathur,Tamil Nadu,194,1,GEN,Periyakaruppan.K.R,M,46,GEN,DMK,48128,#800000,255076
2006,Karaikudi,Tamil Nadu,195,1,GEN,Sundaram.N,M,51,GEN,INC,64013,#019733,131432
2006,Tiruvadanai,Tamil Nadu,196,1,GEN,Ramasamy.K.R,M,53,GEN,INC,55198,#019733,117605
2006,Ilayangudi,Tamil Nadu,197,1,GEN,Rajakannappan R.S,M,57,GEN,DMK,50952,#800000,97465
2006,Sivaganga,Tamil Nadu,198,1,GEN,Gunasekaran S,M,50,GEN,CPI,39488,#DE0000,115675
2006,Manamadurai,Tamil Nadu,199,1,SC,Gunasekaran.M,M,44,SC,ADMK,53492,#9DBC2A,109458
2006,Paramakudi,Tamil Nadu,200,1,SC,Ramprabhu.R,M,39,SC,INC,51075,#019733,112600
2006,Ramanathapuram,Tamil Nadu,201,1,GEN,Hussan Ali.K.,M,61,GEN,INC,66922,#019733,144149
2006,Kadaladi,Tamil Nadu,202,1,GEN,Thangavelan.Suba.,M,70,GEN,DMK,53600,#800000,119431
2006,Mudhukulathur,Tamil Nadu,203,1,GEN,Murugavel.K.,M,42,GEN,DMK,51555,#800000,103706
