ST_NAME,year,AC_NO,rank,constituency,AC_TYPE,name,SEX,AGE,CATEGORY,party,votes,color
Tamil Nadu,1977,210,1,Vilathikulam,GEN,R.K. Perumal,M,0,N/A,ADMK,25384,#9DBC2A
Tamil Nadu,1977,211,1,Ottapidaram,SC,O.S. Veluchami,M,0,N/A,INC,22629,#019733
Tamil Nadu,1977,212,1,Kovilpatti,GEN,S. Alagarsamy,M,0,N/A,CPI,21985,#DE0000
Tamil Nadu,1977,213,1,Sankarankovil,SC,S. Subbiah,M,0,N/A,DMK,21569,#800000
Tamil Nadu,1977,214,1,Vasudevanallur,SC,R. Krishnan,M,0,N/A,CPM,20092,#DE0000
Tamil Nadu,1977,215,1,Kadayanallur,GEN,M.M.A. Razak,M,0,N/A,ADMK,29347,#9DBC2A
Tamil Nadu,1977,216,1,Tenkasi,GEN,S. Muthusamy Karayalar,M,0,N/A,INC,30273,#019733
Tamil Nadu,1977,217,1,Alangulam,GEN,V. Karuppasamypandian,M,0,N/A,ADMK,20183,#9DBC2A
Tamil Nadu,1977,218,1,Tirunelveli,GEN,G.R. Edmund,M,0,N/A,ADMK,26419,#9DBC2A
Tamil Nadu,1977,219,1,Palayamkottai,GEN,K. Manoharan,M,0,N/A,ADMK,29146,#9DBC2A
Tamil Nadu,1977,220,1,Cheranmahadevi,GEN,Pandian,M,0,N/A,ADMK,24256,#9DBC2A
Tamil Nadu,1977,221,1,Ambasamudram,GEN,Eswaramoorthy Alias Soranam,M,0,N/A,CPM,23356,#DE0000
Tamil Nadu,1977,222,1,Nanguneri,GEN,M. John Vincent,M,0,N/A,JNP,18668,#9A9E56
Tamil Nadu,1977,223,1,Radhapuram,GEN,Y.S.M. Yusuf,M,0,N/A,ADMK,26404,#9DBC2A
Tamil Nadu,1977,224,1,Sattangulam,GEN,R. Jebamani,M,0,N/A,JNP,18362,#9A9E56
Tamil Nadu,1977,225,1,Tiruchendur,GEN,R. Amirtharaj,M,0,N/A,ADMK,20871,#9DBC2A
Tamil Nadu,1977,226,1,Srivaikuntam,GEN,K. Sathu Solvaraj,M,0,N/A,ADMK,20459,#9DBC2A
Tamil Nadu,1977,227,1,Tuticorin,GEN,N. Dhanasekaran,M,0,N/A,ADMK,23598,#9DBC2A
Tamil Nadu,1977,228,1,Kanniyakumari,GEN,C. Krishnan,M,0,N/A,ADMK,23222,#9DBC2A
Tamil Nadu,1977,229,1,Nagercoil,GEN,M. Vincent,M,0,N/A,ADMK,26973,#9DBC2A
Tamil Nadu,1977,230,1,Kollachal,GEN,R. Athiswami,M,0,N/A,JNP,21131,#9A9E56
Tamil Nadu,1977,231,1,Padmanabhapuram,GEN,A. Swamidhas,M,0,N/A,JNP,22910,#9A9E56
Tamil Nadu,1977,232,1,Thiruvattar,GEN,J. James,M,0,N/A,JNP,27812,#9A9E56
Tamil Nadu,1977,233,1,Vilavancode,GEN,D. Gnanasigamony,M,0,N/A,CPM,32628,#DE0000
Tamil Nadu,1977,234,1,Killiyoor,GEN,P. Vijayaraghavan,M,0,N/A,JNP,34237,#9A9E56
Tamil Nadu,1980,1,1,Royapuram,GEN,"Ponnurangam,P",M,0,N/A,DMK,37390,#800000
Tamil Nadu,1980,2,1,Harbour,GEN,"Selvarasan,A",M,0,N/A,DMK,32716,#800000
Tamil Nadu,1980,3,1,Dr. Radhakrishnan Nagar,GEN,"Rajasekaran,V",M,0,N/A,INC,44076,#019733
Tamil Nadu,1980,4,1,Park Town,GEN,"Somu,N.V.N",M,0,N/A,DMK,38095,#800000
Tamil Nadu,1980,5,1,Perambur,SC,"Balan,S",M,0,N/A,DMK,49269,#800000
Tamil Nadu,1980,6,1,Purasawalkam,GEN,"Anbazhagan,K",M,0,N/A,DMK,52729,#800000
Tamil Nadu,1980,7,1,Egmore,SC,"Ellayaperumal,L",M,0,N/A,INC,38200,#019733
Tamil Nadu,1980,8,1,Anna Nagar,GEN,"Karunanidhi,M",M,0,N/A,DMK,51290,#800000
Tamil Nadu,1980,9,1,T-Nagar,GEN,"Sourirajan,K",M,0,N/A,GKC,42566,#222
Tamil Nadu,1980,10,1,Thousand Lights,GEN,"Krishnasamy,K.A",M,0,N/A,ADMK,40499,#9DBC2A
Tamil Nadu,1980,11,1,Chepauk,GEN,"Rahman Khan,A",M,0,N/A,DMK,32627,#800000
Tamil Nadu,1980,12,1,Triplicane,GEN,"Haja Shareeff,K.S.G",M,0,N/A,INC,33664,#019733
Tamil Nadu,1980,13,1,Mylapore,GEN,"Kapali, T.K",M,0,N/A,ADMK,41260,#9DBC2A
Tamil Nadu,1980,14,1,Saidapet,GEN,"Purushothaman,D",M,0,N/A,DMK,40403,#800000
Tamil Nadu,1980,15,1,Gummidipoondi,GEN,"Munirathinam,R.S",M,0,N/A,ADMK,41845,#9DBC2A
Tamil Nadu,1980,16,1,Ponneri,SC,"Chakarapani,R",M,0,N/A,ADMK,42408,#9DBC2A
Tamil Nadu,1980,17,1,Thiruvottiyur,GEN,Kumari Ananthan,M,0,N/A,GKC,48451,#222
Tamil Nadu,1980,18,1,Villivakkam,GEN,"Prabakaran,J.C.D",M,0,N/A,ADMK,57192,#9DBC2A
Tamil Nadu,1980,19,1,Alandur,GEN,"Abdul Razack,K.M",M,0,N/A,ADMK,50345,#9DBC2A
Tamil Nadu,1980,20,1,Tambaram,GEN,Pammal Nallathambi,M,0,N/A,DMK,59931,#800000
Tamil Nadu,1980,21,1,Tirupporur,SC,"Chockalingam,G",M,0,N/A,DMK,33287,#800000
Tamil Nadu,1980,22,1,Chengalpattu,GEN,"Jagadeesan,Anoor,P.G",M,0,N/A,ADMK,40466,#9DBC2A
Tamil Nadu,1980,23,1,Maduranthakam,GEN,"Ugamchand,S.D",M,0,N/A,ADMK,46922,#9DBC2A
Tamil Nadu,1980,24,1,Acharapakkam,SC,"Ganesan,C",M,0,N/A,ADMK,35233,#9DBC2A
Tamil Nadu,1980,25,1,Uthiramerur,GEN,"Jagathrakshakan,S",M,0,N/A,ADMK,43303,#9DBC2A
Tamil Nadu,1980,26,1,Kancheepuram,GEN,"Venkatasubramanian,P",M,0,N/A,ADMK,46051,#9DBC2A
Tamil Nadu,1980,27,1,Sriperumbudur,SC,D.Yasodha,F,0,N/A,INC,37370,#019733
Tamil Nadu,1980,28,1,Poonamallee,GEN,"Rajarathinam, D.",M,0,N/A,DMK,38018,#800000
Tamil Nadu,1980,29,1,Thiruvallur,GEN,"Pattabiraman,S",M,0,N/A,ADMK,30121,#9DBC2A
Tamil Nadu,1980,30,1,Tiruttani,GEN,"Shanmugam, R",M,0,N/A,ADMK,35845,#9DBC2A
Tamil Nadu,1980,31,1,Pallipet,GEN,"Narasimhan, P.M",M,0,N/A,ADMK,26377,#9DBC2A
Tamil Nadu,1980,32,1,Arakkonam,SC,"Vijayasarathy, M",M,0,N/A,ADMK,36314,#9DBC2A
Tamil Nadu,1980,33,1,Sholingur,GEN,"Gopal, C",M,0,N/A,ADMK,35783,#9DBC2A
Tamil Nadu,1980,34,1,Ranipet,GEN,Durai Murugan,M,0,N/A,DMK,44318,#800000
Tamil Nadu,1980,35,1,Arcot,GEN,"Sethuraman, A M",M,0,N/A,ADMK,35998,#9DBC2A
Tamil Nadu,1980,36,1,Katpadi,GEN,"Poongavanam, N. A",M,0,N/A,CPI,31918,#DE0000
Tamil Nadu,1980,37,1,Gudiyattam,GEN,"Sundaram, K.R",M,0,N/A,CPM,30869,#DE0000
Tamil Nadu,1980,38,1,Pernambattu,SC,"Moorthy, G",M,0,N/A,ADMK,30048,#9DBC2A
Tamil Nadu,1980,39,1,Vaniyambadi,GEN,"Kulasekara Pandiyan, N",M,0,N/A,ADMK,38049,#9DBC2A
Tamil Nadu,1980,40,1,Natrampalli,GEN,"Anbazhagan, T",M,0,N/A,ADMK,42786,#9DBC2A
Tamil Nadu,1980,41,1,Tiruppattur,GEN,"Sundaram, B",M,0,N/A,DMK,42786,#800000
Tamil Nadu,1980,42,1,Chengam,SC,"Swamikannu, T",M,0,N/A,ADMK,26823,#9DBC2A
Tamil Nadu,1980,43,1,Thandarambattu,GEN,"Venugopal, D",M,0,N/A,DMK,46326,#800000
Tamil Nadu,1980,44,1,Tiruvannamalai,GEN,"Narayanasamy, K",M,0,N/A,INC,54437,#019733
Tamil Nadu,1980,45,1,Kalasapakkam,GEN,"Thiruvengadam, P.S",M,0,N/A,DMK,44923,#800000
Tamil Nadu,1980,46,1,Polur,GEN,"Balaraman, L",M,0,N/A,INC,35456,#019733
Tamil Nadu,1980,47,1,Anaicut,GEN,"Viswanathan,G",M,0,N/A,ADMK,35242,#9DBC2A
Tamil Nadu,1980,48,1,Vellore,GEN,"Devaraj, V.M",M,0,N/A,DMK,43126,#800000
Tamil Nadu,1980,49,1,Arani,GEN,"Shanmugam, A. C",M,0,N/A,ADMK,42928,#9DBC2A
Tamil Nadu,1980,50,1,Cheyyar,GEN,Babu Janarthanan,M,0,N/A,DMK,43341,#800000
Tamil Nadu,1980,51,1,Vandavasi,SC,"Kuppusami, C",M,0,N/A,ADMK,38501,#9DBC2A
Tamil Nadu,1980,52,1,Peranamallur,GEN,"Venkitesan, P. M",M,0,N/A,ADMK,32645,#9DBC2A
Tamil Nadu,1980,53,1,Melmalayanur,GEN,"Chinnadurai, A",M,0,N/A,ADMK,39572,#9DBC2A
Tamil Nadu,1980,54,1,Gingee,GEN,"Ramchandran, N",M,0,N/A,DMK,41708,#800000
Tamil Nadu,1980,55,1,Tindivanam,GEN,"Thangamani Gounder, K. M",M,0,N/A,INC,29778,#019733
Tamil Nadu,1980,56,1,Vanur,SC,"Muthuvel, N",M,0,N/A,DMK,38883,#800000
Tamil Nadu,1980,57,1,Kandamangalam,SC,"Kannan, M",M,0,N/A,ADMK,34368,#9DBC2A
Tamil Nadu,1980,58,1,Villupuram,GEN,"Palaniappan, K. P",M,0,N/A,DMK,45952,#800000
Tamil Nadu,1980,59,1,Mugaiyur,GEN,"Sundaramurthy, R",M,0,N/A,INC,39490,#019733
Tamil Nadu,1980,60,1,Thirunavalur,GEN,"Subramanian, V",M,0,N/A,DMK,36517,#800000
Tamil Nadu,1980,61,1,Ulundurpet,SC,"Rangasamy, K",M,0,N/A,DMK,40068,#800000
Tamil Nadu,1980,62,1,Nellikuppam,GEN,"Krishnamoorthi, V",M,0,N/A,DMK,40526,#800000
Tamil Nadu,1980,63,1,Cuddalore,GEN,Babu Govindarajan,M,0,N/A,DMK,40539,#800000
Tamil Nadu,1980,64,1,Panruti,GEN,"Ramachandran, S",M,0,N/A,ADMK,44557,#9DBC2A
Tamil Nadu,1980,65,1,Kurinjipadi,GEN,"Thangarasu, A",M,0,N/A,ADMK,38349,#9DBC2A
Tamil Nadu,1980,66,1,Bhuvanagiri,GEN,"Swaminathan, V .V",M,0,N/A,ADMK,41207,#9DBC2A
Tamil Nadu,1980,67,1,Kattumannarkoil,SC,"Ramalingam, E",M,0,N/A,DMK,44012,#800000
Tamil Nadu,1980,68,1,Chidambaram,GEN,"Ganapathy, K. R",M,0,N/A,ADMK,41728,#9DBC2A
Tamil Nadu,1980,69,1,Vridhachalam,GEN,"Thiyagarajan, R",M,0,N/A,INC,45382,#019733
Tamil Nadu,1980,70,1,Mangalur,SC,"Kaliamoorthy, P",M,0,N/A,ADMK,40678,#9DBC2A
Tamil Nadu,1980,71,1,Rishivandiyam,GEN,"Sundaram, M",M,0,N/A,INC,38238,#019733
Tamil Nadu,1980,72,1,Kallakurichi,GEN,"Sivaraman, S",M,0,N/A,INC,39370,#019733
Tamil Nadu,1980,73,1,Sankarapuram,GEN,"Kalitheerthan, S",M,0,N/A,ADMK,36352,#9DBC2A
Tamil Nadu,1980,74,1,Hosur,GEN,"Venkata Reddy, T",M,0,N/A,INC,25855,#019733
Tamil Nadu,1980,75,1,Thalli,GEN,"Rajaram Naidu, D.R",M,0,N/A,INC,25558,#019733
Tamil Nadu,1980,76,1,Kaveripattinam,GEN,"Samarasam, K",M,0,N/A,ADMK,35434,#9DBC2A
Tamil Nadu,1980,77,1,Krishnagiri,GEN,"Chinnarasu, K. R",M,0,N/A,ADMK,28020,#9DBC2A
