year,constituency,ST_NAME,AC_NO,rank,AC_TYPE,name,SEX,AGE,CATEGORY,party,votes,color,polled_votes
1967,Thirumaiyam,Tamil Nadu,166,1,GEN,Ponnambalam,M,0,,DMK,44511,#c0392b,70889
1967,Alangudi,Tamil Nadu,167,1,GEN,K.V. Subbiah,M,0,,DMK,32984,#c0392b,65132
1967,Pudukkottai,Tamil Nadu,168,1,GEN,R.V.Thondaiman,M,0,,INC,45342,#2ecc71,73055
1967,Thiruvaiyaru,Tamil Nadu,169,1,GEN,G.M.Sethurar,M,0,,DMK,37693,#c0392b,72571
1967,Thanjavur,Tamil Nadu,170,1,GEN,P.Nadar,M,0,,INC,33228,#2ecc71,62269
1967,Papanasam,Tamil Nadu,171,1,GEN,R.S.Mooppanar,M,0,,INC,41323,#2ecc71,73047
1967,Valangiman,Tamil Nadu,172,1,SC,N.Somasundaram,M,0,,DMK,34436,#c0392b,64854
1967,Kumbakonam,Tamil Nadu,173,1,GEN,N.Kasiraman,M,0,,INC,37276,#2ecc71,73627
1967,Aduthurai,Tamil Nadu,174,1,GEN,A.Marimuthu,M,0,,INC,36537,#2ecc71,75304
1967,Sirkazhi,Tamil Nadu,175,1,SC,K.B.S.Mani,M,0,,IND,34316,#bdc3c7,58934
1967,Sembanarkoil,Tamil Nadu,176,1,GEN,S.Ganesan,M,0,,DMK,40453,#c0392b,61959
1967,Mayuram,Tamil Nadu,177,1,GEN,N.Kittappa,M,0,,DMK,33721,#c0392b,65845
1967,Kuttalam,Tamil Nadu,178,1,GEN,G.B.Mohan,M,0,,CPM,31548,#ff5757,58428
1967,Kodavasal,Tamil Nadu,179,1,GEN,C.Krishnamoorthi,M,0,,DMK,34880,#c0392b,63465
1967,Nannilam,Tamil Nadu,180,1,SC,P.Jayaraj,M,0,,INC,26053,#2ecc71,56192
1967,Thiruvarur,Tamil Nadu,181,1,SC,Dhanushkodi,M,0,,CPM,30510,#ff5757,63506
1967,Nagapattinam,Tamil Nadu,182,1,GEN,K.R.Gnanasambandan,M,0,,CPM,36596,#ff5757,64892
1967,Vedaranyam,Tamil Nadu,183,1,GEN,P.V.Thevar,M,0,,INC,25942,#2ecc71,67016
1967,Thiruthuraipundi,Tamil Nadu,184,1,GEN,N.Dharumalingam,M,0,,DMK,23728,#c0392b,62378
1967,Kottur,Tamil Nadu,185,1,SC,A.K.Subbaih,M,0,,CPI,28156,#ff5757,66298
1967,Mannargudi,Tamil Nadu,186,1,GEN,T.S.S.Ooayar,M,0,,INC,32481,#2ecc71,64836
1967,Orathanadu,Tamil Nadu,187,1,GEN,L.Ganesan,M,0,,DMK,45232,#c0392b,74371
1967,Gandharvakottai,Tamil Nadu,188,1,GEN,R.R.Durai,M,0,,INC,34665,#2ecc71,65805
1967,Pattukkottai,Tamil Nadu,189,1,GEN,A.R.Marimuthu,M,0,,PSP,35198,#222,64471
1967,Peravurani,Tamil Nadu,190,1,GEN,M.Krishnamurthy,M,0,,DMK,35505,#c0392b,78199
1967,Aranthangi,Tamil Nadu,191,1,GEN,A.Thurairasan,M,0,,DMK,42943,#c0392b,80853
1967,Tirupathur,Tamil Nadu,192,1,GEN,S.Madhavan,M,0,,DMK,40170,#c0392b,68400
1967,Karaikudi,Tamil Nadu,193,1,GEN,S.Meiyappan,M,0,,SWA,38310,#222,65230
1967,Tiruvadanai,Tamil Nadu,194,1,GEN,K.Ambalam,M,0,,SWA,37556,#222,71935
1967,Ilayangudi,Tamil Nadu,195,1,GEN,V.Malaikannan,M,0,,DMK,40461,#c0392b,70439
1967,Ramanathapuram,Tamil Nadu,196,1,GEN,T.Thangappan,M,0,,DMK,35880,#c0392b,63150
1967,Kadaladi,Tamil Nadu,197,1,SC,M.Alangaram,M,0,,DMK,38681,#c0392b,62899
1967,Mudhukulathur,Tamil Nadu,198,1,GEN,R.R.Thevar,M,0,,SWA,33790,#222,63553
1967,Paramakudi,Tamil Nadu,199,1,SC,T.K.Siraimeetan,M,0,,DMK,40428,#c0392b,71344
1967,Sivaganga,Tamil Nadu,200,1,GEN,S.Sethuraman,M,0,,DMK,41604,#c0392b,70258
1967,Manamadurai,Tamil Nadu,201,1,GEN,K.Cheemaichamy,M,0,,SWA,30752,#222,69227
1967,Kariapatti,Tamil Nadu,202,1,GEN,A.R.Perumal,M,0,,SWA,28484,#222,63166
1967,Aruppukkottai,Tamil Nadu,203,1,GEN,S.S.Bharathi,M,0,,SWA,34153,#222,62465
1967,Virudhunagar,Tamil Nadu,204,1,GEN,P.Seenivasan,M,0,,DMK,33421,#c0392b,66974
1967,Sattur,Tamil Nadu,205,1,GEN,S.R.Naidu,M,0,,SWA,45223,#222,70536
1967,Sivakasi,Tamil Nadu,206,1,GEN,S.A.Thevar,M,0,,SWA,38416,#222,68936
1967,Srivilliputhur,Tamil Nadu,207,1,SC,K.A.A.Gurusamy,M,0,,DMK,36732,#c0392b,68862
1967,Rajapalayam,Tamil Nadu,208,1,GEN,A.A.S.Raja,M,0,,IND,38936,#bdc3c7,73066
1967,Vilathikulam,Tamil Nadu,209,1,GEN,M.Rathinasabapathy,M,0,,DMK,23905,#c0392b,63795
1967,Kovilpatti,Tamil Nadu,210,1,GEN,S.Alagirisamy,M,0,,CPI,33311,#ff5757,60546
1967,Ottapidaram,Tamil Nadu,211,1,SC,M.Muthiah,M,0,,SWA,25937,#222,57072
1967,Sankarankovil,Tamil Nadu,212,1,SC,P.Durairaj,M,0,,DMK,37173,#c0392b,59202
