YEAR,AC_NAME,PARTY,ST_NAME,AC_NO,rank,AC_TYPE,NAME,SEX,AGE,CATEGORY,VOTES,polled_votes,color,Total Candidates
1980,Nedungadu,INC,Pondicherry,27,1,SC,M. CHANDIRAKASU,M,,,4981,7636,#2ecc71,3
1980,Mahe,CPM,Pondicherry,28,1,GEN,K. V. RAGHAVAN,M,,,2638,5476,#ff5757,6
1980,Palloor,INC,Pondicherry,29,1,GEN,N. K. SACHINDRANATH,M,,,2567,5594,#2ecc71,4
1980,Yanam,IND,Pondicherry,30,1,GEN,KAMICHETTY SRI PARASSOURAMA VARAPRASSADA RAO,M,,,2433,5024,#bdc3c7,3
1985,Muthialpet,DMK,Pondicherry,1,1,GEN,G. PALANIRAJA,M,,,7820,14500,#c0392b,7
1985,Cassicade,INC,Pondicherry,2,1,GEN,P. KANNAN,M,,,5273,8402,#2ecc71,4
1985,Raj Bhavan,INC,Pondicherry,3,1,GEN,L. JOSEPH MARIADOSS,M,,,2419,4417,#2ecc71,5
1985,Bussy,INC,Pondicherry,4,1,GEN,C. M. ACHRAFF,M,,,2213,4162,#2ecc71,4
1985,Oupalam,ADMK,Pondicherry,5,1,GEN,P. K. LOGANATHAN,M,,,3898,9997,#b2d33c,5
1985,Orleampeth,ADMK,Pondicherry,6,1,GEN,M.A..S. SUBRAMANIAN,M,,,6635,11912,#b2d33c,5
1985,Nellithope,DMK,Pondicherry,7,1,GEN,R.V.JANAKIRAMAN,M,,,5526,10672,#c0392b,5
1985,Mudaliarpet,INC,Pondicherry,8,1,GEN,V. SABAPATHY KOTHANDARAMAN,M,,,6260,13302,#2ecc71,4
1985,Ariankuppam,ADMK,Pondicherry,9,1,GEN,P. PURUSHOTHAMAN,M,,,5505,12668,#b2d33c,4
1985,Embalam,ADMK,Pondicherry,10,1,SC,K. ANBALAGAN,M,,,4509,8836,#b2d33c,2
1985,Nettapakkam,INC,Pondicherry,11,1,GEN,V. VAITHILINGAM,M,,,6946,9523,#2ecc71,2
1985,Kuruvinatham,DMK,Pondicherry,12,1,GEN,R. RAMANSTHAN,M,,,4207,10344,#c0392b,3
1985,Bahour,JNP,Pondicherry,13,1,SC,P. UTHIRAVELU,M,,,4911,10339,#9A9E56,4
1985,Thirubuvanai,DMK,Pondicherry,14,1,SC,S. KOMALA,F,,,5745,10563,#c0392b,3
1985,Mannadipeth,DMK,Pondicherry,15,1,GEN,D. RAMACHANDRAN,M,,,6383,11301,#c0392b,2
1985,Ossudu,INC,Pondicherry,16,1,SC,V. NAGARATHINAM,M,,,6176,8920,#2ecc71,3
1985,Villianur,INC,Pondicherry,17,1,GEN,R. SUBRAYA COUNDER,M,,,5696,10883,#2ecc71,2
1985,Ozhukarai,ADMK,Pondicherry,18,1,GEN,R. SOMASUNDARAM,M,,,5729,10653,#b2d33c,6
1985,Thattanchavady,JNP,Pondicherry,19,1,GEN,V. PETHAPERUMAL,M,,,6228,13944,#9A9E56,3
1985,Reddiarpalayam,INC,Pondicherry,20,1,GEN,V. BALAJI,M,,,7852,13878,#2ecc71,3
1985,Lawspet,INC,Pondicherry,21,1,GEN,M.O.H. FAROOK,M,,,8804,14586,#2ecc71,4
1985,Couchery,INC,Pondicherry,22,1,GEN,N. VENGADASALAM,M,,,5774,10322,#2ecc71,3
1985,Karaikal North,INC,Pondicherry,23,1,GEN,V. GOVINDARAJAN,M,,,4784,9656,#2ecc71,4
1985,Karaikal South,IND,Pondicherry,24,1,GEN,S. RAMASSAMY,M,,,3808,8149,#bdc3c7,4
1985,Neravy-Grand Aldee,ADMK,Pondicherry,25,1,GEN,V.M.C. VARADA PILLAI,M,,,5788,10826,#b2d33c,2
1985,Tirunallar,IND,Pondicherry,26,1,GEN,A. SONUDARARENGAN,M,,,4246,9395,#bdc3c7,5
1985,Nedungadu,INC,Pondicherry,27,1,SC,M. CHANDIRAKASU,M,,,5870,8683,#2ecc71,3
1985,Mahe,INC,Pondicherry,28,1,GEN,P.K. SATHYANANDAN,M,,,3695,6966,#2ecc71,6
1985,Palloor,INC,Pondicherry,29,1,GEN,A.V. SREEDHARAN,M,,,3766,6968,#2ecc71,8
1985,Yanam,INC,Pondicherry,30,1,GEN,KAMICHETTY SRI PARASSORAMA VARAPRASSADA RAO,M,,,2884,6957,#2ecc71,4
1990,Muthialpet,DMK,Pondicherry,1,1,GEN,G. PALANIRAJA,M,,,10571,18965,#c0392b,2
1990,Cassicade,INC,Pondicherry,2,1,GEN,P. KANNAN,M,,,6040,11500,#2ecc71,7
1990,Raj Bhavan,DMK,Pondicherry,3,1,GEN,S. P. SIVAKUMAR,M,,,2528,5313,#c0392b,13
1990,Bussy,INC,Pondicherry,4,1,GEN,C. M. ACHRAFF,M,,,2692,5573,#2ecc71,8
1990,Oupalam,DMK,Pondicherry,5,1,GEN,N. NAGHAMUTHU,M,,,7378,13674,#c0392b,8
1990,Orleampeth,DMK,Pondicherry,6,1,GEN,N. MANIMARAN,M,,,8076,16003,#c0392b,8
1990,Nellithope,DMK,Pondicherry,7,1,GEN,R. V. JANKIRAMAN,M,,,6601,15875,#c0392b,9
1990,Mudaliarpet,CPI,Pondicherry,8,1,GEN,M. MANJINI,M,,,8905,19620,#ff5757,4
1990,Ariankuppam,JD,Pondicherry,9,1,GEN,A. BAKTHKAVACHALAM,M,,,5950,17563,#222,8
1990,Embalam,JD,Pondicherry,10,1,SC,K. DEIVANAYAGAM,M,,,4669,12634,#222,7
1990,Nettapakkam,INC,Pondicherry,11,1,GEN,V. VAITHILINGAM,M,,,7332,13250,#2ecc71,12
1990,Kuruvinatham,DMK,Pondicherry,12,1,GEN,R. RAMANATHAN,M,,,6072,13802,#c0392b,4
1990,Bahour,JD,Pondicherry,13,1,SC,P. RAJAVELU,M,,,8223,14229,#222,5
1990,Thirubuvanai,ADMK,Pondicherry,14,1,SC,D. VISWANATHAN,M,,,6743,14522,#b2d33c,7
1990,Mannadipeth,DMK,Pondicherry,15,1,GEN,D. RAMACHANDIRAN,M,,,7802,15299,#c0392b,6
1990,Ossudu,INC,Pondicherry,16,1,SC,N. MARIMUTHU,M,,,5242,12857,#2ecc71,7
1990,Villianur,INC,Pondicherry,17,1,GEN,P. ANANDA BASKARAN,M,,,8442,15546,#2ecc71,6
1990,Ozhukarai,DMK,Pondicherry,18,1,GEN,M. RASAN ALIAS VAZHUMUNI,M,,,8749,16178,#c0392b,4
