ISO,NAME,LON,LAT
ays,Sorsogon Ayta,124.16469,13.04255
ayt,Bataan Ayta,120.48961,14.41534
ayu,Ayu,8.60225,9.2634
ayx,Ayi,98.86843,27.12131
ayy,Tayabas Ayta,121.29319,16.31714
ayz,Mai Brat,132.59118,-1.3679
azb,South Azerbaijani,47.66945,37.8734
azj,North Azerbaijani,47.68707,40.2128
azg,San Pedro Amuzgos Amuzgo,-98.04643,16.51976
azm,Ipalapa Amuzgo,-98.01287,16.50531
azo,Awing,10.26405,5.88362
azr,Adzera,146.29442,-6.39394
azz,Highland Puebla Nahuatl,-97.55562,20.15536
bas,Basaa,10.42135,3.80765
bab,Bainouk-Gunyuno,-16.05858,12.31277
bac,Badui,106.17663,-6.35359
ert,Eritai,138.05252,-2.71182
bae,Bare,-66.82799,1.91649
baf,Nubaca,11.02897,4.35696
bag,Tuki,11.53531,4.64348
bah,Bahamas Creole English,-78.08002,24.76289
bwi,Baniwa,-68.15117,1.44306
baj,Barakai,134.67109,-6.7394
bjw,Bakwé,-6.51077,5.23123
mbf,Baba Malay,103.87905,1.31125
bcy,Bacama,12.04157,9.53072
ybb,Yemba,10.0214,5.47421
bao,Waimaha,-70.39047,0.21763
bap,Bantawa,87.04738,27.12147
baa,Babatana,157.14937,-7.22281
bar,Bavarian,13.25656,47.81682
bsq,Bassa,-9.84931,6.08376
bei,Bekati',109.57641,1.3307
bau,Bada,10.21664,9.42456
bav,Vengo,10.41372,6.11403
baw,Bambili-Bambui,10.22335,6.10821
bax,Bamun,10.84772,5.49017
bay,Batuley,134.78651,-5.74908
baz,Tunen,10.54559,4.67724
bba,Baatonum,2.68751,9.94229
bbc,Batak Toba,99.17614,2.35498
bbd,Bau,145.61147,-5.26465
bbe,Bangba,28.31376,3.39956
bbf,Baibai,141.34536,-3.42672
bbg,Barama,10.6777,-2.49659
bbh,Bugan,104.96286,23.61242
bbi,Barombi,9.25261,4.64584
bbj,Ghomálá',10.35202,5.39619
bbk,Babanki,10.28692,5.97863
bbl,Bats,45.34397,42.1806
bbm,Babango,23.58512,1.79475
bbn,Uneapa,149.14064,-4.89383
bbo,Northern Bobo Madaré,-4.36323,12.42396
bbp,West Central Banda,20.45107,5.98417
bbq,Bamali,10.45671,5.91327
bbr,Girawa,145.42332,-5.35342
bbs,Bakpinka,8.26321,5.26756
bbt,Mburku,9.81365,10.92756
bbu,Kulung,11.04651,9.20815
bbv,Karnai,147.91685,-5.74133
bbw,Baba,10.52159,6.11222
bbx,Bubia,9.22304,4.02178
bby,Befang,10.03422,6.27562
bbz,Babalia Creole Arabic,16.69248,12.76174
bcb,Bainouk-Samik,-15.99689,12.5053
bcc,Southern Balochi,64.33913,26.04562
bcd,North Babar,129.74277,-7.84311
bce,Bamenyam,10.33016,5.77049
bcf,Bamu,143.54524,-7.93818
bcg,Baga Binari,-14.61106,10.52708
bch,Bariai,148.66608,-5.5087
bci,Baoulé,-4.76565,5.42509
bcj,Bardi,122.90561,-16.62743
bck,Bunaba,125.63098,-17.82967
aix,Aigon,150.27247,-5.99488
bcm,Bannoni,155.12771,-6.23061
bcn,Bali,11.29518,8.81345
bco,Kaluli,142.78806,-6.45932
bcp,Bali,26.59406,1.1807
bcq,Bench,35.7673,7.04682
bcr,Babine,-126.41041,55.09968
bcs,Kohumono,7.96202,5.92596
bct,Bendi,30.36789,2.20229
bcu,Awad Bing,146.35521,-5.59896
bcv,Shoo-Minda-Nye,10.96424,8.92577
bcw,Bana,13.61308,10.35353
bcx,Pamona,121.26817,-1.62663
bis,Bislama,168.29681,-17.7209
bcz,Bainouk-Gunyaamolo,-16.0806,12.54318
bda,Bayot,-16.35691,12.45645
bdb,Basap,117.94191,1.41405
