party,constituency,year,age,category,color,electors,name,polled_votes,rank,sex,state,votes
INC,Ramanathapuram,1951,,,#019733,359891,V. Vr. N. Ar. Nagappa Chettiar,193589,1,,Madras,109110
INC,Salem,1951,,,#019733,366410,S. V. Ramaswami,203792,1,,Madras,90570
INC,Sankaranainarkoil,1951,,,#019733,373989,M. Sankarapandian,246936,1,,Madras,96577
INC,South Kanara (North),1951,,,#019733,344159,U. Srinivasa Mallyya,220761,1,,Madras,98122
INC,South Kanara South,1951,,,#019733,340360,B. Shiva Rao,206101,1,,Madras,96619
IND,Srikakulam,1951,,,#95b3d7,367407,Boddapalli Rajagopala Rao,185675,1,,Madras,51992
INC,Srivaikuntam,1951,,,#019733,353299,A. V. Thomas,172254,1,,Madras,107338
INC,Srivilliputhur,1951,,,#019733,339344,K. Kamaraj Nadar,224114,1,,Madras,104829
KMPP,Tellicherry,1951,,,#999,323528,N. Damodaran,231138,1,,Madras,98483
INC,Tenali,1951,,,#019733,341801,Kotha Raghuramiah,259773,1,,Madras,103126
INC,Thanjavur,1951,,,#019733,367963,R. Venkataraman,201724,1,,Madras,92483
INC,Thiruvallur,1951,,,#019733,704970,Margatham Chandrasekar,616210,1,,Madras,110265
TNT,Tindivanam,1951,,,#999,721419,A. Jayaraman,789592,1,,Madras,220670
IND,Tiruchengode,1951,,,#95b3d7,370121,S. K. Baby Alias Kandaswami,174637,1,,Madras,95664
IND,Tiruchirappalli,1951,,,#95b3d7,353822,E. Mathuram,214952,1,,Madras,94184
INC,Tirunelveli,1951,,,#019733,352281,Thanu Pillai,194203,1,,Madras,86077
INC,Tirupati,1951,,,#019733,376107,M. Ananthasayanam Ayyanagar,223527,1,,Madras,114782
INC,Tiruppur,1951,,,#019733,367261,T. S. Avinashilingam Chettiar,208375,1,,Madras,117630
CWL,Vandavasi,1951,,,#999,336147,Munisami,177512,1,,Madras,96011
INC,Vellore,1951,,,#019733,731534,Muthukrishnan,667641,1,,Madras,139448
IND,Vijayawada,1951,,,#95b3d7,367722,Harindranath Chatopadhyya,264680,1,,Madras,124320
IND,Visakhapatnam,1951,,,#95b3d7,707707,Lanka Sundaram,339476,1,,Madras,140718
SP,Vizianagaram,1951,,,#B15928,374684,Kandala Subramaniam,181852,1,,Madras,112096
INC,Inner Manipur,1951,,,#019733,149617,Jogeswor Singh,74906,1,,Manipur,22902
SP,Outer Manipur,1951,,,#B15928,148935,Rishang,77561,1,,Manipur,23625
INC,Bangalore North,1951,,,#019733,389996,N. Keshavaiengar,177057,1,,Mysore,83513
INC,Bangalore South,1951,,,#019733,345824,T. Madiah Gowda,155948,1,,Mysore,80951
INC,Chitaldrug,1951,,,#019733,361943,S. Nijalingappa,218227,1,,Mysore,126584
INC,Hassan Chickmagalur,1951,,,#019733,354206,H. Siddananjappa,171850,1,,Mysore,116561
INC,Kolar,1951,,,#019733,741116,Doddathimmiah,717848,1,,Mysore,203988
INC,Mandya,1951,,,#019733,360464,M. K. Sivananjappa,212015,1,,Mysore,125566
INC,Mysore,1951,,,#019733,728247,N. Rachiah,712318,1,,Mysore,209203
INC,Shimoga,1951,,,#019733,313647,K. G. Wodeyar,235659,1,,Mysore,108990
INC,Tumkur,1951,,,#019733,374292,C. R. Basappa,223505,1,,Mysore,116596
INC,Delhi Sadar,1951,,,#019733,174522,Radha Raman,101590,1,,Nct Of Delhi,60505
KMPP,New Delhi,1951,,,#999,182293,Suchetia Kripalani,102175,1,,Nct Of Delhi,47735
INC,Outer Delhi,1951,,,#019733,387853,C. Krisnan Nair,452135,1,,Nct Of Delhi,118562
INC,Balasore,1951,,,#019733,751245,Kanhu Charan Jena,607958,1,,Orissa,205151
