pc,votes,year,state,party,name,sex,age,category,electors,rank,color,polled_votes
SECUNDRABAD,873,2014,Andhra Pradesh,Jantantra Party,DR.MALATHI LATHA EPPA,,,,,20,#999,1003769
SECUNDRABAD,809,2014,Andhra Pradesh,Akhil Bharatiya Muslim League (Secular),ABDUS SATTAR MUJAHED,,,,,21,#999,1003769
SECUNDRABAD,786,2014,Andhra Pradesh,Indian Union Muslim League,MOHD IMTIAZ HUSSAIN,,,,,22,#999,1003769
SECUNDRABAD,779,2014,Andhra Pradesh,Independent,ANANTH RAO GUNDEPALLY,,,,,23,#95b3d7,1003769
SECUNDRABAD,638,2014,Andhra Pradesh,Pyramid Party of India,SHAKTHI SATYAVATHI,,,,,24,#999,1003769
SECUNDRABAD,554,2014,Andhra Pradesh,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),CH. MURAHARI,,,,,25,#999,1003769
SECUNDRABAD,547,2014,Andhra Pradesh,Samaikyandhra Parirakshana Samithi,KUMAR CHOWDARY YADAV.G,,,,,26,#999,1003769
SECUNDRABAD,474,2014,Andhra Pradesh,All India Forward Bloc,KARANKOTE NARENDER,,,,,27,#999,1003769
SECUNDRABAD,376,2014,Andhra Pradesh,Independent,SYED MADANI QUADRI,,,,,28,#95b3d7,1003769
SECUNDRABAD,370,2014,Andhra Pradesh,Independent,MOHAMMED RIZWAN HUSSAIN,,,,,29,#95b3d7,1003769
SECUNDRABAD,322,2014,Andhra Pradesh,Independent,MOHD ABUBAKAR PARWAIZ SIDDIQUI,,,,,30,#95b3d7,1003769
SECUNDRABAD,291,2014,Andhra Pradesh,Independent,MICHAEL DANIEL OVELZ,,,,,31,#95b3d7,1003769
HYDERABAD,513868,2014,Andhra Pradesh,All India Majlis-E-Ittehadul Muslimeen,ASADUDDIN OWAISI,,,,,1,#999,971421
HYDERABAD,311414,2014,Andhra Pradesh,Bharatiya Janata Party,DR.BHAGAVANTH RAO,,,,,2,#FB7B0D,971421
HYDERABAD,49310,2014,Andhra Pradesh,Indian National Congress,S KRISHNA REDDY,,,,,3,#019733,971421
HYDERABAD,37195,2014,Andhra Pradesh,Telangana Rashtra Samithi,RASHID SHAREEF,,,,,4,#999,971421
HYDERABAD,21796,2014,Andhra Pradesh,Pyramid Party of India,BINGHI RAJASHEKAR,,,,,5,#999,971421
HYDERABAD,10743,2014,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,BODDU SAINATH REDDY,,,,,6,#999,971421
HYDERABAD,6118,2014,Andhra Pradesh,Aam Aadmi Party,LUBNA SARWATH,,,,,7,#999,971421
HYDERABAD,5992,2014,Andhra Pradesh,Independent,M A HABEEB,,,,,8,#95b3d7,971421
HYDERABAD,5013,2014,Andhra Pradesh,None of the Above,None of the Above,,,,,9,#999,971421
HYDERABAD,3100,2014,Andhra Pradesh,Bahujan Samaj Party,VENU GOPAL.P,,,,,10,#77968E,971421
HYDERABAD,2102,2014,Andhra Pradesh,Majlis Bachao Tahreek,SYED MUSTAFA MAHMOOD,,,,,11,#999,971421
HYDERABAD,1593,2014,Andhra Pradesh,All India Azaad Congress Party,S.KHAJA MOINUDDIN,,,,,12,#999,971421
