age,category,color,electors,name,party,pc,polled_votes,rank,sex,state,votes,year
,,#999,352629,K. S. RAGHAVACHARI,KMPP,PENUKONDA,217626,1,,MADRAS,109408,1951
,,#999,359221,V. BOORARANGASWAMI PANDAYACHI,TNT,PERAMBALUR,225858,1,,MADRAS,84332,1951
,,#019733,370312,A/ SAKTHIVADIVEL GOUNDER,INC,PERIYAKULAM,242777,1,,MADRAS,107875,1951
,,#019733,368310,DAMODARAM,INC,POLLACHI,210359,1,,MADRAS,93405,1951
,,#999,739656,KELAPPAN KOYHAPALI,KMPP,PONNANI,774286,1,,MADRAS,146366,1951
,,#999,374269,K. M. VALLATHARSU,KMPP,PUDUKKOTTAI,191697,1,,MADRAS,102404,1951
,,#DE0000,741484,KANETI MOHANA RAO,CPI,RAJAHMUNDRY,900175,1,,MADRAS,147706,1951
,,#019733,359891,V. VR. N. AR. NAGAPPA CHETTIAR,INC,RAMANATHAPURAM,193589,1,,MADRAS,109110,1951
,,#019733,366410,S. V. RAMASWAMI,INC,SALEM,203792,1,,MADRAS,90570,1951
,,#019733,373989,M. SANKARAPANDIAN,INC,SANKARANAINARKOIL,246936,1,,MADRAS,96577,1951
,,#019733,344159,U. SRINIVASA MALLYYA,INC,SOUTH KANARA (NORTH),220761,1,,MADRAS,98122,1951
,,#019733,340360,B. SHIVA RAO,INC,SOUTH KANARA SOUTH,206101,1,,MADRAS,96619,1951
,,#95b3d7,367407,BODDAPALLI RAJAGOPALA RAO,IND,SRIKAKULAM,185675,1,,MADRAS,51992,1951
,,#019733,353299,A. V. THOMAS,INC,SRIVAIKUNTAM,172254,1,,MADRAS,107338,1951
,,#019733,339344,K. KAMARAJ NADAR,INC,SRIVILLIPUTHUR,224114,1,,MADRAS,104829,1951
,,#999,323528,N. DAMODARAN,KMPP,TELLICHERRY,231138,1,,MADRAS,98483,1951
,,#019733,341801,KOTHA RAGHURAMIAH,INC,TENALI,259773,1,,MADRAS,103126,1951
,,#019733,367963,R. VENKATARAMAN,INC,THANJAVUR,201724,1,,MADRAS,92483,1951
,,#019733,704970,MARGATHAM CHANDRASEKAR,INC,THIRUVALLUR,616210,1,,MADRAS,110265,1951
,,#999,721419,A. JAYARAMAN,TNT,TINDIVANAM,789592,1,,MADRAS,220670,1951
,,#95b3d7,370121,S. K. BABY ALIAS KANDASWAMI,IND,TIRUCHENGODE,174637,1,,MADRAS,95664,1951
,,#95b3d7,353822,E. MATHURAM,IND,TIRUCHIRAPPALLI,214952,1,,MADRAS,94184,1951
,,#019733,352281,THANU PILLAI,INC,TIRUNELVELI,194203,1,,MADRAS,86077,1951
,,#019733,376107,M. ANANTHASAYANAM AYYANAGAR,INC,TIRUPATI,223527,1,,MADRAS,114782,1951
,,#019733,367261,T. S. AVINASHILINGAM CHETTIAR,INC,TIRUPPUR,208375,1,,MADRAS,117630,1951
,,#999,336147,MUNISAMI,CWL,VANDAVASI,177512,1,,MADRAS,96011,1951
,,#019733,731534,MUTHUKRISHNAN,INC,VELLORE,667641,1,,MADRAS,139448,1951
,,#95b3d7,367722,HARINDRANATH CHATOPADHYYA,IND,VIJAYAWADA,264680,1,,MADRAS,124320,1951
,,#95b3d7,707707,LANKA SUNDARAM,IND,VISAKHAPATNAM,339476,1,,MADRAS,140718,1951
,,#B15928,374684,KANDALA SUBRAMANIAM,SP,VIZIANAGARAM,181852,1,,MADRAS,112096,1951
,,#019733,149617,JOGESWOR SINGH,INC,INNER MANIPUR,74906,1,,MANIPUR,22902,1951
,,#B15928,148935,RISHANG,SP,OUTER MANIPUR,77561,1,,MANIPUR,23625,1951
,,#019733,389996,N. KESHAVAIENGAR,INC,BANGALORE NORTH,177057,1,,MYSORE,83513,1951
,,#019733,345824,T. MADIAH GOWDA,INC,BANGALORE SOUTH,155948,1,,MYSORE,80951,1951
,,#019733,361943,S. NIJALINGAPPA,INC,CHITALDRUG,218227,1,,MYSORE,126584,1951
,,#019733,354206,H. SIDDANANJAPPA,INC,HASSAN CHICKMAGALUR,171850,1,,MYSORE,116561,1951
,,#019733,741116,DODDATHIMMIAH,INC,KOLAR,717848,1,,MYSORE,203988,1951
,,#019733,360464,M. K. SIVANANJAPPA,INC,MANDYA,212015,1,,MYSORE,125566,1951
,,#019733,728247,N. RACHIAH,INC,MYSORE,712318,1,,MYSORE,209203,1951
,,#019733,313647,K. G. WODEYAR,INC,SHIMOGA,235659,1,,MYSORE,108990,1951
,,#019733,374292,C. R. BASAPPA,INC,TUMKUR,223505,1,,MYSORE,116596,1951
,,#019733,174522,RADHA RAMAN,INC,DELHI SADAR,101590,1,,NCT OF DELHI,60505,1951
,,#999,182293,SUCHETIA KRIPALANI,KMPP,NEW DELHI,102175,1,,NCT OF DELHI,47735,1951
,,#019733,387853,C. KRISNAN NAIR,INC,OUTER DELHI,452135,1,,NCT OF DELHI,118562,1951
,,#019733,751245,KANHU CHARAN JENA,INC,BALASORE,607958,1,,ORISSA,205151,1951
,,#95b3d7,368978,GHANSHYAM DAS THIRANI,IND,BARGARH,98141,1,,ORISSA,27461,1951
,,#019733,399482,HAREKRISHNA MAHTAB,INC,CUTTACK,164145,1,,ORISSA,89387,1951
,,#019733,754809,NIRANJAN JENA,INC,DHENKANAL WEST CUTTACK,495558,1,,ORISSA,133666,1951
,,#DE0000,390236,BIJOY CHANDRA DAS,CPI,GANJAM SOUTH,109695,1,,ORISSA,61002,1951
,,#95b3d7,386460,UMACHARAN PATNAIK,IND,GHUMSUR,145186,1,,ORISSA,81880,1951
,,#019733,729056,BHUBANANDA DAS,INC,JAJPUR KEONJHAR,457314,1,,ORISSA,104114,1951
,,#999,790404,GIRIDHARI BHOI,GP,KALAHANDI BOLANGIR,553858,1,,ORISSA,198378,1951
,,#019733,400630,NITYANANDA KANUNGO,INC,KENDRAPARA,173806,1,,ORISSA,84540,1951
,,#019733,395605,LINGRAJ MISRA,INC,KHURDA,138531,1,,ORISSA,66765,1951
,,#019733,376957,RAMCHANDRA MAJHI,INC,MAYURBHANJ,108238,1,,ORISSA,48830,1951
,,#999,402950,PONNADA SUBARAO,GP,NOWRANGPUR,143222,1,,ORISSA,67257,1951
