pc,year,state,party,name,sex,age,category,votes,electors,rank,color,polled_votes
MADURAI,1951,MADRAS,INC,S. BALASUBRAMANIAM,,,,195762,757254,1,#019733,733762
MALAPPURAM,1951,MADRAS,ML,B. POCKER,,,,79470,369412,1,#999,203899
MASULIPATNAM,1951,MADRAS,CPI,SANKA BUTEHIKOTTAIAH,,,,124101,332940,1,#DE0000,253728
MAYURAM,1951,MADRAS,CPI,K. ANANDA NAMBIAR,,,,198743,730234,1,#DE0000,883765
NANDYAL,1951,MADRAS,IND,SESHAGIRI RAO,,,,67905,380100,1,#95b3d7,244765
NARASARAOPET,1951,MADRAS,IND,CHAPALAMADUGU RAMIAH CHOWDRY,,,,78332,366257,1,#95b3d7,216472
NELLORE,1951,MADRAS,IND,BEZWADA RAMACHANDRA REDDY,,,,67582,347698,1,#95b3d7,207004
ONGOLE,1951,MADRAS,IND,M. NANADASS,,,,152472,729786,1,#95b3d7,723926
PARVATHIPURAM,1951,MADRAS,IND,N. RAMA SESHIAH,,,,67124,368440,1,#95b3d7,198166
PATHAPATNAM,1951,MADRAS,INC,V. V. GIRI,,,,50084,338485,1,#019733,167679
PENUKONDA,1951,MADRAS,KMPP,K. S. RAGHAVACHARI,,,,109408,352629,1,#999,217626
PERAMBALUR,1951,MADRAS,TNT,V. BOORARANGASWAMI PANDAYACHI,,,,84332,359221,1,#999,225858
PERIYAKULAM,1951,MADRAS,INC,A/ SAKTHIVADIVEL GOUNDER,,,,107875,370312,1,#019733,242777
POLLACHI,1951,MADRAS,INC,DAMODARAM,,,,93405,368310,1,#019733,210359
PONNANI,1951,MADRAS,KMPP,KELAPPAN KOYHAPALI,,,,146366,739656,1,#999,774286
PUDUKKOTTAI,1951,MADRAS,KMPP,K. M. VALLATHARSU,,,,102404,374269,1,#999,191697
RAJAHMUNDRY,1951,MADRAS,CPI,KANETI MOHANA RAO,,,,147706,741484,1,#DE0000,900175
RAMANATHAPURAM,1951,MADRAS,INC,V. VR. N. AR. NAGAPPA CHETTIAR,,,,109110,359891,1,#019733,193589
SALEM,1951,MADRAS,INC,S. V. RAMASWAMI,,,,90570,366410,1,#019733,203792
SANKARANAINARKOIL,1951,MADRAS,INC,M. SANKARAPANDIAN,,,,96577,373989,1,#019733,246936
SOUTH KANARA (NORTH),1951,MADRAS,INC,U. SRINIVASA MALLYYA,,,,98122,344159,1,#019733,220761
SOUTH KANARA SOUTH,1951,MADRAS,INC,B. SHIVA RAO,,,,96619,340360,1,#019733,206101
SRIKAKULAM,1951,MADRAS,IND,BODDAPALLI RAJAGOPALA RAO,,,,51992,367407,1,#95b3d7,185675
SRIVAIKUNTAM,1951,MADRAS,INC,A. V. THOMAS,,,,107338,353299,1,#019733,172254
SRIVILLIPUTHUR,1951,MADRAS,INC,K. KAMARAJ NADAR,,,,104829,339344,1,#019733,224114
TELLICHERRY,1951,MADRAS,KMPP,N. DAMODARAN,,,,98483,323528,1,#999,231138
TENALI,1951,MADRAS,INC,KOTHA RAGHURAMIAH,,,,103126,341801,1,#019733,259773
THANJAVUR,1951,MADRAS,INC,R. VENKATARAMAN,,,,92483,367963,1,#019733,201724
THIRUVALLUR,1951,MADRAS,INC,MARGATHAM CHANDRASEKAR,,,,110265,704970,1,#019733,616210
TINDIVANAM,1951,MADRAS,TNT,A. JAYARAMAN,,,,220670,721419,1,#999,789592
TIRUCHENGODE,1951,MADRAS,IND,S. K. BABY ALIAS KANDASWAMI,,,,95664,370121,1,#95b3d7,174637
TIRUCHIRAPPALLI,1951,MADRAS,IND,E. MATHURAM,,,,94184,353822,1,#95b3d7,214952
TIRUNELVELI,1951,MADRAS,INC,THANU PILLAI,,,,86077,352281,1,#019733,194203
TIRUPATI,1951,MADRAS,INC,M. ANANTHASAYANAM AYYANAGAR,,,,114782,376107,1,#019733,223527
TIRUPPUR,1951,MADRAS,INC,T. S. AVINASHILINGAM CHETTIAR,,,,117630,367261,1,#019733,208375
VANDAVASI,1951,MADRAS,CWL,MUNISAMI,,,,96011,336147,1,#999,177512
VELLORE,1951,MADRAS,INC,MUTHUKRISHNAN,,,,139448,731534,1,#019733,667641
