pc,year,state,party,name,sex,age,category,votes,electors,rank,color,polled_votes
KHALILABAD,1998,UTTAR PRADESH,BJP,INDRAJEET MISHRA,M,,,197149,1205516,1,#FB7B0D,638806
KHERI,1998,UTTAR PRADESH,SP,RAVI PRAKASH VERMA,M,,,233668,1233463,1,#B15928,637243
KHURJA,1998,UTTAR PRADESH,BJP,ASHOK KUMAR PRADHAN,M,,,325791,1257489,1,#FB7B0D,573765
LALGANJ,1998,UTTAR PRADESH,SP,DAROGA PRASAD SAROJ,M,,,248234,1306839,1,#B15928,698762
LUCKNOW,1998,UTTAR PRADESH,BJP,ATAL BEHARI VAJPAYEE,M,,,431738,1512907,1,#FB7B0D,746669
MACHHLISHAHR,1998,UTTAR PRADESH,BJP,CHINMAYANAND,M,,,237895,1251473,1,#FB7B0D,688734
MAHARAJGANJ,1998,UTTAR PRADESH,BJP,PANKAJ CHOUDHARI,M,,,233361,1102118,1,#FB7B0D,650849
MAINPURI,1998,UTTAR PRADESH,SP,BALRAM SINGH YADAV,M,,,264734,1092406,1,#B15928,634962
MATHURA,1998,UTTAR PRADESH,BJP,TEJVEER,M,,,303831,1175879,1,#FB7B0D,618750
MEERUT,1998,UTTAR PRADESH,BJP,AMAR PAL SINGH,M,,,319168,1263086,1,#FB7B0D,755929
MIRZAPUR,1998,UTTAR PRADESH,BJP,VIRENDRA SINGH,M,,,346635,1339838,1,#FB7B0D,852194
MISRIKH,1998,UTTAR PRADESH,BSP,RAM SHANKER,M,,,181618,1086906,1,#77968E,608782
MOHANLALGANJ,1998,UTTAR PRADESH,SP,REENA CHAUDHARY,F,,,200108,1129438,1,#B15928,585036
MORADABAD,1998,UTTAR PRADESH,SP,DR. SHAFIQUR RAHMAN BARQ,M,,,289484,1145086,1,#B15928,732431
MUZAFFARNAGAR,1998,UTTAR PRADESH,BJP,SOHANVEER SINGH,M,,,250466,1205588,1,#FB7B0D,706787
NAINITAL,1998,UTTAR PRADESH,BJP,ILA PANT,F,,,292761,1347246,1,#FB7B0D,760073
PADRAUNA,1998,UTTAR PRADESH,BJP,RAM NAGINA MISHRA,M,,,256695,1188664,1,#FB7B0D,670002
PHULPUR,1998,UTTAR PRADESH,SP,JANG BAHADUR SINGH PATEL,M,,,216124,1185454,1,#B15928,671810
PILIBHIT,1998,UTTAR PRADESH,IND,MANEKA GANDHI,F,,,390381,1129987,1,#95b3d7,697203
PRATAPGARH,1998,UTTAR PRADESH,BJP,RAM VILAS VEDANTI,M,,,232927,1180569,1,#FB7B0D,576080
RAE BARELI,1998,UTTAR PRADESH,BJP,ASHOK SINGH,M,,,237204,1170919,1,#FB7B0D,656147
RAMPUR,1998,UTTAR PRADESH,BJP,MUKHTAR ABBAS NAQVI,M,,,265116,1313581,1,#FB7B0D,809463
ROBERTSGANJ,1998,UTTAR PRADESH,BJP,RAM SHAKAL,M,,,261530,1418258,1,#FB7B0D,764878
SAHARANPUR,1998,UTTAR PRADESH,BJP,NAKLI SINGH,M,,,275103,1237571,1,#FB7B0D,828813
SAIDPUR,1998,UTTAR PRADESH,BJP,VIJAY,M,,,231407,1295938,1,#FB7B0D,696705
SALEMPUR,1998,UTTAR PRADESH,SAP,HARI KEWAL PRASAD,M,,,219450,1264615,1,#999,625513
SAMBHAL,1998,UTTAR PRADESH,SP,MULAYAM SINGH YADAV,M,,,376828,1075593,1,#B15928,753104
SHAHABAD,1998,UTTAR PRADESH,BJP,RAGHVENDRA SINGH,M,,,207131,1123800,1,#FB7B0D,621431
SHAHJAHANPUR,1998,UTTAR PRADESH,BJP,SATYAPAL SINGH YADAV,M,,,208272,1116692,1,#FB7B0D,620577
SITAPUR,1998,UTTAR PRADESH,BJP,JANARDAN PRASAD MISRA,M,,,216874,1101392,1,#FB7B0D,647512
SULTANPUR,1998,UTTAR PRADESH,BJP,DEBENDRA BAHADUR RAI,M,,,269951,1223178,1,#FB7B0D,664534
TEHRI GARHWAL,1998,UTTAR PRADESH,BJP,MANABENDRA SHAH,M,,,262545,1144780,1,#FB7B0D,506653
UNNAO,1998,UTTAR PRADESH,BJP,DEVI BUX,M,,,208077,1187334,1,#FB7B0D,627300
VARANASI,1998,UTTAR PRADESH,BJP,SHANKAR PRASAD JAISWAL,M,,,277232,1388212,1,#FB7B0D,645044
ALIPURDUARS,1998,WEST BENGAL,RSP,JOACHIM BAXLA,M,,,415006,1023567,1,#999,806247
ARAMBAGH,1998,WEST BENGAL,CPM,ANIL BASU,M,,,521507,1116151,1,#DE0000,928819
ASANSOL,1998,WEST BENGAL,CPM,BIKASH CHOWDHURY,M,,,355382,1242690,1,#DE0000,864840
BALURGHAT,1998,WEST BENGAL,RSP,RANEN BARMAN,M,,,428710,1088350,1,#999,876645
BANKURA,1998,WEST BENGAL,CPM,ACHARIA BASUDEB,M,,,369695,1028834,1,#DE0000,748000
BARASAT,1998,WEST BENGAL,WBTC,DR RANJIT KUMAR PANJA,M,,,499181,1273400,1,#999,1059184
BARRACKPORE,1998,WEST BENGAL,CPM,TARIT BARAN TOPDAR,M,,,383054,1025177,1,#DE0000,832611
BASIRHAT,1998,WEST BENGAL,CPI,AJAY CHAKRABORTY,M,,,425442,1053262,1,#DE0000,870909
BERHAMPORE,1998,WEST BENGAL,RSP,PROMOTHES MUKHERJEE,M,,,385979,1190096,1,#999,868246
BIRBHUM,1998,WEST BENGAL,CPM,DOME RAM CHANDRA,M,,,380314,1028114,1,#DE0000,775121
BOLPUR,1998,WEST BENGAL,CPM,SOMNATH CHATTERJEE,M,,,470645,1022735,1,#DE0000,790289
BURDWAN,1998,WEST BENGAL,CPM,SAR NIKHILANANDA,M,,,578825,1190380,1,#DE0000,983107
CALCUTTA NORTH EAST,1998,WEST BENGAL,WBTC,AJIT KUMAR PANJA,M,,,310361,910738,1,#999,658932
CALCUTTA NORTH WEST,1998,WEST BENGAL,WBTC,SUDIP BANDYOPADHYAY,M,,,226832,695698,1,#999,462269
CALCUTTA SOUTH,1998,WEST BENGAL,WBTC,MAMATA BANERJEE,F,,,503551,1178748,1,#999,848194
CONTAI,1998,WEST BENGAL,CPM,SUDHIR GIRI,M,,,394017,972382,1,#DE0000,824349
COOCH BEHAR,1998,WEST BENGAL,FBL,AMAR ROYPRADHAN,M,,,396140,1097193,1,#999,905078
DARJEELING,1998,WEST BENGAL,CPM,ANANDA PATHAK,M,,,280589,1238587,1,#DE0000,626969
DIAMOND HARBOUR,1998,WEST BENGAL,CPM,SAMIK LAHIRI,M,,,405048,1122823,1,#DE0000,881104
DUM DUM,1998,WEST BENGAL,BJP,TAPAN SIKDAR,M,,,631383,1559854,1,#FB7B0D,1245481
DURGAPUR,1998,WEST BENGAL,CPM,KHAN SUNIL,M,,,468449,1191697,1,#DE0000,904122
HOOGHLY,1998,WEST BENGAL,CPM,RUPCHAND PAL,M,,,431229,1137353,1,#DE0000,932462
HOWRAH,1998,WEST BENGAL,WBTC,DR BIKRAM SARKAR,M,,,437224,1367313,1,#999,1012502
JADAVPUR,1998,WEST BENGAL,WBTC,KRISHNA BOSE,F,,,514338,1379055,1,#999,1052189
JALPAIGURI,1998,WEST BENGAL,CPM,MINATI SEN,F,,,426672,1085257,1,#DE0000,868672
JANGIPUR,1998,WEST BENGAL,CPM,ABUL HASNAT KHAN,M,,,396761,1071189,1,#DE0000,827625
JHARGRAM,1998,WEST BENGAL,CPM,MURMU RUPCHAND,M,,,455625,971208,1,#DE0000,802403
JOYNAGAR,1998,WEST BENGAL,RSP,SANAT KUMAR MANDAL,M,,,406745,1100779,1,#999,839016
KATWA,1998,WEST BENGAL,CPM,ZAHEDI MAHBOOB,M,,,470543,1156542,1,#DE0000,951225
KRISHNANAGAR,1998,WEST BENGAL,CPM,AJOY MUKHOPADHYAY,M,,,372490,1068080,1,#DE0000,886285
MALDA,1998,WEST BENGAL,INC,ABUL BARKAT ATAUL GHANI KHAN CHOUDHURY,M,,,353117,1030986,1,#019733,832469
MATHURAPUR,1998,WEST BENGAL,CPM,RADHIKA RANJAN PRAMANIK,M,,,393635,1061625,1,#DE0000,846486
MIDNAPORE,1998,WEST BENGAL,CPI,INDRAJIT GUPTA,M,,,452671,1081863,1,#DE0000,858210
MURSHIDABAD,1998,WEST BENGAL,CPM,MOINUL HASSAN,M,,,463401,1154100,1,#DE0000,927598
NABADWIP,1998,WEST BENGAL,CPM,ASIM BALA,M,,,463813,1298438,1,#DE0000,1077556
PANSKURA,1998,WEST BENGAL,CPI,GEETA MUKHERJEE,F,,,450092,966739,1,#DE0000,820080
PURULIA,1998,WEST BENGAL,FBL,BIR SINGH MAHAT0,M,,,376313,994968,1,#999,734059
RAIGANJ,1998,WEST BENGAL,CPM,SUBRATA MUKHERJEE,M,,,350897,1126310,1,#DE0000,882488
SERAMPORE,1998,WEST BENGAL,WBTC,AKBOR ALI KHANDOKER,M,,,439269,1308205,1,#999,983242
TAMLUK,1998,WEST BENGAL,CPM,LAKSHMAN CHANDRA SETH,M,,,477516,1088343,1,#DE0000,931997
ULUBERIA,1998,WEST BENGAL,CPM,HANNAN MOLLAH,M,,,404000,1083621,1,#DE0000,850440
VISHNUPUR,1998,WEST BENGAL,CPM,SANDHYA BAURI,F,,,479727,1064074,1,#DE0000,844806
A&N ISLANDS,1999,A&N ISLANDS,BJP,BISHNU PADA RAY,M,,,76891,247384,1,#FB7B0D,145791
ADILABAD,1999,ANDHRA PRADESH,TDP,DR. S. VENUGOPAL CHARY,M,,,390308,1094868,1,#4bacc6,743602
AMALAPURAM,1999,ANDHRA PRADESH,TDP,GANTI MOHANACHANDRA BALAYOGI,M,,,368476,908257,1,#4bacc6,663249
ANAKAPALLI,1999,ANDHRA PRADESH,TDP,GANTA SRINIVASA RAO,M,,,392984,1035708,1,#4bacc6,744984
ANANTAPUR,1999,ANDHRA PRADESH,TDP,KALAVA SRINIVASULU,M,,,378488,1226314,1,#4bacc6,752838
BAPATLA,1999,ANDHRA PRADESH,TDP,D. RAMA NAIDU,M,,,399596,1077815,1,#4bacc6,715681
BHADRACHALAM,1999,ANDHRA PRADESH,TDP,DUMPA MARY VIJAYA KUMARI,F,,,293593,1085536,1,#4bacc6,728556
BOBBILI,1999,ANDHRA PRADESH,INC,BOTCHA SATYANARAYANA,M,,,339768,949773,1,#019733,694150
CHITTOOR,1999,ANDHRA PRADESH,TDP,NOOTHANA KALVA RAMAKRISHNA REDDY,M,,,419208,1140219,1,#4bacc6,835406
CUDDAPAH,1999,ANDHRA PRADESH,INC,VIVEKANANDA REDDY Y.S.,M,,,367833,1090670,1,#019733,722854
ELURU,1999,ANDHRA PRADESH,TDP,BOLLA BULLI RAMAIAH,M,,,435884,1147205,1,#4bacc6,834469
GUNTUR,1999,ANDHRA PRADESH,TDP,YEMPARALA VENKATESWARARAO,M,,,399065,1239626,1,#4bacc6,781254
HANAMKONDA,1999,ANDHRA PRADESH,TDP,CHADA SURESH REDDY,M,,,375285,1118951,1,#4bacc6,727832
HINDUPUR,1999,ANDHRA PRADESH,TDP,B.K. PARTHASARATHI,M,,,432575,1151606,1,#4bacc6,769054
HYDERABAD,1999,ANDHRA PRADESH,AIMIM,SULTAN SALAHUDDIN OWAISI,M,,,448165,1567225,1,#999,1083678
KAKINADA,1999,ANDHRA PRADESH,TDP,MUDRAGADA PADMANABHAM,M,,,435811,1171987,1,#4bacc6,812541
KARIMNAGAR,1999,ANDHRA PRADESH,BJP,CHENNAMANENI VIDYASAGAR RAO,M,,,398437,1259045,1,#FB7B0D,801273
KHAMMAM,1999,ANDHRA PRADESH,INC,RENUKA CHOWDHURY,F,,,328596,1228365,1,#019733,916571
KURNOOL,1999,ANDHRA PRADESH,TDP,KAMBHALAPATI E. KRISHNA MURTHY,M,,,385688,1163375,1,#4bacc6,752286
MACHILIPATNAM,1999,ANDHRA PRADESH,TDP,AMBATI BRAHMANAIAH,M,,,387533,1006429,1,#4bacc6,711867
MAHABUBNAGAR,1999,ANDHRA PRADESH,BJP,A.P.JITENDER REDDY,M,,,391588,1249455,1,#FB7B0D,791720
MEDAK,1999,ANDHRA PRADESH,BJP,A. NARENDRA,M,,,400244,1219960,1,#FB7B0D,830380
MIRYALGUDA,1999,ANDHRA PRADESH,INC,JAIPAL REDDY SUDINI,M,,,401437,1206229,1,#019733,909820
NAGARKURNOOL,1999,ANDHRA PRADESH,TDP,DR.MANDA JAGANNATH,M,,,431095,1212569,1,#4bacc6,811672
NALGONDA,1999,ANDHRA PRADESH,TDP,GUTHA SUKENDER REDDY,M,,,427505,1417182,1,#4bacc6,950587
NANDYAL,1999,ANDHRA PRADESH,TDP,BHUMA NAGI REDDY,M,,,391655,1116553,1,#4bacc6,729632
NARASAPUR,1999,ANDHRA PRADESH,BJP,UPPALAPATI VENKATA KRISHNAM RAJU,M,,,421099,1020409,1,#FB7B0D,704453
NARASARAOPET,1999,ANDHRA PRADESH,INC,JANARDHANAREDDY NEDURUMALLI,M,,,432266,1262560,1,#019733,859857
NELLORE,1999,ANDHRA PRADESH,TDP,RAJESWARAMMA VUKKALA,F,,,381166,1165144,1,#4bacc6,769832
NIZAMABAD,1999,ANDHRA PRADESH,TDP,GANGA REDDY GADDAM,M,,,373260,1129947,1,#4bacc6,753900
ONGOLE,1999,ANDHRA PRADESH,TDP,KARANAM BALARAMA KRISHNA MURTHY,M,,,392840,1190279,1,#4bacc6,776640
PARVATHIPURAM,1999,ANDHRA PRADESH,TDP,DADICHILUKA VEERA GOURI SANKARA RAO,M,,,304000,911609,1,#4bacc6,613641
PEDDAPALLI,1999,ANDHRA PRADESH,TDP,DR.SMT.C. SUGUNA KUMARI,F,,,406529,1330759,1,#4bacc6,860574
RAJAHMUNDRY,1999,ANDHRA PRADESH,BJP,SATYANARAYANA RAO S.B.P.B.K,M,,,411956,1137225,1,#FB7B0D,796286
RAJAMPET,1999,ANDHRA PRADESH,TDP,GUNIPATI RAMAIAH,M,,,322107,946311,1,#4bacc6,660558
SECUNDERABAD,1999,ANDHRA PRADESH,BJP,BANDARU DATTATRAYA,M,,,506626,1770024,1,#FB7B0D,970791
SIDDIPET,1999,ANDHRA PRADESH,TDP,M. RAJAIAH,M,,,583346,1622094,1,#4bacc6,1042532
SRIKAKULAM,1999,ANDHRA PRADESH,TDP,YERRANNAIDU KINJARAPU,M,,,373851,985232,1,#4bacc6,658100
TENALI,1999,ANDHRA PRADESH,TDP,UMMAREDDY VENKATESWARLU,M,,,339800,960447,1,#4bacc6,645601
TIRUPATI,1999,ANDHRA PRADESH,BJP,DR.N.VENKATASWAMY,M,,,386478,1199710,1,#FB7B0D,790437
VIJAYAWADA,1999,ANDHRA PRADESH,TDP,GADDE RAMA MOHAN,M,,,482968,1384393,1,#4bacc6,929476
VISAKHAPATNAM,1999,ANDHRA PRADESH,TDP,M.V.V.S.MURTHY,M,,,442036,1420606,1,#4bacc6,884861
WARANGAL,1999,ANDHRA PRADESH,TDP,BODAKUNTI VENKATESHWARLU,M,,,385593,1132718,1,#4bacc6,831989
ARUNACHAL EAST,1999,ARUNACHAL PRADESH,INC,WANGCHA RAJKUMAR,M,,,110792,265446,1,#019733,190344
ARUNACHAL WEST,1999,ARUNACHAL PRADESH,INC,JARBOM GAMLIN,M,,,131483,346126,1,#019733,235319
AUTONOMOUS DISTS,1999,ASSAM,CPI(ML)(L),DR JAYANTA RONGPI,M,,,208789,535818,1,#DE0000,386800
BARPETA,1999,ASSAM,INC,A F GOLAM OSMANI,M,,,325838,1023625,1,#019733,754333
DHUBRI,1999,ASSAM,INC,ABDUL HAMID,M,,,279812,1050547,1,#019733,809069
DIBRUGARH,1999,ASSAM,INC,PABAN SINGH GHATOWAR,M,,,270863,945785,1,#019733,557674
GAUHATI,1999,ASSAM,BJP,BIJOYA CHAKRAVARTY,F,,,384771,1354869,1,#FB7B0D,837428
JORHAT,1999,ASSAM,INC,BIJOY KRISHNA HANDIQUE,M,,,304690,1003470,1,#019733,630744
KALIABOR,1999,ASSAM,INC,TARUN GOGOI,M,,,373542,1111536,1,#019733,758710
KARIMGANJ,1999,ASSAM,INC,NEPAL CHANDRA DAS,M,,,336799,943163,1,#019733,679706
KOKRAJHAR,1999,ASSAM,IND,SANSUMA KHUNGGUR BWISMUTHIARY,M,,,334367,1168480,1,#95b3d7,890015
LAKHIMPUR,1999,ASSAM,INC,RANEE NARAH,F,,,255925,1060744,1,#019733,743823
MANGALDOI,1999,ASSAM,INC,MADHAB RAJBANGSHI,M,,,283749,1180131,1,#019733,832398
NOWGONG,1999,ASSAM,BJP,RAJEN GOHAIN,M,,,328861,1113339,1,#FB7B0D,761698
SILCHAR,1999,ASSAM,INC,SONTOSH MOHAN DEV,M,,,329256,827760,1,#019733,592867
TEZPUR,1999,ASSAM,INC,MONI KUMAR SUBBA,M,,,230884,971406,1,#019733,677202
ARARIA,1999,BIHAR,RJD,SUKDEO PASWAN,M,,,308579,1043070,1,#999,638646
ARRAH,1999,BIHAR,RJD,RAM PRASAD SINGH,M,,,264140,1121825,1,#999,681789
AURANGABAD,1999,BIHAR,INC,SHYAMA SINGH,F,,,317418,1091472,1,#019733,674623
BAGAHA,1999,BIHAR,JD(U),MAHENDRA BAITHA,M,,,261498,1028588,1,#8064a2,570270
BALIA,1999,BIHAR,JD(U),RAMJIVAN SINGH,M,,,169443,996579,1,#8064a2,499385
BANKA,1999,BIHAR,JD(U),DIGVIJAY SINGH,M,,,233453,1064049,1,#8064a2,626293
BARH,1999,BIHAR,JD(U),NITISH KUMAR,M,,,362016,1081353,1,#8064a2,750668
BEGUSARAI,1999,BIHAR,INC,RAJO SINGH,M,,,318244,1110888,1,#019733,635267
BETTIAH,1999,BIHAR,BJP,DR MADAN PRASAD JAISWAL,M,,,343027,1098637,1,#FB7B0D,689040
BHAGALPUR,1999,BIHAR,CPM,SUBODH RAY,M,,,321159,1232833,1,#DE0000,669871
BIKRAMGANJ,1999,BIHAR,RJD,KANTI SINGH,F,,,346259,1128738,1,#999,734918
BUXAR,1999,BIHAR,BJP,LAL MUNI CHOUBEY,M,,,235968,1029419,1,#FB7B0D,602749
CHAPRA,1999,BIHAR,BJP,RAJIV PRATAP RUDI,M,,,390477,1003426,1,#FB7B0D,770075
CHATRA,1999,BIHAR,RJD,NAGMANI,M,,,219783,1015184,1,#999,416769
DARBHANGA,1999,BIHAR,BJP,KIRTI AZAD,M,,,395549,1043388,1,#FB7B0D,758291
DHANBAD,1999,BIHAR,BJP,RITA VERMA,F,,,366065,1433645,1,#FB7B0D,761461
DUMKA,1999,BIHAR,BJP,BABU LAL MARANDI,M,,,201141,951280,1,#FB7B0D,545500
GAYA,1999,BIHAR,BJP,RAMJI MANJHI,M,,,319530,1056530,1,#FB7B0D,636450
GIRIDIH,1999,BIHAR,BJP,RAVINDRA KUMAR PANDEY,M,,,248454,1115417,1,#FB7B0D,532036
GODDA,1999,BIHAR,BJP,JAGDAMBI PRASAD YADAV,M,,,221191,1087573,1,#FB7B0D,633556
GOPALGANJ,1999,BIHAR,JD(U),RAGHUNATH JHA,M,,,365107,1176915,1,#8064a2,741844
HAJIPUR,1999,BIHAR,JD(U),RAM VILAS PASWAN,M,,,434609,1064323,1,#8064a2,779601
HAZARIBAGH,1999,BIHAR,BJP,YASHWANT SINHA,M,,,283956,1213735,1,#FB7B0D,591881
JAHANABAD,1999,BIHAR,JD(U),ARUN KUMAR,M,,,333332,1105202,1,#8064a2,775282
JAMSHEDPUR,1999,BIHAR,BJP,ABHA MAHATO,F,,,285232,1160562,1,#FB7B0D,628228
JHANJHARPUR,1999,BIHAR,JD(U),DEVENDRA PRASAD YADAV,M,,,375852,1053943,1,#8064a2,674416
KATIHAR,1999,BIHAR,BJP,NIKHIL KUMAR CHOUDHARY,M,,,280911,1039500,1,#FB7B0D,639558
KHAGARIA,1999,BIHAR,JD(U),RENU KUMARI,F,,,293412,1044431,1,#8064a2,662439
KHUNTI,1999,BIHAR,BJP,KARIYA MUNDA,M,,,187484,832168,1,#FB7B0D,404838
KISHANGANJ,1999,BIHAR,BJP,SYED SHAHNAWAZ HUSSAIN,M,,,258035,1129430,1,#FB7B0D,717635
KODARMA,1999,BIHAR,INC,TILAKDHARI PD SINGH,M,,,273808,1137548,1,#019733,594997
LOHARDAGA,1999,BIHAR,BJP,DUKHA BHAGAT,M,,,163658,938658,1,#FB7B0D,363514
MADHEPURA,1999,BIHAR,JD(U),SHARAD YADAV,M,,,328761,997210,1,#8064a2,648473
MADHUBANI,1999,BIHAR,BJP,HUKUMDEO NARAYAN YADAV,M,,,328616,1101089,1,#FB7B0D,706948
MAHARAJGANJ,1999,BIHAR,JD(U),PRABHUNATH SINGH,M,,,398475,981566,1,#8064a2,697300
MONGHYR,1999,BIHAR,JD(U),BRAHMA NAND MANDAL,M,,,346615,1147663,1,#8064a2,705278
MOTIHARI,1999,BIHAR,BJP,RADHA MOHAN SINGH,M,,,338696,1112639,1,#FB7B0D,677062
MUZAFFARPUR,1999,BIHAR,JD(U),CAPTAIN JAI NA. PD. NISHAD,M,,,363820,1067836,1,#8064a2,719527
NALANDA,1999,BIHAR,JD(U),GEORGE FERNANDES,M,,,464458,1180008,1,#8064a2,871579
NAWADA,1999,BIHAR,BJP,SANJAY PASWAN,M,,,453943,1173989,1,#FB7B0D,850352
PALAMU,1999,BIHAR,BJP,BRAJ MOHAN RAM,M,,,271657,1080153,1,#FB7B0D,508960
PATNA,1999,BIHAR,BJP,C P THAKUR,M,,,379370,1470372,1,#FB7B0D,802107
PURNEA,1999,BIHAR,IND,RAJESH RANJAN,M,,,438193,1085356,1,#95b3d7,693718
RAJMAHAL,1999,BIHAR,INC,THOMAS HANSDA,M,,,250298,950593,1,#019733,560248
RANCHI,1999,BIHAR,BJP,RAM TAHAL CHOUDHARY,M,,,379261,1131760,1,#FB7B0D,577090
ROSERA,1999,BIHAR,JD(U),RAM CHANDRA PASWAN,M,,,420564,1077267,1,#8064a2,723714
SAHARSA,1999,BIHAR,JD(U),DINESH CHANDRA YADAV,M,,,392926,1142103,1,#8064a2,721597
SAMASTIPUR,1999,BIHAR,JD(U),MANJAY LAL,M,,,368776,1219110,1,#8064a2,791038
SASARAM,1999,BIHAR,BJP,MUNI LALL,M,,,257223,1144324,1,#FB7B0D,653315
SHEOHAR,1999,BIHAR,RJD,MD ANWARUL HAQUE,M,,,347279,1083123,1,#999,715936
SINGHBHUM,1999,BIHAR,BJP,LAXMAN GILUA,M,,,231237,846629,1,#FB7B0D,471500
SITAMARHI,1999,BIHAR,JD(U),NAWAL KISHORE RAI,M,,,410557,1126989,1,#8064a2,742752
SIWAN,1999,BIHAR,RJD,M SAHABUDDIN,M,,,385069,989004,1,#999,702293
VAISHALI,1999,BIHAR,RJD,RAGHUVANSH PRASAD SINGH,M,,,308458,1049006,1,#999,709752
CHANDIGARH,1999,CHANDIGARH,INC,PAWAN KUMAR BANSAL,M,,,132924,585006,1,#019733,282816
DADRA & NAGAR HAVELI,1999,D&N HAVELI,IND,DELKAR MOHANBHAI SANJIBHAI,M,,,29853,98376,1,#95b3d7,71905
DAMAN & DIU,1999,DAMAN & DIU,INC,PATEL DAHYABHAI VALLABHBHAI,M,,,25136,72216,1,#019733,50800
MARMAGOA,1999,GOA,BJP,ANGLE RAMAKANT SOIRU,M,,,106064,495208,1,#FB7B0D,218809
PANAJI,1999,GOA,BJP,SHRIPAD YASSO NAIK,M,,,104958,413641,1,#FB7B0D,190985
AHMEDABAD,1999,GUJARAT,BJP,HARIN PATHAK,M,,,280696,1320165,1,#FB7B0D,527737
AMRELI,1999,GUJARAT,BJP,DILEEP SANGHANI,M,,,217670,874521,1,#FB7B0D,407488
ANAND,1999,GUJARAT,BJP,PATEL DIPAKBHAI CHIMANBHAI (SATHI),M,,,273683,1047272,1,#FB7B0D,548033
BANASKANTHA,1999,GUJARAT,BJP,CHAUDHARY HARIBHAI PARTHIBHAI,M,,,308313,1106766,1,#FB7B0D,593248
BARODA,1999,GUJARAT,BJP,JAYABEN THAKKAR,F,,,322758,1438964,1,#FB7B0D,585026
BHAVNAGAR,1999,GUJARAT,BJP,RANA RAJENDRASINH GHANSHYAMSINH (RAJUBHAI RANA),M,,,265446,1023921,1,#FB7B0D,435165
BROACH,1999,GUJARAT,BJP,MANSUKHBHAI VASAVA,M,,,290195,1096772,1,#FB7B0D,581035
BULSAR,1999,GUJARAT,BJP,MANIBHAI RAMJIBHAI CHAUDHARI,M,,,300195,1151087,1,#FB7B0D,582106
CHHOTA UDAIPUR,1999,GUJARAT,BJP,RAMSINH RATHAWA,M,,,248970,962525,1,#FB7B0D,510280
DHANDHUKA,1999,GUJARAT,BJP,VARMA RATILAL KALIDAS,M,,,229754,1029877,1,#FB7B0D,462197
DOHAD,1999,GUJARAT,BJP,KATARA BABUBHAI KHIMABHAI,M,,,232288,1028979,1,#FB7B0D,463502
GANDHINAGAR,1999,GUJARAT,BJP,LAL KRISHNA ADVANI (L K ADVANI),M,,,453229,1833844,1,#FB7B0D,741260
GODHRA,1999,GUJARAT,BJP,SOLANKI BHUPENDRASINH PRABHATSINH,M,,,280684,1020262,1,#FB7B0D,473144
JAMNAGAR,1999,GUJARAT,BJP,KORADIYA CHANDRESHBHAI VALJIBHAI (CHANDRESH PATEL),M,,,190726,958418,1,#FB7B0D,352700
JUNAGADH,1999,GUJARAT,BJP,CHIKHALIYA BHAVNABEN DEVRAJBHAI,F,,,266809,1079568,1,#FB7B0D,492253
KAIRA,1999,GUJARAT,INC,DINSHA PATEL,M,,,258024,1054781,1,#019733,485304
KAPADVANJ,1999,GUJARAT,INC,VAGHELA SHANKARSINH LAXMANSINH,M,,,413193,1124201,1,#019733,664576
KUTCH,1999,GUJARAT,BJP,GADHVI PUSHPADAN SAMBHUDAN,M,,,191533,872937,1,#FB7B0D,383764
MANDVI,1999,GUJARAT,BJP,PATEL MANSINHBHAI KALYANJI,M,,,320172,1063704,1,#FB7B0D,600610
MEHSANA,1999,GUJARAT,INC,PATEL ATMARAM MAGANBHAI,M,,,340445,1104439,1,#019733,628636
PATAN,1999,GUJARAT,INC,RASHTRAPAL PRAVINCHANDRA SOMABHAI,M,,,246798,1003829,1,#019733,479027
PORBANDAR,1999,GUJARAT,BJP,JAVIYA GORDHANBHAI JADAVBHAI,M,,,210627,894299,1,#FB7B0D,325856
RAJKOT,1999,GUJARAT,BJP,DR KATHIRIYA VALLABHBHAI RAMJIBHAI,M,,,312941,1379914,1,#FB7B0D,546230
SABARKANTHA,1999,GUJARAT,INC,NISHA AMARSINH CHAUDHARY,F,,,334565,1119855,1,#019733,661161
SURAT,1999,GUJARAT,BJP,KASHIRAM RANA,M,,,423773,1950958,1,#FB7B0D,615730
SURENDRANAGAR,1999,GUJARAT,INC,MAKWANA SAVSHIBHAI KANJIBHAI,M,,,244368,970544,1,#019733,468954
AMBALA,1999,HARYANA,BJP,RATTAN LAL KATARIA,M,,,357460,1091846,1,#FB7B0D,692337
BHIWANI,1999,HARYANA,INLD,AJAY SINGH CHAUTALA,M,,,381255,1053603,1,#999,733042
FARIDABAD,1999,HARYANA,BJP,RAM CHANDER BAINDA,M,,,367842,1330157,1,#FB7B0D,745484
HISSAR,1999,HARYANA,INLD,SURENDER SINGH BARWALA,M,,,396540,1025344,1,#999,639302
KARNAL,1999,HARYANA,BJP,I.D. SWAMI,M,,,433733,1131448,1,#FB7B0D,771101
KURUKSHETRA,1999,HARYANA,INLD,PROF KAILASHO DEVI,F,,,438701,1073147,1,#999,723757
MAHENDRAGARH,1999,HARYANA,BJP,DR. SUDHA YADAV,F,,,420706,1236918,1,#FB7B0D,744706
ROHTAK,1999,HARYANA,INLD,INDER SINGH,M,,,366926,938878,1,#999,633373
SIRSA,1999,HARYANA,INLD,DR. SUSHIL KUMAR INDORA,M,,,419278,1100439,1,#999,635428
