#,AC_NAME,AC_NO,Deposit Threshold,EVM Votes,Migrant Votes,Migrant Votes ,NAME,O.S.N.,party_code,Polled_Votes,Postal Votes,Rank,ST_CD,ST_NAME,State-code,VOTES,Vote %,YEAR,color_code,PARTY,polled_votes,vote_percent
7,Anakapalli,5,0,4443,0,0,Vadlamuri Krishna Swaroop,9,Dalita Bahujana Party,1238491,1,7,S01,Andhra Pradesh,S01,4444,0.358823762,2019,#363636,DBP,1238491,0.36
8,Anakapalli,5,0,3760,0,0,Appala Naidu Tummagunta,10,Independent,1238491,5,8,S01,Andhra Pradesh,S01,3765,0.303998979,2019,#CEB58C,IND,1238491,0.3
4,Anakapalli,5,0,34877,0,0,NOTA,11,None of the Above,1238491,20,4,S01,Andhra Pradesh,S01,34897,2.817703157,2019,#DDD1CA,NOTA,1238491,2.82
2,Kakinada,6,1,508361,0,0,CHALAMALASETTY SUNIL,1,Telugu Desam,1234655,3531,2,S01,Andhra Pradesh,S01,511892,41.46032697,2019,#AB9005,TDP,1234655,41.46
6,Kakinada,6,0,8601,0,0,MALLIPUDI SRI RAMACHANDRA MURTHY (RAMBABU),2,Indian National Congress,1234655,39,6,S01,Andhra Pradesh,S01,8640,0.69979063,2019,#3498DB,INC,1234655,0.7
5,Kakinada,6,0,9456,0,0,YALLA VENKATA RAMA MOHAN RAO (DORABABU),3,Bharatiya Janata Party,1234655,140,5,S01,Andhra Pradesh,S01,9596,0.777221167,2019,#ff7f0e,BJP,1234655,0.78
1,Kakinada,6,1,534655,0,0,VANGA GEETHAVISWANATH,4,Yuvajana Sramika Rythu Congress Party,1234655,2975,1,S01,Andhra Pradesh,S01,537630,43.5449579,2019,#08406F,YSRCP,1234655,43.54
8,Kakinada,6,0,2997,0,0,APPALAKONDA VANGALAPUDI,5,Mundadugu Praja Party,1234655,0,8,S01,Andhra Pradesh,S01,2997,0.242739875,2019,#363636,MPP,1234655,0.24
11,Kakinada,6,0,1687,0,0,B. GEETHA,6,Praja Shanthi Party,1234655,1,11,S01,Andhra Pradesh,S01,1688,0.136718355,2019,#363636,PRSP,1234655,0.14
10,Kakinada,6,0,1723,0,0,GODUGU SATYANARAYANA,7,Communist Party of India  (Marxist-Leninist)  (Liberation),1234655,1,10,S01,Andhra Pradesh,S01,1724,0.139634149,2019,#F27A67,CPI(M)(L),1234655,0.14
3,Kakinada,6,0,132124,0,0,JYOTHULA VENKATESWARA RAO,8,Janasena Party,1234655,524,3,S01,Andhra Pradesh,S01,132648,10.74373003,2019,#D22215,JP,1234655,10.74
15,Kakinada,6,0,980,0,0,DONAM NEELAKANTAM,9,All India Praja Party,1234655,0,15,S01,Andhra Pradesh,S01,980,0.0793744,2019,,,1234655,0.08
16,Kakinada,6,0,812,0,0,PEDDIMSETTI. VENKATESWARARAO,10,Jana Jagruti Party,1234655,3,16,S01,Andhra Pradesh,S01,815,0.066010343,2019,,,1234655,0.07
14,Kakinada,6,0,1012,0,0,VASAMSETTY VENKATARAMANA,11,All India Forward Bloc,1234655,2,14,S01,Andhra Pradesh,S01,1014,0.082128206,2019,#363636,AIFB,1234655,0.08
13,Kakinada,6,0,1117,0,0,SATHI VEERALAKSHMI,12,Pyramid Party of India,1234655,2,13,S01,Andhra Pradesh,S01,1119,0.090632606,2019,#363636,PPI,1234655,0.09
12,Kakinada,6,0,1381,0,0,ANKADI SATHIBABU,13,Independent,1234655,0,12,S01,Andhra Pradesh,S01,1381,0.111853109,2019,#CEB58C,IND,1234655,0.11
7,Kakinada,6,0,3325,0,0,KAKILETI RAVINDRA,14,Independent,1234655,2,7,S01,Andhra Pradesh,S01,3327,0.269467989,2019,#CEB58C,IND,1234655,0.27
9,Kakinada,6,0,2051,0,0,MEDISETTI VIJAYA KUMAR,15,Independent,1234655,0,9,S01,Andhra Pradesh,S01,2051,0.16611928,2019,#CEB58C,IND,1234655,0.17
4,Kakinada,6,0,17117,0,0,NOTA,16,None of the Above,1234655,36,4,S01,Andhra Pradesh,S01,17153,1.389294985,2019,#DDD1CA,NOTA,1234655,1.39
5,Amalapuram,7,0,11358,0,0,AYYAJI VEMA MANEPALLI,1,Bharatiya Janata Party,1230903,158,5,S01,Andhra Pradesh,S01,11516,0.935573315,2019,#ff7f0e,BJP,1230903,0.94
2,Amalapuram,7,1,442774,0,0,GANTI HARISH MADHUR (BALAYOGI),2,Telugu Desam,1230903,2573,2,S01,Andhra Pradesh,S01,445347,36.18051138,2019,#AB9005,TDP,1230903,36.18
1,Amalapuram,7,1,481358,0,0,CHINTA ANURADHA,3,Yuvajana Sramika Rythu Congress Party,1230903,3955,1,S01,Andhra Pradesh,S01,485313,39.42739598,2019,#08406F,YSRCP,1230903,39.43
6,Amalapuram,7,0,7840,0,0,JANGA GOUTHAM,4,Indian National Congress,1230903,38,6,S01,Andhra Pradesh,S01,7878,0.640017938,2019,#3498DB,INC,1230903,0.64
11,Amalapuram,7,0,1228,0,0,CHELLE RAJANI,5,Jana Jagruti Party,1230903,0,11,S01,Andhra Pradesh,S01,1228,0.099764157,2019,,,1230903,0.1
10,Amalapuram,7,0,1801,0,0,PANTHAGADA VIJAYA CHAKRAVARTHY,6,Republican Party of India (Khobragade),1230903,0,10,S01,Andhra Pradesh,S01,1801,0.146315347,2019,#363636,RPI(K),1230903,0.15
9,Amalapuram,7,0,1801,0,0,MURALIKRISHNA KANDERI,7,India Praja Bandhu Party,1230903,1,9,S01,Andhra Pradesh,S01,1802,0.146396589,2019,#363636,IPBP,1230903,0.15
8,Amalapuram,7,0,1946,0,0,MORTHA SIVA RAMA KRISHNA,8,Pyramid Party of India,1230903,4,8,S01,Andhra Pradesh,S01,1950,0.158420282,2019,#363636,PPI,1230903,0.16
3,Amalapuram,7,1,253271,0,0,D M R SEKHAR,9,Janasena Party,1230903,1577,3,S01,Andhra Pradesh,S01,254848,20.70414972,2019,#D22215,JP,1230903,20.7
7,Amalapuram,7,0,2770,0,0,REVU SUDHAKAR,10,Independent,1230903,1,7,S01,Andhra Pradesh,S01,2771,0.225119282,2019,#CEB58C,IND,1230903,0.23
4,Amalapuram,7,0,16408,0,0,NOTA,11,None of the Above,1230903,41,4,S01,Andhra Pradesh,S01,16449,1.336336007,2019,#DDD1CA,NOTA,1230903,1.34
5,Rajahmundry,8,0,12678,0,0,NALLURI VIJAYA SRINIVASA RAO,1,Indian National Congress,1250427,47,5,S01,Andhra Pradesh,S01,12725,1.01765237,2019,#3498DB,INC,1250427,1.02
6,Rajahmundry,8,0,12165,0,0,PARAVASTU SATYA GOPINATH DAS,2,Bharatiya Janata Party,1250427,169,6,S01,Andhra Pradesh,S01,12334,0.986383052,2019,#ff7f0e,BJP,1250427,0.99
2,Rajahmundry,8,1,459100,0,0,MAGANTI ROOPA,3,Telugu Desam,1250427,1290,2,S01,Andhra Pradesh,S01,460390,36.81862276,2019,#AB9005,TDP,1250427,36.82
1,Rajahmundry,8,1,578471,0,0,MARGANI BHARAT,4,Yuvajana Sramika Rythu Congress Party,1250427,3553,1,S01,Andhra Pradesh,S01,582024,46.54601988,2019,#08406F,YSRCP,1250427,46.55
3,Rajahmundry,8,0,155164,0,0,AKULA SATYANARAYANA,5,Janasena Party,1250427,643,3,S01,Andhra Pradesh,S01,155807,12.46030356,2019,#D22215,JP,1250427,12.46
8,Rajahmundry,8,0,1752,0,0,GEDDAM DAVID NELSON BABU,6,Ambedkarite Party of India,1250427,5,8,S01,Andhra Pradesh,S01,1757,0.140512001,2019,#363636,API,1250427,0.14
11,Rajahmundry,8,0,1034,0,0,BANDARU RAJESWARA RAO,7,Jana Jagruti Party,1250427,1,11,S01,Andhra Pradesh,S01,1035,0.082771725,2019,,,1250427,0.08
12,Rajahmundry,8,0,994,0,0,MEDA SRINIVAS,8,Rashtriya Praja Congress  (Secular),1250427,2,12,S01,Andhra Pradesh,S01,996,0.079652791,2019,,,1250427,0.08
10,Rajahmundry,8,0,1156,0,0,SANGISETTI SRINIVASA RAO,9,Pyramid Party of India,1250427,5,10,S01,Andhra Pradesh,S01,1161,0.092848283,2019,#363636,PPI,1250427,0.09
9,Rajahmundry,8,0,1242,0,0,KURUVELLA BHANUCHANDAR,10,Independent,1250427,0,9,S01,Andhra Pradesh,S01,1242,0.09932607,2019,#CEB58C,IND,1250427,0.1
7,Rajahmundry,8,0,2868,0,0,KOLLAPU VENU,11,Independent,1250427,1,7,S01,Andhra Pradesh,S01,2869,0.229441623,2019,#CEB58C,IND,1250427,0.23
4,Rajahmundry,8,0,18064,0,0,NOTA,12,None of the Above,1250427,23,4,S01,Andhra Pradesh,S01,18087,1.446465887,2019,#DDD1CA,NOTA,1250427,1.45
4,Narsapuram,9,0,13678,0,0,KANUMURU BAPIRAJU,1,Indian National Congress,1174441,132,4,S01,Andhra Pradesh,S01,13810,1.175878567,2019,#3498DB,INC,1174441,1.18
1,Narsapuram,9,1,442736,0,0,KANUMURU RAGHU RAMA KRISHNA RAJU,2,Yuvajana Sramika Rythu Congress Party,1174441,4858,1,S01,Andhra Pradesh,S01,447594,38.1112376,2019,#08406F,YSRCP,1174441,38.11
5,Narsapuram,9,0,12118,0,0,PYDIKONDALA MANIKYALA RAO,3,Bharatiya Janata Party,1174441,260,5,S01,Andhra Pradesh,S01,12378,1.053948219,2019,#ff7f0e,BJP,1174441,1.05
2,Narsapuram,9,1,413674,0,0,V.V. SIVA RAMA RAJU (KALAVAPUDI SIVA),4,Telugu Desam,1174441,2011,2,S01,Andhra Pradesh,S01,415685,35.39428545,2019,#AB9005,TDP,1174441,35.39
7,Narsapuram,9,0,4268,0,0,YELLA VENU GOPAL RAO,5,Nava Samaj Party,1174441,2,7,S01,Andhra Pradesh,S01,4270,0.363577225,2019,#363636,NSP,1174441,0.36
15,Narsapuram,9,0,865,0,0,GANJI PURNIMA,6,Republican Party of India (A),1174441,2,15,S01,Andhra Pradesh,S01,867,0.073822355,2019,#363636,RPI(A),1174441,0.07
16,Narsapuram,9,0,582,0,0,GURUGUBILLI RAMBABU,7,Marxist Communist Party of India (United),1174441,0,16,S01,Andhra Pradesh,S01,582,0.049555491,2019,#363636,MCPI,1174441,0.05
