constituency,1957,1960,1965,1967,1970,1977,1980,1982,1987,1991,1996,2001,2006,2011,2016
Pathanapuram,CPI,INC,CPI,CPI,CPI,CPI,CPI,KEC,CPI,CPI,CPI,KEC(B),KEC(B),KEC(B),KEC(B)
Pattambi,CPI,CPI,CPM,CPM,CPM,CPI,INC,CPI,INC,CPI,CPI,INC,INC,INC,CPI
Payyannur,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Peerumade,,,CPM,CPM,CPM,CPI,CPI,IND,INC,INC,CPI,INC,CPI,CPI,CPI
Perambra,CPI,PSP,CPM,CPM,INC,KEC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Peravoor,,,,,,INC,INC(U),IND,INC,INC,ICS,INC,CPM,INC,INC
Peringalam,,,SSP,SSP,ISP,INC,INC(U),IML,JNP,IUML,JD,JD(S),JD(S),,
Perinthalmanna,CPI,CPI,CPM,CPM,IUML,IUML,IUML,IUML,IUML,IUML,IUML,IUML,CPM,IUML,IUML
Perumbavoor,CPI,INC,CPM,CPM,INC,CPM,CPM,INC,INC,INC,INC,CPM,CPM,CPM,INC
Piravom,,,,,,KEC,INC(U),IND,CPM,KEC,KEC(J),KEC(J),CPM,KEC(J),KEC(J)
Ponnani,INC,INC,INC,IUML,IND,INC,CPM,INC,INC,CPM,CPM,INC,CPM,CPM,CPM
Poonjar,INC,INC,IND,KEC,KEC,KEC,KEC,KEC,JNP,KEC,KEC,KEC,KEC,KEC(M),IND
Puliyannur,PSP,PSP,,,,,,,,,,,,,
Punaloor,,,INC,CPI,CPI,CPI,CPI,KEC,CPI,INC,CPI,CPI,CPI,,
Punalur,CPI,CPI,,,,,,,,,,,,CPI,CPI
Puthukkad,,,,,,,,,,,,,,CPM,CPM
Puthuppally,INC,INC,CPM,CPM,IND,INC,INC(U),IND,INC,INC,INC,INC,INC,INC,INC
Quilandy,PSP,PSP,SSP,SSP,INC,INC,INC,INC,INC,INC,CPM,INC,CPM,CPM,CPM
Quilon,INC,INC,INC,IND,RSP,RSP,RSP,IND,RSP,INC,RSP,RSPK(B),CPM,,
Ramamangalam,INC,INC,,,,,,,,,,,,,
Ranni,INC,INC,KEC,CPI,IND,KEC,INC(U),ICS,KEC,INC,CPM,CPM,CPM,CPM,CPM
Sherthalai,CPI,CPI,KEC,CPM,INC,INC,CPI,IND,INC,CPI,INC,INC,CPI,,
Shornur,,,,,,,,,,,,,,CPM,CPM
South Wynad,,,SSP,SSP,INC,,,,,,,,,,
Sreekrishnapuram,,,CPM,CPM,CPM,INC,INC,CPM,INC,INC,CPM,CPM,CPM,,
Sulthanbathery,,,,,,INC,INC,INC,INC,INC,CPM,INC,CPM,INC,INC
Taliparamba,,,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Tanur,IND,ML,ML,IUML,IUML,IUML,IUML,IUML,IUML,IUML,IUML,IUML,IUML,IUML,NSC
Tarur,,,,,,,,,,,,,,CPM,CPM
Thakazhi,INC,INC,,,,,,,,,,,,,
