PARTY,YEAR,AC_NAME,ST_NAME,AC_NO,rank,AC_TYPE,NAME,SEX,AGE,CATEGORY,VOTES,polled_votes,color
INC,1969,Modeliarpeth,Pondicherry,8,2,GEN,A.S. JANAKIPAMAN,M,,,2909,7657,#2ecc71
DMK,1969,Ariancoupom,Pondicherry,9,1,GEN,S. PERUMAL,M,,,3774,7532,#c0392b
INC,1969,Ariancoupom,Pondicherry,9,2,GEN,P.C. PURUSHOTHAMA REDDY,M,,,3758,7532,#2ecc71
INC,1969,Courouvinattam,Pondicherry,10,1,GEN,K.R. SUBRAMANYA PADAYACHI,M,,,4050,7215,#2ecc71
CPI,1969,Courouvinattam,Pondicherry,10,2,GEN,M. RAJAGOPAL,M,,,2903,7215,#ff5757
IND,1969,Courouvinattam,Pondicherry,10,3,GEN,A. DEIVASIGAMANI,M,,,262,7215,#bdc3c7
INC,1969,Bahour,Pondicherry,11,1,SC,K. KRISHNASAMY,M,,,3211,6149,#2ecc71
CPI,1969,Bahour,Pondicherry,11,2,SC,R. THANGAVELU OLEMENCEAU,M,,,2938,6149,#ff5757
DMK,1969,Nettapacom,Pondicherry,12,1,GEN,D. RAMACHANDRAN,M,,,3545,6938,#c0392b
INC,1969,Nettapacom,Pondicherry,12,2,GEN,V. VENKATASUBBA REDDIAR,M,,,3393,6938,#2ecc71
DMK,1969,Tiroubouvane,Pondicherry,13,1,SC,M. THANGAVELU,M,,,3277,6361,#c0392b
INC,1969,Tiroubouvane,Pondicherry,13,2,SC,R. MANNATHAN,M,,,2338,6361,#2ecc71
IND,1969,Tiroubouvane,Pondicherry,13,3,SC,R. KULANTHAI,M,,,746,6361,#bdc3c7
DMK,1969,Mannadipeth,Pondicherry,14,1,GEN,S.M. SUBBARAYAN,M,,,3499,6862,#c0392b
INC,1969,Mannadipeth,Pondicherry,14,2,GEN,D. KANNAPPAN,M,,,2315,6862,#2ecc71
IND,1969,Mannadipeth,Pondicherry,14,3,GEN,T. VIRAPPAN,M,,,1000,6862,#bdc3c7
IND,1969,Mannadipeth,Pondicherry,14,4,GEN,K.S. SHANMUGA CAVOUNDAR,M,,,48,6862,#bdc3c7
INC,1969,Oussoudou,Pondicherry,15,1,SC,V. NAGARATHINAM,M,,,3386,6692,#2ecc71
CPI,1969,Oussoudou,Pondicherry,15,2,SC,P.S. PERUMAL,M,,,3306,6692,#ff5757
DMK,1969,Villenour,Pondicherry,16,1,GEN,S. ARUMUGAM,M,,,4132,6892,#c0392b
INC,1969,Villenour,Pondicherry,16,2,GEN,S.V. MURUGESA NADAR,M,,,2760,6892,#2ecc71
INC,1969,Embalom,Pondicherry,17,1,SC,M. VEERAMMAL,F,,,3682,6612,#2ecc71
DMK,1969,Embalom,Pondicherry,17,2,SC,M. VEERAPPAN,M,,,2930,6612,#c0392b
DMK,1969,Oulgaret,Pondicherry,18,1,GEN,S. MUTHU,M,,,3452,6883,#c0392b
INC,1969,Oulgaret,Pondicherry,18,2,GEN,G. RAJAMANICKAM,M,,,1823,6883,#2ecc71
IND,1969,Oulgaret,Pondicherry,18,3,GEN,S. GOVINDASAMY,M,,,1163,6883,#bdc3c7
IND,1969,Oulgaret,Pondicherry,18,4,GEN,LATOUR PAUL JOSPEH,M,,,445,6883,#bdc3c7
DMK,1969,Calapeth,Pondicherry,19,1,GEN,M.O.H. FAROOK,M,,,4261,7121,#c0392b
INC,1969,Calapeth,Pondicherry,19,2,GEN,M. MURUGESA MUDALIAR,M,,,2860,7121,#2ecc71
