year,constituency,ST_NAME,AC_NO,rank,AC_TYPE,name,SEX,AGE,CATEGORY,votes,party,color,polled_votes
1980,Oupalam,Pondicherry,5,1,GEN,SITHA VEDANAYAGAM,M,,,5419,DMK,#800000,7735
1980,Orleampeth,Pondicherry,6,1,GEN,NA. MANIMARAN ALIAS NA. MARIMUTHU,M,,,5721,DMK,#800000,9583
1980,Nellithope,Pondicherry,7,1,GEN,P. RAMALINGAM,M,,,4019,DMK,#800000,7470
1980,Modeliarpeth,Pondicherry,8,1,GEN,V. KOTHANDARAMAN ALIAS SABAPATHY,M,,,5258,INC,#019733,10867
1980,Ariankuppam,Pondicherry,9,1,GEN,P. SUBBURAYAN,M,,,5900,DMK,#800000,10248
1980,Embalom,Pondicherry,10,1,SC,G. MURUGESAN,M,,,5033,INC,#019733,7369
1980,Nettapakkam,Pondicherry,11,1,GEN,R. SUBBARAYA GOUNDER,M,,,4201,JNP,#9A9E56,8421
1980,Kuruvinatham,Pondicherry,12,1,GEN,M. A. SHANMUGAM,M,,,3738,DMK,#800000,8776
1980,Bahour,Pondicherry,13,1,SC,P. UTHIRAVELU,M,,,4154,JNP,#9A9E56,8082
1980,Thirubuvanai,Pondicherry,14,1,SC,P. CATTAVARAYANE,M,,,6001,INC,#019733,8325
1980,Mannadipeth,Pondicherry,15,1,GEN,D. RAMACHANDRAN,M,,,5598,DMK,#800000,9164
1980,Ossudu,Pondicherry,16,1,SC,P. MURTHY,M,,,5122,DMK,#800000,7704
1980,Villenour,Pondicherry,17,1,GEN,M. VENUGOPAL,M,,,3810,DMK,#800000,8614
1980,Ozhukarai,Pondicherry,18,1,GEN,G. PERUMAL RAJA,M,,,5493,DMK,#800000,8325
1980,Thattanchavady,Pondicherry,19,1,GEN,V. PETHAPERUMAL,M,,,4824,JNP,#9A9E56,9875
1980,Reddiarpalayam,Pondicherry,20,1,GEN,RENUKA APPADURAI,F,,,5409,INC,#019733,10305
1980,Lawspet,Pondicherry,21,1,GEN,M. O. H. FAROOK,M,,,8980,INC,#019733,11413
1980,Cotchery,Pondicherry,22,1,GEN,G. PANJAVARNAM,M,,,4133,DMK,#800000,8278
1980,Karaikal,Pondicherry,23,1,GEN,V. M. SALIH MARICAR,M,,,4778,IND,#888888,8648
1980,Karaikal South,Pondicherry,24,1,GEN,S. SAVARIRAJAN,M,,,4867,INC,#019733,7557
1980,Neravy-Grand Aldee,Pondicherry,25,1,GEN,V. M. C. SIVAKUMAR,M,,,5315,DMK,#800000,9268
1980,Tirunallar,Pondicherry,26,1,GEN,N. V. RAMALINGAM,M,,,3573,DMK,#800000,8040
1980,Neduncadu,Pondicherry,27,1,SC,M. CHANDIRAKASU,M,,,4981,INC,#019733,7636
1980,Mahe,Pondicherry,28,1,GEN,K. V. RAGHAVAN,M,,,2638,CPM,#DE0000,5476
1980,Palloor,Pondicherry,29,1,GEN,N. K. SACHINDRANATH,M,,,2567,INC,#019733,5594
1980,Yanam,Pondicherry,30,1,GEN,KAMICHETTY SRI PARASSOURAMA VARAPRASSADA RAO,M,,,2433,IND,#888888,5024
1985,Muthialpet,Pondicherry,1,1,GEN,G. PALANIRAJA,M,,,7820,DMK,#800000,14500
1985,Cassicade,Pondicherry,2,1,GEN,P. KANNAN,M,,,5273,INC,#019733,8402
1985,Raj Bhavan,Pondicherry,3,1,GEN,L. JOSEPH MARIADOSS,M,,,2419,INC,#019733,4417
1985,Bussy,Pondicherry,4,1,GEN,C. M. ACHRAFF,M,,,2213,INC,#019733,4162
1985,Oupalam,Pondicherry,5,1,GEN,P. K. LOGANATHAN,M,,,3898,ADMK,#9DBC2A,9997
1985,Orleampeth,Pondicherry,6,1,GEN,M.A..S. SUBRAMANIAN,M,,,6635,ADMK,#9DBC2A,11912
1985,Nellithope,Pondicherry,7,1,GEN,R.V.JANAKIRAMAN,M,,,5526,DMK,#800000,10672
1985,Modeliarpeth,Pondicherry,8,1,GEN,V. SABAPATHY KOTHANDARAMAN,M,,,6260,INC,#019733,13302
1985,Ariankuppam,Pondicherry,9,1,GEN,P. PURUSHOTHAMAN,M,,,5505,ADMK,#9DBC2A,12668
1985,Embalom,Pondicherry,10,1,SC,K. ANBALAGAN,M,,,4509,ADMK,#9DBC2A,8836
1985,Nettapakkam,Pondicherry,11,1,GEN,V. VAITHILINGAM,M,,,6946,INC,#019733,9523
1985,Kuruvinatham,Pondicherry,12,1,GEN,R. RAMANSTHAN,M,,,4207,DMK,#800000,10344
1985,Bahour,Pondicherry,13,1,SC,P. UTHIRAVELU,M,,,4911,JNP,#9A9E56,10339
1985,Thirubuvanai,Pondicherry,14,1,SC,S. KOMALA,F,,,5745,DMK,#800000,10563
1985,Mannadipeth,Pondicherry,15,1,GEN,D. RAMACHANDRAN,M,,,6383,DMK,#800000,11301
1985,Ossudu,Pondicherry,16,1,SC,V. NAGARATHINAM,M,,,6176,INC,#019733,8920
1985,Villenour,Pondicherry,17,1,GEN,R. SUBRAYA COUNDER,M,,,5696,INC,#019733,10883
1985,Ozhukarai,Pondicherry,18,1,GEN,R. SOMASUNDARAM,M,,,5729,ADMK,#9DBC2A,10653
1985,Thattanchavady,Pondicherry,19,1,GEN,V. PETHAPERUMAL,M,,,6228,JNP,#9A9E56,13944
1985,Reddiarpalayam,Pondicherry,20,1,GEN,V. BALAJI,M,,,7852,INC,#019733,13878
1985,Lawspet,Pondicherry,21,1,GEN,M.O.H. FAROOK,M,,,8804,INC,#019733,14586
1985,Cotchery,Pondicherry,22,1,GEN,N. VENGADASALAM,M,,,5774,INC,#019733,10322
1985,Karaikal,Pondicherry,23,1,GEN,V. GOVINDARAJAN,M,,,4784,INC,#019733,9656
1985,Karaikal South,Pondicherry,24,1,GEN,S. RAMASSAMY,M,,,3808,IND,#888888,8149
1985,Neravy-Grand Aldee,Pondicherry,25,1,GEN,V.M.C. VARADA PILLAI,M,,,5788,ADMK,#9DBC2A,10826
1985,Tirunallar,Pondicherry,26,1,GEN,A. SONUDARARENGAN,M,,,4246,IND,#888888,9395
1985,Neduncadu,Pondicherry,27,1,SC,M. CHANDIRAKASU,M,,,5870,INC,#019733,8683
1985,Mahe,Pondicherry,28,1,GEN,P.K. SATHYANANDAN,M,,,3695,INC,#019733,6966
1985,Palloor,Pondicherry,29,1,GEN,A.V. SREEDHARAN,M,,,3766,INC,#019733,6968
1985,Yanam,Pondicherry,30,1,GEN,KAMICHETTY SRI PARASSORAMA VARAPRASSADA RAO,M,,,2884,INC,#019733,6957
1990,Muthialpet,Pondicherry,1,1,GEN,G. PALANIRAJA,M,,,10571,DMK,#800000,18965
1990,Cassicade,Pondicherry,2,1,GEN,P. KANNAN,M,,,6040,INC,#019733,11500
1990,Raj Bhavan,Pondicherry,3,1,GEN,S. P. SIVAKUMAR,M,,,2528,DMK,#800000,5313
1990,Bussy,Pondicherry,4,1,GEN,C. M. ACHRAFF,M,,,2692,INC,#019733,5573
1990,Oupalam,Pondicherry,5,1,GEN,N. NAGHAMUTHU,M,,,7378,DMK,#800000,13674
1990,Orleampeth,Pondicherry,6,1,GEN,N. MANIMARAN,M,,,8076,DMK,#800000,16003
1990,Nellithope,Pondicherry,7,1,GEN,R. V. JANKIRAMAN,M,,,6601,DMK,#800000,15875
1990,Modeliarpeth,Pondicherry,8,1,GEN,M. MANJINI,M,,,8905,CPI,#DE0000,19620
1990,Ariankuppam,Pondicherry,9,1,GEN,A. BAKTHKAVACHALAM,M,,,5950,JD,#222,17563
1990,Embalom,Pondicherry,10,1,SC,K. DEIVANAYAGAM,M,,,4669,JD,#222,12634
1990,Nettapakkam,Pondicherry,11,1,GEN,V. VAITHILINGAM,M,,,7332,INC,#019733,13250
1990,Kuruvinatham,Pondicherry,12,1,GEN,R. RAMANATHAN,M,,,6072,DMK,#800000,13802
1990,Bahour,Pondicherry,13,1,SC,P. RAJAVELU,M,,,8223,JD,#222,14229
1990,Thirubuvanai,Pondicherry,14,1,SC,D. VISWANATHAN,M,,,6743,ADMK,#9DBC2A,14522
1990,Mannadipeth,Pondicherry,15,1,GEN,D. RAMACHANDIRAN,M,,,7802,DMK,#800000,15299
1990,Ossudu,Pondicherry,16,1,SC,N. MARIMUTHU,M,,,5242,INC,#019733,12857
1990,Villenour,Pondicherry,17,1,GEN,P. ANANDA BASKARAN,M,,,8442,INC,#019733,15546
1990,Ozhukarai,Pondicherry,18,1,GEN,M. RASAN ALIAS VAZHUMUNI,M,,,8749,DMK,#800000,16178
1990,Thattanchavady,Pondicherry,19,1,GEN,V. PETHAPERUMAL,M,,,9503,JD,#222,18522
1990,Reddiarpalayam,Pondicherry,20,1,GEN,R. VISWANATHAN,M,,,11153,CPI,#DE0000,21946
1990,Lawspet,Pondicherry,21,1,GEN,M. O. H. FAROOK,M,,,12637,INC,#019733,23842
1990,Cotchery,Pondicherry,22,1,GEN,M. VAITHILINGAM,M,,,5189,INC,#019733,14417
1990,Karaikal,Pondicherry,23,1,GEN,S. M. THAVASU,M,,,5394,INC,#019733,12996
1990,Karaikal South,Pondicherry,24,1,GEN,S. RAMASSAMY,M,,,6012,ADMK,#9DBC2A,10674
1990,Neravy-Grand Aldee,Pondicherry,25,1,GEN,V. GANAPATHY,M,,,7102,ADMK,#9DBC2A,13732
1990,Tirunallar,Pondicherry,26,1,GEN,R. KAMALAKKANNAN,M,,,4124,IND,#888888,11553
1990,Neduncadu,Pondicherry,27,1,SC,M. CHANDIRAKASSU,M,,,6174,INC,#019733,11089
1990,Mahe,Pondicherry,28,1,GEN,E. VALSARAJ,M,,,5142,INC,#019733,9174
1990,Palloor,Pondicherry,29,1,GEN,A. V. SREEDHARAN,M,,,5288,INC,#019733,9048
1990,Yanam,Pondicherry,30,1,GEN,RAKSHA HARIKRISHNA,M,,,4632,DMK,#800000,10775
1991,Muthialpet,Pondicherry,1,1,GEN,M. BALASUBRAMANIAM,M,,,9175,ADMK,#9DBC2A,17515
1991,Cassicade,Pondicherry,2,1,GEN,M. ELANGO,M,,,4927,JD,#222,9859
1991,Raj Bhavan,Pondicherry,3,1,GEN,A. GANDHIRAJ,M,,,2381,INC,#019733,4914
1991,Bussy,Pondicherry,4,1,GEN,C. M.K ACHRAFF,M,,,3083,INC,#019733,5243
1991,Oupalam,Pondicherry,5,1,GEN,U. C. ARUMUGAN,M,,,7352,ADMK,#9DBC2A,12838
1991,Orleampeth,Pondicherry,6,1,GEN,K.PARASURAMAN,M,,,8697,ADMK,#9DBC2A,14631
1991,Nellithope,Pondicherry,7,1,GEN,R. V. JANAKIRAMAN,M,,,7067,DMK,#800000,14407
1991,Modeliarpeth,Pondicherry,8,1,GEN,V. KOTHANDARAMAN ALIAS SABAPATHY,M,,,8230,IND,#888888,18109
1991,Ariankuppam,Pondicherry,9,1,GEN,P. SUBBURAYAN,M,,,5794,DMK,#800000,16279
1991,Embalom,Pondicherry,10,1,SC,K. PAKKIRI AMMAL,F,,,4171,INC,#019733,11102
1991,Nettapakkam,Pondicherry,11,1,GEN,V. VAITHILINGAM,M,,,8095,INC,#019733,12240
1991,Kuruvinatham,Pondicherry,12,1,GEN,T. THIAGARAJAN,M,,,6765,INC,#019733,13079
1991,Bahour,Pondicherry,13,1,SC,P. RAJAVELU,M,,,6377,IND,#888888,13114
