AC_NAME,PARTY,YEAR,ST_NAME,AC_NO,rank,AC_TYPE,NAME,SEX,AGE,CATEGORY,VOTES,polled_votes,color,District
Chengam,IND,1967,Tamil Nadu,46,3,SC,P. DHANAPAL,M,0,,1927,52477,#bdc3c7,Tiruvannamalai
Chengam,RPI,1967,Tamil Nadu,46,4,SC,R. KANNIAH,M,0,,1425,52477,#222,Tiruvannamalai
Chengam,IND,1967,Tamil Nadu,46,5,SC,C. K. MANICKAM,M,0,,524,52477,#bdc3c7,Tiruvannamalai
Thandarambattu,INC,1967,Tamil Nadu,47,1,GEN,K. S. KANDAR,M,0,,29524,58680,#2ecc71,
Thandarambattu,DMK,1967,Tamil Nadu,47,2,GEN,R. DHARMALINGAM,M,0,,28185,58680,#c0392b,
Thandarambattu,IND,1967,Tamil Nadu,47,3,GEN,C. G. NAIDU,M,0,,971,58680,#bdc3c7,
Kalasapakkam,INC,1967,Tamil Nadu,48,1,GEN,S. MURUGIAN,M,0,,32697,63644,#2ecc71,Tiruvannamalai
Kalasapakkam,DMK,1967,Tamil Nadu,48,2,GEN,M. SUNDARASAN,M,0,,20554,63644,#c0392b,Tiruvannamalai
Kalasapakkam,IND,1967,Tamil Nadu,48,3,GEN,K. R. K. GOUNDER,M,0,,10393,63644,#bdc3c7,Tiruvannamalai
Tiruvannamalai,INC,1967,Tamil Nadu,49,1,GEN,D. VIJAYARAJ,M,0,,38153,77255,#2ecc71,Tiruvannamalai
Tiruvannamalai,DMK,1967,Tamil Nadu,49,2,GEN,P. U. SHANMUGAM,M,0,,34968,77255,#c0392b,Tiruvannamalai
Tiruvannamalai,IND,1967,Tamil Nadu,49,3,GEN,M. ARUMUGAM,M,0,,4134,77255,#bdc3c7,Tiruvannamalai
Melmalayanur,DMK,1967,Tamil Nadu,50,1,GEN,R. R. MUNUSAMY,M,0,,33115,65337,#c0392b,
Melmalayanur,INC,1967,Tamil Nadu,50,2,GEN,K. G. GOUNDER,M,0,,17295,65337,#2ecc71,
Melmalayanur,IND,1967,Tamil Nadu,50,3,GEN,K. ARANGANATHAN,M,0,,11756,65337,#bdc3c7,
Melmalayanur,IND,1967,Tamil Nadu,50,4,GEN,M. A. KUTHAN,M,0,,2051,65337,#bdc3c7,
Melmalayanur,IND,1967,Tamil Nadu,50,5,GEN,A. ANTHONISAMY,M,0,,1120,65337,#bdc3c7,
Gingee,DMK,1967,Tamil Nadu,51,1,GEN,V. MUNUSAMI,M,0,,39517,71086,#c0392b,Villupuram
Gingee,INC,1967,Tamil Nadu,51,2,GEN,G. RAJARAM,M,0,,27905,71086,#2ecc71,Villupuram
Gingee,IND,1967,Tamil Nadu,51,3,GEN,P. R. ARANGANATHAN,M,0,,1592,71086,#bdc3c7,Villupuram
Gingee,IND,1967,Tamil Nadu,51,4,GEN,K. LOURDUNATHAN,M,0,,793,71086,#bdc3c7,Villupuram
Gingee,IND,1967,Tamil Nadu,51,5,GEN,A. ERUSAN,M,0,,747,71086,#bdc3c7,Villupuram
Gingee,IND,1967,Tamil Nadu,51,6,GEN,P. SAMINATHAN,M,0,,532,71086,#bdc3c7,Villupuram
Tindivanam,INC,1967,Tamil Nadu,52,1,GEN,K. RAMAMOORTHY,M,0,,34106,66114,#2ecc71,Villupuram
Tindivanam,DMK,1967,Tamil Nadu,52,2,GEN,A. THANGAVELU,M,0,,32008,66114,#c0392b,Villupuram
Vanur,DMK,1967,Tamil Nadu,53,1,SC,BALAKRISHNAN,M,0,,30023,59976,#c0392b,Villupuram
Vanur,INC,1967,Tamil Nadu,53,2,SC,VELAYUDHAM,M,0,,29953,59976,#2ecc71,Villupuram
Kandamangalam,DMK,1967,Tamil Nadu,54,1,SC,M. RAMAN,M,0,,35617,63797,#c0392b,
Kandamangalam,INC,1967,Tamil Nadu,54,2,SC,M. S. SARASWATHI,M,0,,28180,63797,#2ecc71,
Villupuram,DMK,1967,Tamil Nadu,55,1,GEN,M. SHANMUGAM,M,0,,37605,69985,#c0392b,Villupuram
Villupuram,INC,1967,Tamil Nadu,55,2,GEN,V. P. S. GOUNDER,M,0,,31674,69985,#2ecc71,Villupuram
Villupuram,IND,1967,Tamil Nadu,55,3,GEN,T. S. RAMACHANDRAN,M,0,,706,69985,#bdc3c7,Villupuram
Nellikuppam,CPM,1967,Tamil Nadu,56,1,GEN,C. GOVINDARAJAN,M,0,,28090,59462,#ff5757,
Nellikuppam,INC,1967,Tamil Nadu,56,2,GEN,A. LAKSHMINARAYANAN,M,0,,23117,59462,#2ecc71,
Nellikuppam,IND,1967,Tamil Nadu,56,3,GEN,S. S. CHANDRASEKARAN,M,0,,5537,59462,#bdc3c7,
Nellikuppam,IND,1967,Tamil Nadu,56,4,GEN,M. GANGACHALAM,M,0,,1633,59462,#bdc3c7,
Nellikuppam,IND,1967,Tamil Nadu,56,5,GEN,V. RAJARAM,M,0,,1085,59462,#bdc3c7,
Cuddalore,DMK,1967,Tamil Nadu,57,1,GEN,E. RE. ELAMVAZHUTHI,M,0,,35093,63705,#c0392b,Cuddalore
Cuddalore,INC,1967,Tamil Nadu,57,2,GEN,P. R. S. PADAYACHI,M,0,,27845,63705,#2ecc71,Cuddalore
Cuddalore,IND,1967,Tamil Nadu,57,3,GEN,A. PADAYACHI,M,0,,767,63705,#bdc3c7,Cuddalore
Panruti,DMK,1967,Tamil Nadu,58,1,GEN,S. RAMACHANDRAN,M,0,,43745,71924,#c0392b,Cuddalore
Panruti,INC,1967,Tamil Nadu,58,2,GEN,V. V. PADAYACHI,M,0,,28179,71924,#2ecc71,Cuddalore
Kurinjipadi,DMK,1967,Tamil Nadu,59,1,SC,N. RAJANGAM,M,0,,25478,46746,#c0392b,Cuddalore
Kurinjipadi,INC,1967,Tamil Nadu,59,2,SC,M. JAYARAMAN,M,0,,18226,46746,#2ecc71,Cuddalore
Kurinjipadi,IND,1967,Tamil Nadu,59,3,SC,P. VAITHILINGAM,M,0,,1569,46746,#bdc3c7,Cuddalore
Kurinjipadi,IND,1967,Tamil Nadu,59,4,SC,G. DHANAGOPAL,M,0,,1473,46746,#bdc3c7,Cuddalore
Bhuvanagiri,DMK,1967,Tamil Nadu,60,1,GEN,A. GOVINDARASAN,M,0,,38795,68929,#c0392b,Cuddalore
Bhuvanagiri,INC,1967,Tamil Nadu,60,2,GEN,D. RAMACHANDRAN,M,0,,28234,68929,#2ecc71,Cuddalore
Bhuvanagiri,IND,1967,Tamil Nadu,60,3,GEN,M. CHELLAPPA,M,0,,1900,68929,#bdc3c7,Cuddalore
Kattumannarkoil,INC,1967,Tamil Nadu,61,1,SC,S. SIVASUBRAMANIAN,M,0,,30521,63138,#2ecc71,Cuddalore
Kattumannarkoil,DMK,1967,Tamil Nadu,61,2,SC,C. GOVINDARASU,M,0,,30387,63138,#c0392b,Cuddalore
Kattumannarkoil,IND,1967,Tamil Nadu,61,3,SC,A. SAMIDURAI,M,0,,1561,63138,#bdc3c7,Cuddalore
Kattumannarkoil,IND,1967,Tamil Nadu,61,4,SC,C. KALIAMOORTHY,M,0,,349,63138,#bdc3c7,Cuddalore
Kattumannarkoil,IND,1967,Tamil Nadu,61,5,SC,S. CHINNAYYA,M,0,,320,63138,#bdc3c7,Cuddalore
Chidambaram,INC,1967,Tamil Nadu,62,1,GEN,R. K. PILLAI,M,0,,34911,70982,#2ecc71,Cuddalore
Chidambaram,DMK,1967,Tamil Nadu,62,2,GEN,P. PONCHOCKALINGAM,M,0,,33356,70982,#c0392b,Cuddalore
Chidambaram,IND,1967,Tamil Nadu,62,3,GEN,R. GOVINDARAJAN,M,0,,1881,70982,#bdc3c7,Cuddalore
