constituency,1951,1957,1962,1967,1969,1971,1972,1977,1982,1987,1991,1996,2001,2006,2011
Manikchak,INC,,INC,SWA,INC,INC,INC,CPM,INC,CPM,CPM,INC,CPM,CPM,
Manteswar,INC,,CPI,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Mathabhanga,INC,INC,INC,CPM,INC,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Mathurapur,KMPP,INC,,BAC,SUC,SUC,INC,INC,INC,INC,INC,INC,CPM,CPM,
Mayureswar,,,CPI,INC,CPM,,CPI,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Memari,,,CPI,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Moyna,CPI,,,CPI,CPI,CPI,CPI,CPM,CPM,CPM,INC,CPM,CPM,CPM,AITC
Murarai,KMPP,,RSP,IND,SUC,SUC,INC,INC,INC,INC,INC,INC,CPM,CPM,AITC
Nabagram,,,,INC,IND,IND,INC,CPM,CPM,CPM,CPM,INC,CPM,CPM,CPM
Nagrakata,,,INC,INC,INC,CPM,CPI,CPM,CPM,CPM,CPM,CPM,CPM,CPM,INC
Naihati,INC,CPI,CPI,INC,CPM,CPM,INC,CPM,CPM,INC,INC,CPM,CPM,CPM,AITC
Nandanpur,,,,,,,,CPM,CPM,CPM,CPM,CPM,AITC,CPM,
Nanur,INC,,,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Narayangarh,BJS,,INC,INC,BAC,INC,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Natabari,,,,,,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Nayagram,,,INC,BAC,BAC,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Noapara,,PSP,CPI,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,AITC,CPM,AITC
Palashipara,,,,,,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Pandua,,,INC,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Panihati,,,,CPM,CPM,CPM,INC,CPM,CPM,CPM,CPM,INC,AITC,CPM,AITC
Panskura East,,,INC,CPI,CPI,CPI,CPI,JNP,IND,CPM,CPM,INC,AITC,CPM,
Para,,,INC,BAC,BAC,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,INC
Patharpratima,,,,IND,SUC,SUC,INC,CPM,CPM,CPM,CPM,INC,CPM,CPM,AITC
Phansidewa,,,INC,INC,INC,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,INC
Polba,,,,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Purbasthali,INC,INC,INC,CPM,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Pursurah,,,,INC,INC,INC,INC,CPM,INC,CPM,CPM,CPM,CPM,CPM,AITC
Purulia,,IND,INC,IND,LSS,INC,INC,CPM,ICS,CPM,CPM,CPM,CPM,CPM,AITC
Raghunathpur,,INC,INC,INC,SUC,SUC,INC,SUC,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Raina,KMPP,PSP,INC,PSP,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Raipur,IND,INC,INC,BAC,BAC,JKP,CPI,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Rajarhat,,,INC,CPM,CPM,INC,INC,CPM,CPM,CPM,CPM,CPM,AITC,CPM,
Rajganj,,,,SSP,INC,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Ramnagar,INC,INC,PSP,INC,PSP,NCO,INC,JNP,INC,CPM,CPM,CPM,AITC,CPM,AITC
Ranaghat East,,,,CPI,CPI,CPM,CPI,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Ranaghat West,,,,INC,CPM,,INC,CPM,CPM,CPM,CPM,INC,INC,CPM,
Ranibandh,,,CPI,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Raniganj,IND,,CPI,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Ratua,INC,INC,INC,INC,IND,,INC,CPM,INC,CPM,CPM,INC,CPM,CPM,INC
Sagar,,,,INC,BAC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC,CPM,AITC
Sagardighi,INC,,INC,INC,BAC,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Salbani,IND,,INC,BAC,BAC,CPM,CPI,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Sandeshkhali,,IND,INC,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
