AC_NAME,AC_NO,AC_TYPE,AGE,CATEGORY,NAME,PARTY,SEX,ST_NAME,VOTES,YEAR,polled_votes,rank
Manalur,66,GEN,,,MUNDASSERY JOSEPH,CPI,M,Kerala,23350,1957,47191,1
Manalur,66,GEN,,,SUKUMARAN,INC,M,Kerala,21355,1957,47191,2
Manalur,66,GEN,,,GOVINDANKUTTY NAIR K.,PSP,M,Kerala,2486,1957,47191,3
Trichur,67,GEN,,,A. R. MENON,IND,M,Kerala,23531,1957,44576,1
Trichur,67,GEN,,,KARUNAKARAN K.,INC,M,Kerala,21045,1957,44576,2
Ollur,68,GEN,,,PARANCHU R.,INC,M,Kerala,15994,1957,35606,1
Ollur,68,GEN,,,RAGHAVAN V.,CPI,M,Kerala,15915,1957,35606,2
Ollur,68,GEN,,,VARHESE B. C.,PSP,M,Kerala,3697,1957,35606,3
Kunnamkulam,69,GEN,,,KRISHNAN T. K.,CPI,M,Kerala,21161,1957,42715,1
Kunnamkulam,69,GEN,,,VELAYUDHAN K. I.,INC,M,Kerala,18788,1957,42715,2
Kunnamkulam,69,GEN,,,IPE T. C.,PSP,M,Kerala,2766,1957,42715,3
Wadakkancherry,70,SC,,,AYYAPPAN C. C. (SC),CPI,M,Kerala,33161,1957,125489,1
Wadakkancherry,70,SC,,,KOCHUKUTTAN K (SC),INC,M,Kerala,28895,1957,125489,2
Wadakkancherry,70,SC,,,BALAKRISHNA MENON K.,PSP,M,Kerala,27357,1957,125489,3
Wadakkancherry,70,SC,,,NARAYANA MENON K.,INC,M,Kerala,24467,1957,125489,4
Wadakkancherry,70,SC,,,KARAPPAN P. K. (SC),IND,M,Kerala,11609,1957,125489,5
Nattika,71,GEN,,,ACHUTHAN K. S.,INC,M,Kerala,23594,1957,45633,1
Nattika,71,GEN,,,GOPALAKRISHNAN P. K.,CPI,M,Kerala,22039,1957,45633,2
Guruvayur,72,GEN,,,KORU KOOLIYAT,IND,M,Kerala,16722,1957,37068,1
Guruvayur,72,GEN,,,ABUBAKER M. V.,INC,M,Kerala,14087,1957,37068,2
Guruvayur,72,GEN,,,SEBASTIAN K. J.,PSP,M,Kerala,6259,1957,37068,3
Andathodu,73,GEN,,,GOVINDAN KUTTY MENON K.,CPI,M,Kerala,14229,1957,35174,1
Andathodu,73,GEN,,,KARUNAKARA MENON K. G.,INC,M,Kerala,12495,1957,35174,2
Andathodu,73,GEN,,,HANEEFA SAHIB E. S. M.,IND,M,Kerala,8450,1957,35174,3
Ponnani,74,SC,,,KUNHAMBU KALLAYAN (SC),INC,M,Kerala,22784,1957,113717,1
Ponnani,74,SC,,,KUNHAN ELIYATH THARAYIL (SC),CPI,M,Kerala,20535,1957,113717,2
Ponnani,74,SC,,,IMBICHI BAVA E. K.,CPI,M,Kerala,18793,1957,113717,3
Ponnani,74,SC,,,CHERUKOYA THANGAL V. P.,IND,M,Kerala,18068,1957,113717,4
Ponnani,74,SC,,,RAMAN MENON K. V.,INC,M,Kerala,16409,1957,113717,5
Ponnani,74,SC,,,CHATHU VARIATH PARAMBIL (SC),PSP,M,Kerala,14697,1957,113717,6
Ponnani,74,SC,,,PADMANABHA MENON P. M.,RSP,M,Kerala,2431,1957,113717,7
Kuzhalmannam,75,GEN,,,JOHN KUDUVAKKOTTE,IND,M,Kerala,19437,1957,34126,1
Kuzhalmannam,75,GEN,,,KESAVA MENON T.P.,INC,M,Kerala,14689,1957,34126,2
Alathur,76,GEN,,,KRISHNAN R.,CPI,M,Kerala,19203,1957,34808,1
Alathur,76,GEN,,,VAITHEESWARA IYER P. S.,INC,M,Kerala,13317,1957,34808,2
Alathur,76,GEN,,,AHAMMAD KUTTY E.,IND,M,Kerala,2288,1957,34808,3
Chittur,77,SC,,,BALACHANDRA MENON P.,CPI,M,Kerala,23995,1957,111234,1
Chittur,77,SC,,,EACHARAN K. (SC),INC,M,Kerala,22062,1957,111234,2
Chittur,77,SC,,,RAMANKUTTY K. (SC),CPI,M,Kerala,20480,1957,111234,3
Chittur,77,SC,,,SUNNA SAHIB A.,INC,M,Kerala,18317,1957,111234,4
Chittur,77,SC,,,KORAN O. (SC),PSP,M,Kerala,15658,1957,111234,5
Chittur,77,SC,,,SIVARAMA BHARATHI K. A.,PSP,M,Kerala,10722,1957,111234,6
Elapully,78,GEN,,,RAMANKUTTY A. K.,CPI,M,Kerala,16768,1957,28328,1
Elapully,78,GEN,,,SANKARAN C. C.,INC,M,Kerala,11560,1957,28328,2
Palghat,79,GEN,,,RAGHAVA MENON R.,INC,M,Kerala,14873,1957,35179,1
Palghat,79,GEN,,,KUNHIRAMAN M. P.,CPI,M,Kerala,14248,1957,35179,2
Palghat,79,GEN,,,MOOSATH C. K.,IND,M,Kerala,6058,1957,35179,3
Parli,80,GEN,,,NARAYANAKUTTY C. K.,CPI,M,Kerala,21627,1957,35623,1
Parli,80,GEN,,,GOPALAKRISHNAN NAIR K.,INC,M,Kerala,13996,1957,35623,2
Mannarghat,81,GEN,,,KRISHNA MENON K.,CPI,M,Kerala,13375,1957,30262,1
Mannarghat,81,GEN,,,KOCHUNNY NAIR K. C.,INC,M,Kerala,9665,1957,30262,2
Mannarghat,81,GEN,,,SANKARANKUTTY PANICKER V.,IND,M,Kerala,5356,1957,30262,3
Mannarghat,81,GEN,,,KUTTAN ALIAS UNNEERI VYDIAR,IND,M,Kerala,1866,1957,30262,4
Perintalmanna,82,GEN,,,GOVINDAN NAMBIAR,CPI,M,Kerala,13248,1957,30507,1
Perintalmanna,82,GEN,,,POOKOYA THANGAL HAJI P. V.,IND,M,Kerala,9398,1957,30507,2
Perintalmanna,82,GEN,,,CHERIKKATTIL KARUNAKARAN,INC,M,Kerala,7861,1957,30507,3
Ottapalam,83,GEN,,,KUNHUNNI NAYAR,CPI,M,Kerala,16157,1957,31405,1
Ottapalam,83,GEN,,,SUNDARA IYER N.,INC,M,Kerala,15248,1957,31405,2
Pattambi,84,GEN,,,GOPALAN ERASSERI PATINHARETHIL,CPI,M,Kerala,17447,1957,32722,1
Pattambi,84,GEN,,,PADAMANABHA MENON K. P.,INC,M,Kerala,9793,1957,32722,2
