constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011,2016,2021,2026
Paramakudi,DMK,DMK,ADMK,ADMK,ADMK,Others,ADMK,DMK,TMC,INC,ADMK,ADMK,DMK,DMK
Paramathi-Velur,,,,,,,,,,,ADMK,DMK,ADMK,ADMK
Park Town,Others,Others,DMK,DMK,DMK,DMK,INC,DMK,TMC,ADMK,,,,
Pattukkottai,PSP,PSP,INC,ADMK,ADMK,DMK,ADMK,DMK,TMC,INC,INC,ADMK,DMK,DMK
Pennagaram,INC,DMK,JNP,Others,ADMK,IND,ADMK,PMK,PMK,DMK,CPI,DMK,PMK,TVK
Perambalur,DMK,DMK,ADMK,DMK,INC,CPI,ADMK,DMK,ADMK,DMK,ADMK,ADMK,DMK,TVK
Perambur,DMK,DMK,DMK,DMK,DMK,DMK,ADMK,DMK,CPM,CPM,CPM,ADMK,DMK,TVK
Peranamallur,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,PMK,,,,
Peravurani,DMK,IND,ADMK,ADMK,ADMK,INC,INC,TMC,TMC,ADMK,DMDK,ADMK,DMK,DMK
Periyakulam,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,CPM,ADMK,DMK,TVK
Pernambattu,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,,,,
Perundurai,SSP,CPI,ADMK,CPI,ADMK,Others,ADMK,CPI,ADMK,ADMK,ADMK,ADMK,ADMK,ADMK
Perur,CPM,CPI,DMK,ADMK,DMK,DMK,ADMK,DMK,ADMK,ADMK,,,,
Pollachi,DMK,DMK,ADMK,ADMK,ADMK,Others,ADMK,DMK,ADMK,ADMK,ADMK,ADMK,ADMK,DMK
Polur,DMK,DMK,ADMK,INC,INC,DMK,ADMK,DMK,ADMK,INC,ADMK,DMK,ADMK,TVK
Pongalur,DMK,DMK,ADMK,ADMK,ADMK,INC,INC,TMC,ADMK,DMK,,,,
Ponneri,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,CPI,ADMK,ADMK,ADMK,INC,TVK
Poompuhar,,,DMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,PMK,ADMK,ADMK,DMK,DMK
Poonamallee,,,DMK,DMK,INC,DMK,INC,TMC,PMK,INC,ADMK,ADMK,DMK,TVK
Pudukkottai,INC,NCO,INC,INC,INC,DMK,INC,DMK,ADMK,ADMK,CPI,DMK,DMK,DMK
Purasawalkam,DMK,DMK,DMK,DMK,DMK,DMK,INC,TMC,DMK,DMK,,,,
Radhapuram,INC,DMK,ADMK,Others,Others,INC,INC,TMC,IND,DMK,DMDK,ADMK,DMK,TVK
Rajapalayam,IND,CPI,ADMK,IND,INC,DMK,ADMK,DMK,ADMK,ADMK,ADMK,DMK,DMK,TVK
Ramanathapuram,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,INC,MNMK,ADMK,DMK,DMK
Ranipet,IND,IND,DMK,DMK,INC,IND,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK,TVK
Rasipuram,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,ADMK,DMK,TVK
Rishivandiyam,DMK,DMK,INC,INC,INC,DMK,ADMK,TMC,TMC,INC,DMDK,DMK,DMK,DMK
Royapuram,,,DMK,DMK,DMK,DMK,ADMK,DMK,ADMK,ADMK,ADMK,ADMK,DMK,TVK
Saidapet,DMK,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,DMK,ADMK,ADMK,DMK,DMK,TVK
Salem North,,,,,,,,,,,DMDK,DMK,DMK,TVK
Salem South,,,,,,,,,,,ADMK,ADMK,ADMK,TVK
Salem West,,,,,,,,,,,ADMK,ADMK,PMK,TVK
Salem-I,DMK,DMK,ADMK,ADMK,ADMK,DMK,INC,DMK,ADMK,ADMK,,,,
Salem-Ii,DMK,DMK,JNP,ADMK,ADMK,DMK,ADMK,DMK,PMK,DMK,,,,
Samayanallur,,,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,,,,
Sankarankovil,DMK,DMK,DMK,ADMK,ADMK,DMK,ADMK,ADMK,ADMK,ADMK,ADMK,ADMK,DMK,ADMK
Sankarapuram,DMK,DMK,INC,ADMK,ADMK,DMK,ADMK,DMK,PMK,DMK,ADMK,DMK,DMK,ADMK
Sankari,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,ADMK,ADMK
Sathyamangalam,INC,DMK,ADMK,ADMK,INC,DMK,ADMK,DMK,ADMK,DMK,,,,
Sattangulam,INC,DMK,JNP,Others,Others,INC,INC,TMC,TMC,INC,,,,
Sattur,Others,Others,ADMK,ADMK,ADMK,DMK,TMC,DMK,DMK,DMK,ADMK,ADMK,DMK,DMK
Sedapatti,Others,Others,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,,,,
Sembanarkoil,DMK,DMK,,,,,,,,,,,,
Senthamangalam,INC,DMK,ADMK,ADMK,ADMK,Others,ADMK,DMK,ADMK,DMK,DMDK,ADMK,DMK,TVK
Sholavandan,DMK,DMK,ADMK,INC,INC,DMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,DMK,TVK
Sholingur,DMK,NCO,ADMK,ADMK,ADMK,INC,INC,TMC,ADMK,INC,DMDK,ADMK,INC,TVK
Shozhinganallur,,,,,,,,,,,ADMK,DMK,DMK,TVK
Singanallur,PSP,PSP,CPM,DMK,JNP,DMK,ADMK,DMK,CPM,ADMK,ADMK,DMK,ADMK,TVK
Sirkazhi,IND,CPI,DMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,DMK,DMK
Sivaganga,DMK,DMK,INC,INC,INC,DMK,ADMK,DMK,ADMK,CPI,CPI,ADMK,ADMK,TVK
