state,pc,party,name,age,category,color,electors,polled_votes,rank,sex,votes,year,poll_date,education,gender,assets,criminal_cases
Maharashtra,Palghar,Bharatiya Janata Party,advchintamannavashawanga,63,GEN,#FB7B0D,,992618,1,,533201,2014,24-04-2014,Graduate Professional,Male,5809644,0
Maharashtra,Mumbai South Central,Shivsena,rahulrameshshewale,41,GEN,#F05A00,,769060,1,,381275,2014,24-04-2014,Others,Male,13304397,1
Maharashtra,Mumbai   South,Shivsena,arvindsawant,,,#F05A00,,780715,1,,374780,2014,,,,,
Maharashtra,Raigad,Shivsena,anantgeete,63,GEN,#F05A00,,987766,1,,396178,2014,24-04-2014,10th,Male,44466487,0
Maharashtra,Maval,Shivsena,appaaliasshrirangchandubarne,50,GEN,#F05A00,,1174335,1,,512226,2014,17-04-2014,8th,Male,665047926,2
Maharashtra,Ahmadnagar,Bharatiya Janata Party,gandhidilipkumarmansukhlal,,,#FB7B0D,,1062318,1,,605185,2014,,,,,
Maharashtra,Latur,Bharatiya Janata Party,drsunilbaliramgaikwad,43,GEN,#FB7B0D,,1057156,1,,616509,2014,17-04-2014,Doctorate,Male,17463251,0
Maharashtra,Ratnagiri - Sindhudurg,Shivsena,vinayakbhauraoraut,,,#F05A00,,896256,1,,493088,2014,,,,,
Odisha,Bargarh,Biju Janata Dal,prabhaskumarsingh,,,#000000,,1123301,1,,383230,2014,,,,,
Odisha,Sundargarh,Bharatiya Janata Party,jual@jueloram,,,#FB7B0D,,1010711,1,,340508,2014,,,,,
Odisha,Sambalpur,Biju Janata Dal,nagendrakumarpradhan,,,#000000,,984309,1,,358618,2014,,,,,
Odisha,Keonjhar,Biju Janata Dal,sakuntalalaguri,,,#000000,,1083869,1,,434471,2014,,,,,
Odisha,Mayurbhanj,Biju Janata Dal,ramachandrahansdah,,,#000000,,1053399,1,,393779,2014,,,,,
Odisha,Balasore,Biju Janata Dal,rabindrakumarjena,,,#000000,,1049450,1,,433768,2014,,,,,
Odisha,Bhadrak,Biju Janata Dal,arjuncharansethi,,,#000000,,1081339,1,,502338,2014,,,,,
Odisha,Jajpur,Biju Janata Dal,ritatarai,,,#000000,,980435,1,,541349,2014,,,,,
Odisha,Dhenkanal,Biju Janata Dal,tathagatasatpathy,,,#000000,,1042101,1,,453277,2014,,,,,
Odisha,Bolangir,Biju Janata Dal,kalikeshnarayansinghdeo,,,#000000,,1170405,1,,453519,2014,,,,,
Odisha,Kalahandi,Biju Janata Dal,arkakesharideo,,,#000000,,1117536,1,,370871,2014,,,,,
Odisha,Nabarangpur,Biju Janata Dal,balabhadramajhi,,,#000000,,1022172,1,,373887,2014,,,,,
Odisha,Kandhamal,Biju Janata Dal,hemendrachandrasingh,,,#000000,,839415,1,,421458,2014,,,,,
Odisha,Cuttack,Biju Janata Dal,bhartruharimahatab,,,#000000,,978604,1,,526085,2014,,,,,
Odisha,Kendrapara,Biju Janata Dal,baijayantpanda,,,#000000,,1140999,1,,601574,2014,,,,,
Odisha,Jagatsinghpur,Biju Janata Dal,kulamanisamal,,,#000000,,1131932,1,,624492,2014,,,,,
Odisha,Puri,Biju Janata Dal,pinakimisra,,,#000000,,1039389,1,,523161,2014,,,,,
Odisha,Bhubaneswar,Biju Janata Dal,prasannakumarpatasani,,,#000000,,891822,1,,439252,2014,,,,,
Odisha,Aska,Biju Janata Dal,ladukishoreswain,,,#000000,,896281,1,,541473,2014,,,,,
Odisha,Berhampur,Biju Janata Dal,sidhantmohapatra,,,#000000,,905362,1,,398107,2014,,,,,
Odisha,Koraput,Biju Janata Dal,jhinahikaka,,,#000000,,989444,1,,395109,2014,,,,,
Rajasthan,Alwar,Bharatiya Janata Party,chandnath,58,GEN,#FB7B0D,,1062305,1,,642278,2014,24-04-2014,Graduate,Male,199653,0
Rajasthan,Dausa,Bharatiya Janata Party,harishchandrameena,59,GEN,#FB7B0D,,930492,1,,315059,2014,24-04-2014,Graduate,Male,60394789,0
Rajasthan,Chittorgarh,Bharatiya Janata Party,chandraprakashjoshi,38,GEN,#FB7B0D,,1172629,1,,703236,2014,17-04-2014,Graduate,Male,14134693,0
Rajasthan,Bhilwara,Bharatiya Janata Party,subhashbaheria,57,GEN,#FB7B0D,,1104090,1,,630317,2014,17-04-2014,Graduate,Male,142870042,0
