age,category,color,electors,name,party,pc,polled_votes,rank,sex,state,votes,year
,,#999,,CHARANJEET SINGH RORI,Indian National Lok Dal,SIRSA,1279105,1,,Haryana,506370,2014
,,#999,,DUSHYANT CHAUTALA,Indian National Lok Dal,HISAR,1155914,1,,Haryana,494478,2014
,,#FB7B0D,,ASHWINI KUMAR,Bharatiya Janata Party,KARNAL,1193500,1,,Haryana,594817,2014
,,#FB7B0D,,RAMESH CHANDER,Bharatiya Janata Party,SONIPAT,985637,1,,Haryana,347203,2014
,,#019733,,DEEPENDER SINGH HOODA,Indian National Congress,ROHTAK,1044331,1,,Haryana,490063,2014
,,#FB7B0D,,DHARAMBIR S/O BHALE RAM,Bharatiya Janata Party,BHIWANI-MAHENDRAGARH,1030431,1,,Haryana,404542,2014
,,#FB7B0D,,INDERJIT SINGH RAO,Bharatiya Janata Party,GURGAON,1320619,1,,Haryana,644780,2014
,,#FB7B0D,,KRISHAN PAL,Bharatiya Janata Party,FARIDABAD,1130726,1,,Haryana,652516,2014
,,#FB7B0D,,SHANTA KUMAR,Bharatiya Janata Party,KANGRA,799445,1,,Himachal Pradesh,456163,2014
,,#FB7B0D,,RAM SWAROOP SHARMA,Bharatiya Janata Party,MANDI,726094,1,,Himachal Pradesh,362824,2014
,,#FB7B0D,,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,HAMIRPUR,1810445,1,,Uttar Pradesh,453884,2014
,,#FB7B0D,,VIRENDER KASHYAP,Bharatiya Janata Party,SHIMLA,737757,1,,Himachal Pradesh,385973,2014
,,#999,,MUZAFFAR HUSSAIN BAIG,Jammu & Kashmir Peoples Democratic Party,BARAMULLA,465992,1,,Jammu & Kashmir,175277,2014
,,#999,,TARIQ HAMEED KARRA,Jammu & Kashmir Peoples Democratic Party,SRINAGAR,312212,1,,Jammu & Kashmir,157923,2014
,,#999,,MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,ANANTNAG,375279,1,,Jammu & Kashmir,200429,2014
,,#FB7B0D,,THUPSTAN CHHEWANG,Bharatiya Janata Party,LADAKH,118029,1,,Jammu & Kashmir,31111,2014
,,#FB7B0D,,DR. JITENDRA SINGH,Bharatiya Janata Party,UDHAMPUR,1041758,1,,Jammu & Kashmir,487369,2014
,,#FB7B0D,,JUGAL KISHORE,Bharatiya Janata Party,JAMMU,1253593,1,,Jammu & Kashmir,619995,2014
,,#019733,,PRAKASH BABANNA HUKKERI,Indian National Congress,CHIKKODI,1071103,1,,Karnataka,474373,2014
,,#FB7B0D,,ANGADI SURESH CHANNABASAPPA,Bharatiya Janata Party,BELGAUM,1078547,1,,Karnataka,554417,2014
,,#FB7B0D,,GADDIGOUDAR PARVTAGOUDA CHANDANAGOUDA,Bharatiya Janata Party,BAGALKOT,1079310,1,,Karnataka,571548,2014
,,#FB7B0D,,RAMESH JIGAJINAGI,Bharatiya Janata Party,BIJAPUR,966757,1,,Karnataka,471757,2014
,,#019733,,MALLIKARJUN KHARGE,Indian National Congress,GULBARGA,997638,1,,Karnataka,507193,2014
,,#019733,,B.V.NAYAK,Indian National Congress,RAICHUR,968889,1,,Karnataka,443659,2014
,,#FB7B0D,,BHAGWANTH KHUBA,Bharatiya Janata Party,BIDAR,959384,1,,Karnataka,459290,2014
,,#FB7B0D,,KARADI SANGANNA AMARAPPA,Bharatiya Janata Party,KOPPAL,1006508,1,,Karnataka,486383,2014
,,#FB7B0D,,B. SREERAMULU,Bharatiya Janata Party,BELLARY,1045772,1,,Karnataka,534406,2014
,,#FB7B0D,,UDASI SHIVAKUMAR CHANNABASAPPA,Bharatiya Janata Party,HAVERI,1115968,1,,Karnataka,566790,2014
,,#FB7B0D,,PRALHAD JOSHI,Bharatiya Janata Party,DHARWAD,1041226,1,,Karnataka,545395,2014
,,#FB7B0D,,ANANTKUMAR HEGDE,Bharatiya Janata Party,UTTARA KANNADA,1001038,1,,Karnataka,546939,2014
,,#FB7B0D,,G M SIDDESHWARA,Bharatiya Janata Party,DAVANAGERE,1114868,1,,Karnataka,518894,2014
,,#FB7B0D,,B. S. YEDDYURAPPA,Bharatiya Janata Party,SHIMOGA,1129008,1,,Karnataka,606216,2014
,,#FB7B0D,,SHOBHA KARANDLAJE,Bharatiya Janata Party,UDUPI CHIKMAGALUR,1034108,1,,Karnataka,581168,2014
,,#8064a2,,H.D. DEVEGOWDA,Janata Dal  (Secular),HASSAN,1147172,1,,Karnataka,509841,2014
,,#FB7B0D,,NALIN KUMAR KATEEL,Bharatiya Janata Party,DAKSHINA KANNADA,1207474,1,,Karnataka,642739,2014
,,#019733,,B.N.CHANDRAPPA,Indian National Congress,CHITRADURGA,1096499,1,,Karnataka,467511,2014
,,#019733,,MUDDAHANUMEGOWDA.S.P.,Indian National Congress,TUMKUR,1101484,1,,Karnataka,429868,2014
,,#8064a2,,C.S.PUTTARAJU,Janata Dal  (Secular),MANDYA,1192638,1,,Karnataka,524370,2014
,,#FB7B0D,,PRATHAP SIMHA,Bharatiya Janata Party,MYSORE,1159594,1,,Karnataka,503908,2014
,,#019733,,R. DHRUVANARAYANA,Indian National Congress,CHAMARAJANAGAR,1133029,1,,Karnataka,567782,2014
,,#019733,,D K SURESH,Indian National Congress,BANGALORE RURAL,1455244,1,,Karnataka,652723,2014
,,#FB7B0D,,D.V SADANANDA GOWDA,Bharatiya Janata Party,BANGALORE NORTH,1356718,1,,Karnataka,718326,2014
,,#FB7B0D,,P.C. MOHAN,Bharatiya Janata Party,BANGALORE CENTRAL,1074589,1,,Karnataka,557130,2014
,,#FB7B0D,,ANANTH KUMAR,Bharatiya Janata Party,BANGALORE SOUTH,1113726,1,,Karnataka,633816,2014
,,#019733,,M VEERAPPA MOILY,Indian National Congress,CHIKKBALLAPUR,1263274,1,,Karnataka,424800,2014
,,#019733,,K.H.MUNIYAPPA,Indian National Congress,KOLAR,1127323,1,,Karnataka,418926,2014
,,#DE0000,,P KARUNAKARAN,Communist Party of India  (Marxist),KASARAGOD,974215,1,,Kerala,384964,2014
,,#DE0000,,P K SREEMATHI TEACHER,Communist Party of India  (Marxist),KANNUR,947117,1,,Kerala,427622,2014
,,#019733,,MULLAPPALLY RAMACHANDRAN,Indian National Congress,VADAKARA,959342,1,,Kerala,416479,2014
,,#019733,,M I SHANAVAS,Indian National Congress,WAYANAD,915006,1,,Kerala,377035,2014
,,#019733,,M .K RAGHAVAN,Indian National Congress,KOZHIKODE,943009,1,,Kerala,397615,2014
,,#999,,E. AHAMED,Indian Union Muslim League,MALAPPURAM,853467,1,,Kerala,437723,2014
,,#999,,E. T. MOHAMMED BASHEER,Indian Union Muslim League,PONNANI,871592,1,,Kerala,378503,2014
,,#DE0000,,M B RAJESH,Communist Party of India  (Marxist),PALAKKAD,910322,1,,Kerala,412897,2014
,,#DE0000,,P.K.BIJU,Communist Party of India  (Marxist),ALATHUR,927228,1,,Kerala,411808,2014
,,#DE0000,,C. N. JAYADEVAN,Communist Party of India,THRISSUR,920505,1,,Kerala,389209,2014
,,#95b3d7,,INNOCENT,Independent,CHALAKUDY,884033,1,,Kerala,358440,2014
,,#019733,,PROF. K.V. THOMAS,Indian National Congress,ERNAKULAM,850834,1,,Kerala,353841,2014
,,#95b3d7,,ADV.JOICE GEORGE,Independent,IDUKKI,819766,1,,Kerala,382019,2014
,,#999,,JOSE K. MANI,Kerala Congress  (M),KOTTAYAM,831636,1,,Kerala,424194,2014
,,#019733,,K C VENUGOPAL,Indian National Congress,ALAPPUZHA,997464,1,,Kerala,462525,2014
,,#019733,,KODIKUNNIL SURESH,Indian National Congress,MAVELIKKARA,889060,1,,Kerala,402432,2014
,,#019733,,ANTO ANTONY,Indian National Congress,PATHANAMTHITTA,869452,1,,Kerala,358842,2014
,,#999,,N.K.PREMACHANDRAN,Revolutionary Socialist Party,KOLLAM,879056,1,,Kerala,408528,2014
,,#DE0000,,DR.A .SAMPATH,Communist Party of India  (Marxist),ATTINGAL,859350,1,,Kerala,392478,2014
,,#019733,,DR. SHASHI THAROOR,Indian National Congress,THIRUVANANTHAPURAM,873439,1,,Kerala,297806,2014
,,#FB7B0D,,ANOOP MISHRA,Bharatiya Janata Party,MORENA,854279,1,,Madhya Pradesh,375567,2014
,,#FB7B0D,,DR. BHAGIRATH PRASAD,Bharatiya Janata Party,BHIND,729084,1,,Madhya Pradesh,404474,2014
,,#FB7B0D,,NARENDRA SINGH TOMAR,Bharatiya Janata Party,GWALIOR,990912,1,,Madhya Pradesh,442796,2014
,,#019733,,JYOTIRADITYA M SCINDIA,Indian National Congress,GUNA,976629,1,,Madhya Pradesh,517036,2014
,,#FB7B0D,,LAXMI NARAYAN YADAV,Bharatiya Janata Party,SAGAR,891929,1,,Madhya Pradesh,482580,2014
,,#FB7B0D,,DR. VIRENDRA KUMAR,Bharatiya Janata Party,TIKAMGARH,766321,1,,Madhya Pradesh,422979,2014
,,#FB7B0D,,PRAHALAD SINGH PATEL,Bharatiya Janata Party,DAMOH,912080,1,,Madhya Pradesh,513079,2014
,,#FB7B0D,,NAGENDRA SINGH,Bharatiya Janata Party,KHAJURAHO,874477,1,,Madhya Pradesh,474966,2014
,,#FB7B0D,,GANESH SINGH,Bharatiya Janata Party,SATNA,913444,1,,Madhya Pradesh,375288,2014
,,#FB7B0D,,JANARDAN MISHRA,Bharatiya Janata Party,REWA,830002,1,,Madhya Pradesh,383320,2014
,,#FB7B0D,,RITI PATHAK,Bharatiya Janata Party,SIDHI,989396,1,,Madhya Pradesh,475678,2014
,,#FB7B0D,,DALPAT SINGH PARASTE,Bharatiya Janata Party,SHAHDOL,968518,1,,Madhya Pradesh,525419,2014
,,#FB7B0D,,RAKESH SINGH,Bharatiya Janata Party,JABALPUR,1002184,1,,Madhya Pradesh,564609,2014
,,#FB7B0D,,FAGGAN SINGH KULASTE,Bharatiya Janata Party,MANDLA,1218518,1,,Madhya Pradesh,585720,2014
,,#FB7B0D,,BODHSINGH BHAGAT,Bharatiya Janata Party,BALAGHAT,1113364,1,,Madhya Pradesh,480594,2014
,,#019733,,KAMAL NATH,Indian National Congress,CHHINDWARA,1107498,1,,Madhya Pradesh,559755,2014
,,#FB7B0D,,UDAY PRATAP SINGH,Bharatiya Janata Party,HOSHANGABAD,1031175,1,,Madhya Pradesh,669128,2014
,,#FB7B0D,,SUSHMA SWARAJ,Bharatiya Janata Party,VIDISHA,1073473,1,,Madhya Pradesh,714348,2014
,,#FB7B0D,,ALOK SANJAR,Bharatiya Janata Party,BHOPAL,1130182,1,,Madhya Pradesh,714178,2014
,,#FB7B0D,,RODMAL NAGAR,Bharatiya Janata Party,RAJGARH,1010724,1,,Madhya Pradesh,596727,2014
,,#FB7B0D,,MANOHAR UNTWAL,Bharatiya Janata Party,DEWAS,1143968,1,,Madhya Pradesh,665646,2014
,,#FB7B0D,,PROF. CHINTAMANI MALVIYA,Bharatiya Janata Party,UJJAIN,1016405,1,,Madhya Pradesh,641101,2014
