constituency,pc,condition
Pune,Pune,TRUE
Puri,Puri,TRUE
Purnia,Purnia,TRUE
Purulia,Purulia,TRUE
Purvi Champaran,Purvi Champaran,TRUE
Rae Bareli,Rae Bareli,TRUE
Raichur,Raichur,TRUE
Raigad,Raigad,TRUE
Raiganj,Raiganj,TRUE
Raigarh,Raigarh,TRUE
Raipur,Raipur,TRUE
Rajahmundry,Rajahmundry,TRUE
Rajampet,Rajampet,TRUE
Rajgarh,Rajgarh,TRUE
Rajkot,Rajkot,TRUE
Rajmahal,Rajmahal,TRUE
Rajnandgaon,Rajnandgaon,TRUE
Rajsamand,Rajsamand,TRUE
Ramanathapuram,Ramanathapuram,TRUE
Rampur,Rampur,TRUE
Ramtek,Ramtek,TRUE
Ranaghat,Ranaghat,TRUE
Ranchi,Ranchi,TRUE
Ratlam,Ratlam,TRUE
Ratnagiri Sindhudurg,Ratnagiri - Sindhudurg,FALSE
Raver,Raver,TRUE
Rewa,Rewa,TRUE
Robertsganj,Robertsganj,TRUE
Rohtak,Rohtak,TRUE
Sabarkantha,Sabarkantha,TRUE
Sagar,Sagar,TRUE
Saharanpur,Saharanpur,TRUE
Salem,Salem,TRUE
Salempur,Salempur,TRUE
Samastipur,Samastipur (Sc),FALSE
Sambalpur,Sambalpur,TRUE
Sambhal,Sambhal,TRUE
Sangli,Sangli,TRUE
Sangrur,Sangrur,TRUE
Sant Kabir Nagar,Sant Kabir Nagar,TRUE
Saran,Saran,TRUE
Sasaram,Sasaram (Sc),FALSE
Satara,Satara,TRUE
Satna,Satna,TRUE
Secunderabad,Secundrabad,FALSE
Shahdol,Shahdol,TRUE
Shahjahanpur,Shahjahanpur,TRUE
Sheohar,Sheohar,TRUE
Shillong,Shillong,TRUE
Shimla,Shimla,TRUE
Shimoga,Shimoga,TRUE
Shirdi,Shirdi,TRUE
Shirur,Shirur,TRUE
Shrawasti,Shrawasti,TRUE
Sidhi,Sidhi,TRUE
Sikar,Sikar,TRUE
Sikkim,Sikkim,TRUE
Silchar,Silchar,TRUE
Singhbhum,Singhbhum,TRUE
Sirsa,Sirsa,TRUE
Sitamarhi,Sitamarhi,TRUE
Sitapur,Sitapur,TRUE
Sivaganga,Sivaganga,TRUE
Siwan,Siwan,TRUE
Solapur,Solapur,TRUE
Sonipat,Sonipat,TRUE
South Delhi,South Delhi,TRUE
South Goa,South Goa,TRUE
Sreerampur,Srerampur,FALSE
Srikakulam,Srikakulam,TRUE
Srinagar,Srinagar,TRUE
Sriperumbudur,Sriperumbudur,TRUE
Sultanpur,Sultanpur,TRUE
Sundargarh,Sundargarh,TRUE
Supaul,Supaul,TRUE
Surat,Surat,TRUE
Surendranagar,Surendranagar,TRUE
Surguja,Sarguja,FALSE
Tamluk,Tamluk,TRUE
Tehri Garhwal,Tehri Garhwal,TRUE
Tenkasi,Tenkasi,TRUE
Tezpur,Tezpur,TRUE
Thane,Thane,TRUE
Thanjavur,Thanjavur,TRUE
Theni,Theni,TRUE
Thiruvananthapuram,Thiruvananthapuram,TRUE
Thoothukkudi,Thoothukkudi,TRUE
Thrissur,Thrissur,TRUE
Tikamgarh,Tikamgarh,TRUE
Tiruchirappalli,Tiruchirappalli,TRUE
