name,state,pc,party,age,category,color,electors,polled_votes,rank,sex,votes,year,poll_date,education,gender,assets,criminal_cases
csputtaraju,Karnataka,Mandya,Janata Dal  (Secular),50,GEN,#8064a2,,1192638,1,,524370,2014,17-04-2014,12th,Male,45209196,0
prathapsimha,Karnataka,Mysore,Bharatiya Janata Party,37,GEN,#FB7B0D,,1159594,1,,503908,2014,17-04-2014,Post Graduate,Male,6321591,0
rdhruvanarayana,Karnataka,Chamarajanagar,Indian National Congress,53,GEN,#019733,,1133029,1,,567782,2014,17-04-2014,Graduate,Male,31519950,0
dksuresh,Karnataka,Bangalore Rural,Indian National Congress,47,GEN,#019733,,1455244,1,,652723,2014,17-04-2014,12th,Male,858713138,7
dvsadanandagowda,Karnataka,Bangalore North,Bharatiya Janata Party,61,GEN,#FB7B0D,,1356718,1,,718326,2014,17-04-2014,Graduate Professional,Male,98888874,0
pcmohan,Karnataka,Bangalore Central,Bharatiya Janata Party,50,GEN,#FB7B0D,,1074589,1,,557130,2014,17-04-2014,12th,Male,475796999,2
ananthkumar,Karnataka,Bangalore South,Bharatiya Janata Party,54,GEN,#FB7B0D,,1113726,1,,633816,2014,17-04-2014,Graduate Professional,Male,45224706,0
mveerappamoily,Karnataka,Chikkballapur,Indian National Congress,74,GEN,#019733,,1263274,1,,424800,2014,17-04-2014,Graduate Professional,Male,137366682,0
khmuniyappa,Karnataka,Kolar,Indian National Congress,67,GEN,#019733,,1127323,1,,418926,2014,17-04-2014,Graduate Professional,Male,184663000,0
pkarunakaran,Kerala,Kasaragod,Communist Party of India  (Marxist),69,GEN,#DE0000,,974215,1,,384964,2014,10-04-2014,Post Graduate,Male,5900345,6
pksreemathiteacher,Kerala,Kannur,Communist Party of India  (Marxist),,,#DE0000,,947117,1,,427622,2014,,,,,
mullappallyramachandran,Kerala,Vadakara,Indian National Congress,67,GEN,#019733,,959342,1,,416479,2014,10-04-2014,Post Graduate,Male,9225000,0
mishanavas,Kerala,Wayanad,Indian National Congress,62,GEN,#019733,,915006,1,,377035,2014,10-04-2014,Post Graduate,Male,27122055,0
mkraghavan,Kerala,Kozhikode,Indian National Congress,61,GEN,#019733,,943009,1,,397615,2014,10-04-2014,Graduate,Male,6164901,0
