sub_name,pc,party,age,category,color,electors,name,polled_votes,rank,sex,state,votes,year,poll_date,education,gender,assets,criminal_cases
bholasingh,Bulandshahr,Bharatiya Janata Party,,,#FB7B0D,,BHOLA SINGH,1009710,1,,Uttar Pradesh,604449,2014,,,,,
rajeshkumardiwaker,Hathras,Bharatiya Janata Party,,,#FB7B0D,,RAJESH KUMAR DIWAKER,1049273,1,,Uttar Pradesh,544277,2014,,,,,
hemamalini,Mathura,Bharatiya Janata Party,,,#FB7B0D,,HEMA MALINI,1076868,1,,Uttar Pradesh,574633,2014,,,,,
rajveersinghrajubhaiya,Etah,Bharatiya Janata Party,,,#FB7B0D,,RAJVEER SINGH (RAJU BHAIYA),926281,1,,Uttar Pradesh,474978,2014,,,,,
dharmendrayadav,Badaun,Samajwadi Party,,,#B15928,,DHARMENDRA YADAV,1027594,1,,Uttar Pradesh,498378,2014,,,,,
santoshkumargangwar,Bareilly,Bharatiya Janata Party,,,#FB7B0D,,SANTOSH KUMAR GANGWAR,1017891,1,,Uttar Pradesh,518258,2014,,,,,
rajeshverma,Sitapur,Bharatiya Janata Party,,,#FB7B0D,,RAJESH VERMA,1026972,1,,Uttar Pradesh,417546,2014,,,,,
devendrasingh@bholesingh,Akbarpur,Bharatiya Janata Party,,,#FB7B0D,,DEVENDRA SINGH @ BHOLE SINGH,971375,1,,Uttar Pradesh,481584,2014,,,,,
bhanupratapsinghverma,Jalaun,Bharatiya Janata Party,,,#FB7B0D,,BHANU PRATAP SINGH VERMA,1109166,1,,Uttar Pradesh,548631,2014,,,,,
umabharati,Jhansi,Bharatiya Janata Party,,,#FB7B0D,,UMA BHARATI,1320804,1,,Uttar Pradesh,575889,2014,,,,,
niranjanjyoti,Fatehpur,Bharatiya Janata Party,,,#FB7B0D,,NIRANJAN JYOTI,1056688,1,,Uttar Pradesh,485994,2014,,,,,
vinodkumarsonkar,Kaushambi,Bharatiya Janata Party,,,#FB7B0D,,VINOD KUMAR SONKAR,910038,1,,Uttar Pradesh,331593,2014,,,,,
keshavprasadmaurya,Phulpur,Bharatiya Janata Party,,,#FB7B0D,,KESHAV PRASAD MAURYA,960341,1,,Uttar Pradesh,503564,2014,,,,,
hariompandey,Ambedkar Nagar,Bharatiya Janata Party,,,#FB7B0D,,HARI OM PANDEY,1034404,1,,Uttar Pradesh,432104,2014,,,,,
sadhvisavitribaifoole,Bahraich,Bharatiya Janata Party,,,#FB7B0D,,SADHVI SAVITRI BAI FOOLE,934263,1,,Uttar Pradesh,432392,2014,,,,,
harishchandraaliasharishdwivedi,Basti,Bharatiya Janata Party,,,#FB7B0D,,HARISH CHANDRA  ALIAS  HARISH DWIVEDI,1048534,1,,Uttar Pradesh,357680,2014,,,,,
neelamsonkar,Lalganj,Bharatiya Janata Party,,,#FB7B0D,,NEELAM SONKAR,898655,1,,Uttar Pradesh,324016,2014,,,,,
krishnapratap'kp',Jaunpur,Bharatiya Janata Party,,,#FB7B0D,,KRISHNA PRATAP 'K.P.',1007143,1,,Uttar Pradesh,367149,2014,,,,,
drmahendranathpandey,Chandauli,Bharatiya Janata Party,,,#FB7B0D,,DR MAHENDRA NATH PANDEY,980572,1,,Uttar Pradesh,414135,2014,,,,,
ssahluwalia,Darjeeling,Bharatiya Janata Party,,,#FB7B0D,,S.S.AHLUWALIA,1142009,1,,West Bengal,488257,2014,,,,,
abuhasemkhanchowdhury,Maldaha Dakshin,Indian National Congress,,,#019733,,ABU HASEM KHAN CHOWDHURY,1092407,1,,West Bengal,380291,2014,,,,,
drratnadenag,Hooghly,All India Trinamool Congress,,,#0C6965,,DR. RATNA DE (NAG),1348870,1,,West Bengal,614312,2014,,,,,
adhikarisuvendu,Tamluk,All India Trinamool Congress,,,#0C6965,,ADHIKARI SUVENDU,1337684,1,,West Bengal,716928,2014,,,,,
adhikarisisirkumar,Kanthi,All India Trinamool Congress,,,#0C6965,,ADHIKARI SISIR KUMAR,1290811,1,,West Bengal,676749,2014,,,,,
adhikarideepakdev,Ghatal,All India Trinamool Congress,,,#0C6965,,ADHIKARI DEEPAK (DEV),1366709,1,,West Bengal,685696,2014,,,,,
drmrigankamahato,Purulia,All India Trinamool Congress,,,#0C6965,,DR. MRIGANKA MAHATO,1204675,1,,West Bengal,468277,2014,,,,,
khansaumitra,Bishnupur,All India Trinamool Congress,,,#0C6965,,KHAN SAUMITRA,1272070,1,,West Bengal,578870,2014,,,,,
drmamtazsanghamita,Burdwan - Durgapur,All India Trinamool Congress,,,#0C6965,,DR. MAMTAZ SANGHAMITA,1331242,1,,West Bengal,554521,2014,,,,,
babulsupriyabaralbabulsupriyo,Asansol,Bharatiya Janata Party,,,#FB7B0D,,BABUL SUPRIYA BARAL (BABUL SUPRIYO),1142395,1,,West Bengal,419983,2014,,,,,
satabdiroy,Birbhum,All India Trinamool Congress,,,#0C6965,,SATABDI ROY,1275819,1,,West Bengal,460568,2014,,,,,
kamalbhansinghmarabi,Sarguja,Bharatiya Janata Party,,,#FB7B0D,,KAMALBHAN SINGH MARABI,1187321,1,,Chhattisgarh,585336,2014,,,,,
vishnudeosai,Raigarh,Bharatiya Janata Party,,,#FB7B0D,,VISHNU DEO SAI,1246186,1,,Chhattisgarh,662478,2014,,,,,
kamlapatle,Janjgir-Champa,Bharatiya Janata Party,,,#FB7B0D,,KAMLA PATLE,1073347,1,,Chhattisgarh,518909,2014,,,,,
drbanshilalmahto,Korba,Bharatiya Janata Party,,,#FB7B0D,,DR. BANSHILAL MAHTO,1052720,1,,Chhattisgarh,439002,2014,,,,,
lakhanlalsahu,Bilaspur,Bharatiya Janata Party,,,#FB7B0D,,LAKHAN LAL SAHU,1090457,1,,Chhattisgarh,561387,2014,,,,,
tamradhwajsahu,Durg,Indian National Congress,,,#019733,,TAMRADHWAJ SAHU,1258342,1,,Chhattisgarh,570687,2014,,,,,
chandulalsahuchandubhaiya,Mahasamund,Bharatiya Janata Party,,,#FB7B0D,,CHANDU LAL SAHU (CHANDU BHAIYA),1131209,1,,Chhattisgarh,503514,2014,,,,,
vikramdevusendi,Kanker,Bharatiya Janata Party,,,#FB7B0D,,VIKRAM DEV USENDI,1016943,1,,Chhattisgarh,465215,2014,,,,,
ravindrakrray,Kodarma,Bharatiya Janata Party,,,#FB7B0D,,RAVINDRA KR. RAY,1024906,1,,Jharkhand,365410,2014,,,,,
rameshpokhriyalnishank,Hardwar,Bharatiya Janata Party,,,#FB7B0D,,RAMESH POKHRIYAL NISHANK,1175692,1,,Uttarakhand,592320,2014,,,,,
kherkirronanupam,Chandigarh,Bharatiya Janata Party,,,#FB7B0D,,KHER KIRRON ANUPAM,453455,1,,Chandigarh,191362,2014,,,,,
patelnatubhaigomanbhai,Dadar & Nagar Haveli,Bharatiya Janata Party,,,#FB7B0D,,PATEL NATUBHAI GOMANBHAI,165286,1,,Dadra & Nagar Haveli,80790,2014,,,,,
maheishgirri,East Delhi,Bharatiya Janata Party,,,#FB7B0D,,MAHEISH GIRRI,1196336,1,,Nct Of Delhi,572202,2014,,,,,
meenakashilekhi,New Delhi,Bharatiya Janata Party,,,#FB7B0D,,MEENAKASHI LEKHI,969812,1,,Nct Of Delhi,453350,2014,,,,,
parveshsahibsinghverma,West Delhi,Bharatiya Janata Party,,,#FB7B0D,,PARVESH SAHIB SINGH VERMA,1347971,1,,Nct Of Delhi,651395,2014,,,,,
