pc,party,sub_name,age,category,color,electors,name,polled_votes,rank,sex,state,votes,year,poll_date,education,gender,assets,criminal_cases
Dausa,Bharatiya Janata Party,harishchandrameena,59,GEN,#FB7B0D,,HARISH CHANDRA MEENA,930492,1,,Rajasthan,315059,2014,24-04-2014,Graduate,Male,60394789,0
Chittorgarh,Bharatiya Janata Party,chandraprakashjoshi,38,GEN,#FB7B0D,,CHANDRA PRAKASH JOSHI,1172629,1,,Rajasthan,703236,2014,17-04-2014,Graduate,Male,14134693,0
Bhilwara,Bharatiya Janata Party,subhashbaheria,57,GEN,#FB7B0D,,SUBHASH BAHERIA,1104090,1,,Rajasthan,630317,2014,17-04-2014,Graduate,Male,142870042,0
Jhalawar-Baran,Bharatiya Janata Party,dushyantsingh,43,GEN,#FB7B0D,,DUSHYANT SINGH,1146364,1,,Rajasthan,676102,2014,17-04-2014,Post Graduate,Male,239006838,0
Sriperumbudur,All India Anna Dravida Munnetra Kazhagam,ramachandranknthiru,59,GEN,#9DBC2A,,"RAMACHANDRAN, K.N. THIRU",1286647,1,,Tamil Nadu,545820,2014,24-04-2014,Post Graduate,Male,936721057,0
Vellore,All India Anna Dravida Munnetra Kazhagam,senguttuvanb,57,GEN,#9DBC2A,,"SENGUTTUVAN, B.",974770,1,,Tamil Nadu,383719,2014,24-04-2014,Post Graduate,Male,9197355,0
Viluppuram,All India Anna Dravida Munnetra Kazhagam,rajendrans,57,GEN,#9DBC2A,,RAJENDRAN S,1067641,1,,Tamil Nadu,482704,2014,24-04-2014,Graduate,Male,6200000,0
Kallakurichi,All India Anna Dravida Munnetra Kazhagam,kamarajk,48,GEN,#9DBC2A,,KAMARAJ. K,1107241,1,,Tamil Nadu,533383,2014,24-04-2014,Post Graduate,Male,35459256,0
Nilgiris,All India Anna Dravida Munnetra Kazhagam,gopalakrishnanc,52,GEN,#9DBC2A,,"GOPALAKRISHNAN, C.",933076,1,,Tamil Nadu,463700,2014,24-04-2014,Post Graduate,Male,10941189,0
Coimbatore,All India Anna Dravida Munnetra Kazhagam,nagarajanp,52,GEN,#9DBC2A,,"NAGARAJAN, P.",1176620,1,,Tamil Nadu,431717,2014,24-04-2014,Graduate Professional,Male,34306545,0
Tiruchirappalli,All India Anna Dravida Munnetra Kazhagam,kumarp,42,GEN,#9DBC2A,,KUMAR.P,988250,1,,Tamil Nadu,458478,2014,24-04-2014,Graduate Professional,Male,18522597,0
Perambalur,All India Anna Dravida Munnetra Kazhagam,marutharajaarp,51,GEN,#9DBC2A,,"MARUTHARAJAA, R.P.",1030826,1,,Tamil Nadu,462693,2014,24-04-2014,Post Graduate,Male,24570213,0
Cuddalore,All India Anna Dravida Munnetra Kazhagam,arunmozhithevana,45,GEN,#9DBC2A,,ARUNMOZHITHEVAN.A,984538,1,,Tamil Nadu,481429,2014,24-04-2014,Graduate Professional,Male,15765250,9
Chidambaram,All India Anna Dravida Munnetra Kazhagam,chandrakasim,45,GEN,#9DBC2A,,"CHANDRAKASI, M",1088423,1,,Tamil Nadu,429536,2014,24-04-2014,Graduate,Male,7243646,0
Sivaganga,All India Anna Dravida Munnetra Kazhagam,senthilnathanpr,46,GEN,#9DBC2A,,SENTHILNATHAN PR,1027036,1,,Tamil Nadu,475993,2014,24-04-2014,Graduate Professional,Male,49050835,0
Theni,All India Anna Dravida Munnetra Kazhagam,parthipanr,50,GEN,#9DBC2A,,"PARTHIPAN, R.",1075583,1,,Tamil Nadu,571254,2014,24-04-2014,Graduate,Male,22047681,0
Virudhunagar,All India Anna Dravida Munnetra Kazhagam,radhakrishnant,59,GEN,#9DBC2A,,RADHAKRISHNAN T,1010930,1,,Tamil Nadu,406694,2014,24-04-2014,10th,Male,43736485,0
Gautam Buddha Nagar,Bharatiya Janata Party,drmaheshsharma,54,GEN,#FB7B0D,,DR.MAHESH  SHARMA,1199238,1,,Uttar Pradesh,599702,2014,10-04-2014,Graduate Professional,Male,473797545,0
Bulandshahr,Bharatiya Janata Party,bholasingh,38,GEN,#FB7B0D,,BHOLA SINGH,1009710,1,,Uttar Pradesh,604449,2014,10-04-2014,Graduate,Male,12577537,0
Hathras,Bharatiya Janata Party,rajeshkumardiwaker,43,GEN,#FB7B0D,,RAJESH KUMAR DIWAKER,1049273,1,,Uttar Pradesh,544277,2014,24-04-2014,Graduate Professional,Male,5651457,0
Mathura,Bharatiya Janata Party,hemamalini,65,GEN,#FB7B0D,,HEMA MALINI,1076868,1,,Uttar Pradesh,574633,2014,24-04-2014,Doctorate,Female,1782015620,0
Etah,Bharatiya Janata Party,rajveersinghrajubhaiya,53,GEN,#FB7B0D,,RAJVEER SINGH (RAJU BHAIYA),926281,1,,Uttar Pradesh,474978,2014,24-04-2014,Graduate Professional,Male,251921157,0
Badaun,Samajwadi Party,dharmendrayadav,37,GEN,#B15928,,DHARMENDRA YADAV,1027594,1,,Uttar Pradesh,498378,2014,17-04-2014,Post Graduate,Male,24987715,0
Bareilly,Bharatiya Janata Party,santoshkumargangwar,64,GEN,#FB7B0D,,SANTOSH KUMAR GANGWAR,1017891,1,,Uttar Pradesh,518258,2014,17-04-2014,Graduate Professional,Male,38602862,0
Sitapur,Bharatiya Janata Party,rajeshverma,54,GEN,#FB7B0D,,RAJESH VERMA,1026972,1,,Uttar Pradesh,417546,2014,30-04-2014,Post Graduate,Male,41418622,0
Akbarpur,Bharatiya Janata Party,devendrasingh@bholesingh,60,GEN,#FB7B0D,,DEVENDRA SINGH @ BHOLE SINGH,971375,1,,Uttar Pradesh,481584,2014,24-04-2014,10th,Male,28546617,0
Jalaun,Bharatiya Janata Party,bhanupratapsinghverma,55,GEN,#FB7B0D,,BHANU PRATAP SINGH VERMA,1109166,1,,Uttar Pradesh,548631,2014,30-04-2014,Post Graduate,Male,5774068,0
Jhansi,Bharatiya Janata Party,umabharati,55,GEN,#FB7B0D,,UMA BHARATI,1320804,1,,Uttar Pradesh,575889,2014,30-04-2014,5th,Female,14376218,13
Fatehpur,Bharatiya Janata Party,niranjanjyoti,47,GEN,#FB7B0D,,NIRANJAN JYOTI,1056688,1,,Uttar Pradesh,485994,2014,30-04-2014,12th,Female,4123779,1
Kaushambi,Bharatiya Janata Party,vinodkumarsonkar,44,GEN,#FB7B0D,,VINOD KUMAR SONKAR,910038,1,,Uttar Pradesh,331593,2014,07-05-2014,Graduate,Male,27091681,0
Phulpur,Bharatiya Janata Party,keshavprasadmaurya,47,GEN,#FB7B0D,,KESHAV PRASAD MAURYA,960341,1,,Uttar Pradesh,503564,2014,07-05-2014,Graduate,Male,93244143,11
Ambedkar Nagar,Bharatiya Janata Party,hariompandey,58,GEN,#FB7B0D,,HARI OM PANDEY,1034404,1,,Uttar Pradesh,432104,2014,07-05-2014,Post Graduate,Male,15318114,0
Bahraich,Bharatiya Janata Party,sadhvisavitribaifoole,33,GEN,#FB7B0D,,SADHVI SAVITRI BAI FOOLE,934263,1,,Uttar Pradesh,432392,2014,07-05-2014,Graduate,Female,1121491,8
Basti,Bharatiya Janata Party,harishchandraaliasharishdwivedi,40,GEN,#FB7B0D,,HARISH CHANDRA  ALIAS  HARISH DWIVEDI,1048534,1,,Uttar Pradesh,357680,2014,07-05-2014,Post Graduate,Male,5350882,2
Lalganj,Bharatiya Janata Party,neelamsonkar,38,GEN,#FB7B0D,,NEELAM SONKAR,898655,1,,Uttar Pradesh,324016,2014,12-05-2014,Post Graduate,Female,33863562,1
Jaunpur,Bharatiya Janata Party,krishnapratap'kp',37,GEN,#FB7B0D,,KRISHNA PRATAP 'K.P.',1007143,1,,Uttar Pradesh,367149,2014,12-05-2014,Doctorate,Male,40656909,0
Chandauli,Bharatiya Janata Party,drmahendranathpandey,57,GEN,#FB7B0D,,DR MAHENDRA NATH PANDEY,980572,1,,Uttar Pradesh,414135,2014,12-05-2014,Doctorate,Male,26489505,0
Darjeeling,Bharatiya Janata Party,ssahluwalia,63,GEN,#FB7B0D,,S.S.AHLUWALIA,1142009,1,,West Bengal,488257,2014,17-04-2014,Graduate Professional,Male,23377223,0
Maldaha Dakshin,Indian National Congress,abuhasemkhanchowdhury,70,GEN,#019733,,ABU HASEM KHAN CHOWDHURY,1092407,1,,West Bengal,380291,2014,24-04-2014,Doctorate,Male,11560825,0
Hooghly,All India Trinamool Congress,drratnadenag,62,GEN,#0C6965,,DR. RATNA DE (NAG),1348870,1,,West Bengal,614312,2014,30-04-2014,Post Graduate,Female,18617758,0
Tamluk,All India Trinamool Congress,adhikarisuvendu,44,GEN,#0C6965,,ADHIKARI SUVENDU,1337684,1,,West Bengal,716928,2014,12-05-2014,Post Graduate,Male,6480767,2
Kanthi,All India Trinamool Congress,adhikarisisirkumar,74,GEN,#0C6965,,ADHIKARI SISIR KUMAR,1290811,1,,West Bengal,676749,2014,12-05-2014,12th,Male,19498381,1
Ghatal,All India Trinamool Congress,adhikarideepakdev,32,GEN,#0C6965,,ADHIKARI DEEPAK (DEV),1366709,1,,West Bengal,685696,2014,12-05-2014,10th,Male,152447159,0
Purulia,All India Trinamool Congress,drmrigankamahato,51,GEN,#0C6965,,DR. MRIGANKA MAHATO,1204675,1,,West Bengal,468277,2014,07-05-2014,Graduate Professional,Male,8895210,0
Bishnupur,All India Trinamool Congress,khansaumitra,34,GEN,#0C6965,,KHAN SAUMITRA,1272070,1,,West Bengal,578870,2014,07-05-2014,12th,Male,1197255,1
Burdwan - Durgapur,All India Trinamool Congress,drmamtazsanghamita,68,GEN,#0C6965,,DR. MAMTAZ SANGHAMITA,1331242,1,,West Bengal,554521,2014,30-04-2014,Post Graduate,Female,107680000,0
Asansol,Bharatiya Janata Party,babulsupriyabaralbabulsupriyo,44,GEN,#FB7B0D,,BABUL SUPRIYA BARAL (BABUL SUPRIYO),1142395,1,,West Bengal,419983,2014,07-05-2014,Graduate,Male,75289537,0
Birbhum,All India Trinamool Congress,satabdiroy,45,GEN,#0C6965,,SATABDI ROY,1275819,1,,West Bengal,460568,2014,30-04-2014,Graduate,Female,54972174,0
