party,state,constituency,poll_date,name,age,gender,education,category,assets,criminal_cases,color,party_name
BJP,Uttar Pradesh,Pilibhit,17-04-2014,manekasanjaygandhi,57,Female,12th,GEN,374132826,1,#FB7B0D,Bharatiya Janata Party
AAP,Bihar,Darbhanga,30-04-2014,prabhatranjandas,56,Male,Doctorate,GEN,364642463,0,,Aam Aadmi Party
BJP,Maharashtra,Bhiwandi,24-04-2014,kapilmoreshwarpatil,53,Male,Graduate,GEN,363758831,0,#FB7B0D,Bharatiya Janata Party
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Andhra Pradesh,Nellore,07-05-2014,mekapatirajamohanreddy,69,Male,Graduate Professional,GEN,361746068,2,,Yuvajana Sramika Rythu Congress Party
INLD,Haryana,Hisar,10-04-2014,dushyantchautala,26,Male,Graduate,GEN,361326990,0,,Indian National Lok Dal
INC,Haryana,Rohtak,10-04-2014,deependersingh,36,Male,Post Graduate,GEN,358749354,0,#019733,Indian National Congress
BJP,Uttar Pradesh,Sultanpur,07-05-2014,ferozevarungandhi,34,Male,Post Graduate,GEN,357318699,0,#FB7B0D,Bharatiya Janata Party
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Andhra Pradesh,Rajahmundry,07-05-2014,bodduvenkataramanachowdary,39,Male,Post Graduate,GEN,356200864,0,,Yuvajana Sramika Rythu Congress Party
INC,Uttar Pradesh,Aonla,17-04-2014,saleemiqbalshervani,61,Male,Graduate,GEN,353932000,7,#019733,Indian National Congress
BJP,Rajasthan,Pali,17-04-2014,ppchoudhary,60,Male,Graduate Professional,GEN,353503467,0,#FB7B0D,Bharatiya Janata Party
BJP,National Capital Territory Of Delhi,New Delhi,10-04-2014,smtmeenakshilekhi,46,Female,Graduate Professional,GEN,349916470,0,#FB7B0D,Bharatiya Janata Party
INC,Himachal Pradesh,Mandi,07-05-2014,pratibhasingh,57,Female,Graduate,GEN,348210305,0,#019733,Indian National Congress
IND,Mizoram,Mizoram,11-04-2014,robertromawiaroyte,47,Male,Post Graduate,GEN,346499910,0,,Independent
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Andhra Pradesh,Khammam,30-04-2014,ponguletisrinivasareddy,48,Male,12th,GEN,346150516,0,,Yuvajana Sramika Rythu Congress Party
INC,Uttar Pradesh,Sultanpur,07-05-2014,ameetasingh,51,Female,Doctorate,GEN,346033232,0,#019733,Indian National Congress
INC,Maharashtra,Wardha,10-04-2014,meghesagardattatraya,43,Male,Graduate,GEN,340138817,0,#019733,Indian National Congress
IND,Maharashtra,Ahmednagar,17-04-2014,kolsepatilbabangangadhar,73,Male,Graduate Professional,GEN,337159952,3,,Independent
BJP,Chandigarh,Chandigarh,10-04-2014,smtkirronkher,61,Female,Post Graduate,GEN,335343871,0,#FB7B0D,Bharatiya Janata Party
SP,Uttar Pradesh,Aligarh,10-04-2014,zafaralam,69,Male,Graduate Professional,GEN,331958000,0,#B15928,Samajwadi Party
INC,Madhya Pradesh,Guna,17-04-2014,jyotiradityamscindia,43,Male,Post Graduate,GEN,330888751,0,#019733,Indian National Congress
INC,Madhya Pradesh,Tikamgarh,17-04-2014,kamleshkumar,36,Male,Doctorate,GEN,329992919,0,#019733,Indian National Congress
AITC,Assam,Barpeta,24-04-2014,drpervezaliahmed,65,Male,Graduate Professional,GEN,327895738,0,#0C6965,All India Trinamool Congress
