party,constituency,state,poll_date,name,age,gender,education,category,assets,criminal_cases,color,sub_name,constituency_name,party_name
INC,Patiala,Punjab,30-04-2014,Preneet Kaur,69,Female,Graduate,GEN,863564071,0,#019733,preneetkaur,Patiala,Indian National Congress
INC,Bangalore Rural,Karnataka,17-04-2014,Dksuresh,47,Male,12th,GEN,858713138,7,#019733,dksuresh,Bangalore Rural,Indian National Congress
IND,Bangalore Central,Karnataka,17-04-2014,Dhananjaya Hh,42,Male,12th,GEN,809580000,1,,dhananjayahh,Bangalore Central,Independent
JDS,Bangalore Central,Karnataka,17-04-2014,Nandini Alva,52,Female,Graduate,GEN,807875641,3,#8064a2,nandinialva,Bangalore Central,Janata Dal  (Secular)
BJP,Ahmedabad East,Gujarat,30-04-2014,Paresh Dahyalal Rawal,59,Male,12th,GEN,795211576,0,#FB7B0D,pareshdahyalalrawal,Ahmedabad East,Bharatiya Janata Party
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Guntur,Andhra Pradesh,07-05-2014,Balashowry Vallabhaneni,45,Male,Graduate,GEN,794017805,0,,balashowryvallabhaneni,Guntur,Yuvajana Sramika Rythu Congress Party
BJP,Perambalur,Tamil Nadu,24-04-2014,Parivendar Pachamuthu -tr,72,Male,Post Graduate,GEN,776948435,1,#FB7B0D,parivendarpachamuthu-tr,Perambalur,Bharatiya Janata Party
BJP,Navsari,Gujarat,30-04-2014,Patil Chandrakant Raghunath,59,Male,10th,GEN,744761133,7,#FB7B0D,patilchandrakantraghunath,Navsari,Bharatiya Janata Party
INC,Mahabubabad,Andhra Pradesh,30-04-2014,P Balram,49,Male,Post Graduate,GEN,737144941,1,#019733,pbalram,Mahabubabad,Indian National Congress
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Ongole,Andhra Pradesh,07-05-2014,Yarram Venkata Subbareddy,53,Male,Post Graduate,GEN,735451548,0,,yarramvenkatasubbareddy,Ongole,Yuvajana Sramika Rythu Congress Party
BJP,Tonk-Sawai Madhopur,Rajasthan,24-04-2014,Sukhbir Singh Jaunapuria,56,Male,12th,GEN,714124612,0,#FB7B0D,sukhbirsinghjaunapuria,Tonk-Sawai Madhopur,Bharatiya Janata Party
JDS,Tumkur,Karnataka,17-04-2014,Akrishnappa,68,Male,Graduate,GEN,701833242,0,#8064a2,akrishnappa,Tumkur,Janata Dal  (Secular)
INC,Indore,Madhya Pradesh,24-04-2014,Satyanarayan Patel,46,Male,12th,GEN,699196061,0,#019733,satyanarayanpatel,Indore,Indian National Congress
BJP,Karnal,Haryana,10-04-2014,Ashwini Kumar,57,Male,Graduate,GEN,698638135,6,#FB7B0D,ashwinikumar,Karnal,Bharatiya Janata Party
AIUDF,Barpeta,Assam,24-04-2014,Siraj Uddin Ajmal,57,Male,Graduate,GEN,670806607,0,,sirajuddinajmal,Barpeta,All India United Democratic Front
BJP,Gurdaspur,Punjab,30-04-2014,Vinod Khanna,68,Male,Graduate,GEN,669343376,0,#FB7B0D,vinodkhanna,Gurdaspur,Bharatiya Janata Party
INC,Bhongir,Andhra Pradesh,30-04-2014,Komatireddy Rajgopal Reddy,46,Male,Graduate,GEN,667095133,0,#019733,komatireddyrajgopalreddy,Bhongir,Indian National Congress
SHS,Maval,Maharashtra,17-04-2014,Barne Shrirang Chandu,50,Male,8th,GEN,665047926,2,#F05A00,barneshrirangchandu,Maval,Shivsena
BJP,Coimbatore,Tamil Nadu,24-04-2014,Radhakrishnan -cp,56,Male,Graduate,GEN,663198857,0,#FB7B0D,radhakrishnan-cp,Coimbatore,Bharatiya Janata Party
INC,Jalore,Rajasthan,17-04-2014,Anjana Udai Lal,64,Male,12th,GEN,658610000,0,#019733,anjanaudailal,Jalore,Indian National Congress
IND,Visakhapatnam,Andhra Pradesh,07-05-2014,Gedela Krishna Rao,60,Male,Post Graduate,GEN,658118000,0,,gedelakrishnarao,Visakhapatnam,Independent
INC,Mumbai North Central,Maharashtra,24-04-2014,Dutt Priya Sunil,48,Female,Graduate,GEN,655093802,0,#019733,duttpriyasunil,Mumbai North Central,Indian National Congress
INC,Theni,Tamil Nadu,24-04-2014,Aaron Rashid -jm,65,Male,12th,GEN,649632943,0,#019733,aaronrashid-jm,Theni,Indian National Congress
SP,Raiganj,West Bengal,24-04-2014,Sudiip Ranjan Sen,51,Male,Others,GEN,649554210,0,#B15928,sudiipranjansen,Raiganj,Samajwadi Party
INC,Davanagere,Karnataka,17-04-2014,S S Mallikarjun,46,Male,Graduate,GEN,645637999,6,#019733,ssmallikarjun,Davanagere,Indian National Congress
SP,Mumbai North Central,Maharashtra,24-04-2014,Abu Farhan Azmi,33,Male,12th,GEN,637688791,0,#B15928,abufarhanazmi,Mumbai North Central,Samajwadi Party
INC,Unnao,Uttar Pradesh,30-04-2014,Annu Tandon,56,Female,Graduate,GEN,636029024,1,#019733,annutandon,Unnao,Indian National Congress
TDP,Chevella,Andhra Pradesh,30-04-2014,Tulla Veerender,31,Male,Post Graduate,GEN,623975606,0,#4bacc6,tullaveerender,Chelvella,Telugu Desam
INC,Coimbatore,Tamil Nadu,24-04-2014,Prabhu -r,66,Male,Post Graduate,GEN,609497080,0,#019733,prabhu-r,Coimbatore,Indian National Congress
INC,Sivaganga,Tamil Nadu,24-04-2014,Karti P Chidambaram,42,Male,Graduate Professional,GEN,596685048,0,#019733,kartipchidambaram,Sivaganga,Indian National Congress
TDP,Narasaraopet,Andhra Pradesh,07-05-2014,Rayapati Sambasiva Rao,70,Male,Graduate,GEN,595838093,2,#4bacc6,rayapatisambasivarao,Narasaraopet,Telugu Desam
INC,Nagaur,Rajasthan,17-04-2014,Dr Jyoti Mirdha,41,Female,Graduate Professional,GEN,582676804,0,#019733,drjyotimirdha,Nagaur,Indian National Congress
BJP,Haveri,Karnataka,17-04-2014,Udasi Shivakumar Channabasappa,47,Male,Graduate Professional,GEN,576693538,0,#FB7B0D,udasishivakumarchannabasappa,Haveri,Bharatiya Janata Party
INC,Rampur,Uttar Pradesh,17-04-2014,Nawab Kazim Ali Khan,53,Male,Post Graduate,GEN,571146438,0,#019733,nawabkazimalikhan,Rampur,Indian National Congress
INC,Tiruchirappalli,Tamil Nadu,24-04-2014,Sarubala R Thondaiman,55,Female,Post Graduate,GEN,570772432,0,#019733,sarubalarthondaiman,Tiruchirappalli,Indian National Congress
BJD,Balasore,Orissa,17-04-2014,Rabindra Kumar Jena,46,Male,Post Graduate,GEN,570139716,0,#000000,rabindrakumarjena,Balasore,Biju Janata Dal
BJP,Hazaribagh,Jharkhand,17-04-2014,Jayant Sinha,50,Male,Post Graduate,GEN,556754579,0,#FB7B0D,jayantsinha,Hazaribagh,Bharatiya Janata Party
INC,Ujjain,Madhya Pradesh,24-04-2014,Premchand Guddu,46,Male,10th,GEN,535213275,3,#019733,premchandguddu,Ujjain,Indian National Congress
IND,Mumbai South Central,Maharashtra,24-04-2014,Shinde Sarjerao Mahadev,58,Male,Post Graduate,GEN,535181794,0,,shindesarjeraomahadev,Mumbai South Central,Independent
IND,Hamirpur,Himachal Pradesh,07-05-2014,Dev Raj Bhardwaj,61,Male,Others,GEN,512130100,0,,devrajbhardwaj,Hamirpur,Independent
AAP,Mumbai South,Maharashtra,24-04-2014,Meera Ashish Sanyal,52,Female,Post Graduate,GEN,509461553,0,,meeraashishsanyal,Mumbai   South,Aam Aadmi Party
BJP,Bangalore Rural,Karnataka,17-04-2014,P Muniraju,35,Male,12th,GEN,505854419,0,#FB7B0D,pmuniraju,Bangalore Rural,Bharatiya Janata Party
INC,Dhule,Maharashtra,24-04-2014,Amrishbhai Rasiklal Patel,62,Male,8th,GEN,504197656,21,#019733,amrishbhairasiklalpatel,Dhule,Indian National Congress
BJD,Kandhamal,Orissa,10-04-2014,Hemendra Chandra Singh,46,Male,Graduate,GEN,503907437,2,#000000,hemendrachandrasingh,Kandhamal,Biju Janata Dal
INC,Bagalkot,Karnataka,17-04-2014,Ajaykumar Sarnaik,57,Male,Graduate,GEN,501321313,0,#019733,ajaykumarsarnaik,Bagalkot,Indian National Congress
IND,Bhiwandi,Maharashtra,24-04-2014,Navid Hasan Momin,36,Male,Graduate,GEN,500157500,1,,navidhasanmomin,Bhiwandi,Independent
TDP,Kadapa,Andhra Pradesh,07-05-2014,Srinivasa Reddy Reddeppagari,46,Male,12th,GEN,497543411,0,#4bacc6,srinivasareddyreddeppagari,Kadapa,Telugu Desam
INC,Shillong,Meghalaya,09-04-2014,Vincent H Pala,46,Male,Graduate Professional,GEN,497108058,0,#019733,vincenthpala,Shillong,Indian National Congress
INC,Mumbai North West,Maharashtra,24-04-2014,Kamat Gurudas Vasant,59,Male,Graduate Professional,GEN,488871453,0,#019733,kamatgurudasvasant,Mumbai North West,Indian National Congress
TDP,Malkajgiri,Andhra Pradesh,30-04-2014,Chmalla Reddy,56,Male,12th,GEN,488525332,0,#4bacc6,chmallareddy,Malkajgiri,Telugu Desam
BJP,Bangalore Central,Karnataka,17-04-2014,Pc Mohan,50,Male,12th,GEN,475796999,2,#FB7B0D,pcmohan,Bangalore Central,Bharatiya Janata Party
BJP,Chikkballapur,Karnataka,17-04-2014,Bn Bachhegouda,72,Male,Graduate Professional,GEN,475228512,0,#FB7B0D,bnbachhegouda,Chikkballapur,Bharatiya Janata Party
BJP,Gautam Budhha Nagar,Uttar Pradesh,10-04-2014,Mahesh Sharma,54,Male,Graduate Professional,GEN,473797545,0,#FB7B0D,maheshsharma,Gautam Buddha Nagar,Bharatiya Janata Party
BJP,Allahabad,Uttar Pradesh,07-05-2014,Shyama Charan Gupta,69,Male,Graduate Professional,GEN,472851707,0,#FB7B0D,shyamacharangupta,Allahabad,Bharatiya Janata Party
INC,Ongole,Andhra Pradesh,07-05-2014,Darisi Veera Venkata Pavan Kumar Darisi Pavana Kumar,52,Male,Graduate Professional,GEN,464329120,0,#019733,darisiveeravenkatapavankumardarisipavanakumar,Ongole,Indian National Congress
NCP,Kolhapur,Maharashtra,17-04-2014,Dhananjay Bhimrao Mahadik,42,Male,Graduate,GEN,448882000,1,,dhananjaybhimraomahadik,Kolhapur,Nationalist Congress Party
AIUDF,Dhubri,Assam,24-04-2014,Badruddin Ajmal,50,Male,Others,GEN,432748134,1,,badruddinajmal,Dhubri,All India United Democratic Front
INC,Jabalpur,Madhya Pradesh,10-04-2014,Vivekkrishna Tankha,58,Male,Graduate Professional,GEN,423720471,0,#019733,vivekkrishnatankha,Jabalpur,Indian National Congress
JMM,Jamui,Bihar,10-04-2014,Upendra Ravidas,35,Male,10th,GEN,421280000,0,,upendraravidas,Jamui (Sc),Jharkhand Mukti Morcha
INC,Bathinda,Punjab,30-04-2014,Manpreet Singh Badal So Gurdas Singh,52,Male,Graduate Professional,GEN,421140137,0,#019733,manpreetsinghbadalsogurdassingh,Bathinda,Indian National Congress
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Hindupur,Andhra Pradesh,07-05-2014,Duddukunta Sreedhar Reddy,43,Male,Graduate,GEN,420913035,0,,duddukuntasreedharreddy,Hindupur,Yuvajana Sramika Rythu Congress Party
BJP,Belgaum,Karnataka,17-04-2014,Suresh Angadi,58,Male,Graduate Professional,GEN,417003065,1,#FB7B0D,sureshangadi,Belgaum,Bharatiya Janata Party
INC,Hazaribagh,Jharkhand,17-04-2014,Saurabh Narain Singh,39,Male,Post Graduate,GEN,415506982,2,#019733,saurabhnarainsingh,Hazaribagh,Indian National Congress
INC,Dadra Nagar Haveli,Dadra Nagar Haveli,30-04-2014,Delkar Mohanbhai Sanjibhai,51,Male,Graduate,GEN,414613478,0,#019733,delkarmohanbhaisanjibhai,Dadar & Nagar Haveli,Indian National Congress
SP,Jaipur Rural,Rajasthan,17-04-2014,Dhiraj Gurjar,35,Male,Post Graduate,GEN,413290807,0,#B15928,dhirajgurjar,Jaipur Rural,Samajwadi Party
INC,Mumbai South,Maharashtra,24-04-2014,Deora Milind Murli,38,Male,Graduate,GEN,408001069,0,#019733,deoramilindmurli,Mumbai   South,Indian National Congress
INC,Nanded,Maharashtra,17-04-2014,Shri Chavan Ashokrao Shankarrao,55,Male,Post Graduate,GEN,388758910,0,#019733,shrichavanashokraoshankarrao,Nanded,Indian National Congress
INC,West Delhi,National Capital Territory Of Delhi,10-04-2014,Mahabal Mishra,59,Male,12th,GEN,388226286,1,#019733,mahabalmishra,West Delhi,Indian National Congress
AITC,Giridih,Jharkhand,17-04-2014,Aasutosh Verma,52,Male,Graduate Professional,GEN,384828136,0,#0C6965,aasutoshverma,Giridih,All India Trinamool Congress
INC,Sasaram,Bihar,10-04-2014,Meira Kumar,68,Female,Post Graduate,GEN,384751309,0,#019733,meirakumar,Sasaram (Sc),Indian National Congress
APNA DAL,Pratapgarh,Uttar Pradesh,07-05-2014,Kuwar Harivansh Singh,64,Male,Graduate,GEN,383137665,5,,kuwarharivanshsingh,Pratapgarh,Apna Dal
BJP,Beed,Maharashtra,17-04-2014,Munde Gopinathrao Pandurang,66,Male,Graduate Professional,GEN,380072890,3,#FB7B0D,mundegopinathraopandurang,Beed,Bharatiya Janata Party
BJP,Pilibhit,Uttar Pradesh,17-04-2014,Maneka Sanjay Gandhi,57,Female,12th,GEN,374132826,1,#FB7B0D,manekasanjaygandhi,Pilibhit,Bharatiya Janata Party
AAP,Darbhanga,Bihar,30-04-2014,Prabhat Ranjan Das,56,Male,Doctorate,GEN,364642463,0,,prabhatranjandas,Darbhanga,Aam Aadmi Party
BJP,Bhiwandi,Maharashtra,24-04-2014,Kapil Moreshwar Patil,53,Male,Graduate,GEN,363758831,0,#FB7B0D,kapilmoreshwarpatil,Bhiwandi,Bharatiya Janata Party
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Nellore,Andhra Pradesh,07-05-2014,Mekapati Rajamohan Reddy,69,Male,Graduate Professional,GEN,361746068,2,,mekapatirajamohanreddy,Nellore,Yuvajana Sramika Rythu Congress Party
INLD,Hisar,Haryana,10-04-2014,Dushyant Chautala,26,Male,Graduate,GEN,361326990,0,,dushyantchautala,Hisar,Indian National Lok Dal
INC,Rohtak,Haryana,10-04-2014,Deepender Singh,36,Male,Post Graduate,GEN,358749354,0,#019733,deependersingh,Rohtak,Indian National Congress
BJP,Sultanpur,Uttar Pradesh,07-05-2014,Feroze Varun Gandhi,34,Male,Post Graduate,GEN,357318699,0,#FB7B0D,ferozevarungandhi,Sultanpur,Bharatiya Janata Party
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Rajahmundry,Andhra Pradesh,07-05-2014,Boddu Venkata Ramana Chowdary,39,Male,Post Graduate,GEN,356200864,0,,bodduvenkataramanachowdary,Rajahmundry,Yuvajana Sramika Rythu Congress Party
INC,Aonla,Uttar Pradesh,17-04-2014,Saleem Iqbal Shervani,61,Male,Graduate,GEN,353932000,7,#019733,saleemiqbalshervani,Aonla,Indian National Congress
BJP,Pali,Rajasthan,17-04-2014,P P Choudhary,60,Male,Graduate Professional,GEN,353503467,0,#FB7B0D,ppchoudhary,Pali,Bharatiya Janata Party
BJP,New Delhi,National Capital Territory Of Delhi,10-04-2014,Smt Meenakshi Lekhi,46,Female,Graduate Professional,GEN,349916470,0,#FB7B0D,smtmeenakshilekhi,New Delhi,Bharatiya Janata Party
INC,Mandi,Himachal Pradesh,07-05-2014,Pratibha Singh,57,Female,Graduate,GEN,348210305,0,#019733,pratibhasingh,Mandi,Indian National Congress
IND,Mizoram,Mizoram,11-04-2014,Robert Romawia Royte,47,Male,Post Graduate,GEN,346499910,0,,robertromawiaroyte,Mizoram,Independent
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Khammam,Andhra Pradesh,30-04-2014,Ponguleti Srinivasa Reddy,48,Male,12th,GEN,346150516,0,,ponguletisrinivasareddy,Khammam,Yuvajana Sramika Rythu Congress Party
INC,Sultanpur,Uttar Pradesh,07-05-2014,Ameeta Singh,51,Female,Doctorate,GEN,346033232,0,#019733,ameetasingh,Sultanpur,Indian National Congress
