party,state,constituency,poll_date,name,age,gender,education,category,assets,criminal_cases,color,party_name
IND,Punjab,Fatehgarh Sahib,30-04-2014,paramjitsingh,50,Male,10th,GEN,532000,0,,Independent
IND,Tamil Nadu,Vellore,24-04-2014,abdulrahman-n,47,Male,10th,GEN,530000,0,,Independent
IND,West Bengal,Maldaha Dakshin,24-04-2014,nareshrishi,61,Male,12th,GEN,528000,0,,Independent
IND,Maharashtra,Sangli,17-04-2014,ashokdnanumanebhau,40,Male,12th,GEN,527584,0,,Independent
IND,Uttar Pradesh,Agra,24-04-2014,dineshkumargautam,41,Male,12th,GEN,526770,2,,Independent
AAP,Orissa,Jagatsinghpur,17-04-2014,anupamasethy,27,Female,Post Graduate,GEN,525564,0,,Aam Aadmi Party
IND,Madhya Pradesh,Khargone,24-04-2014,gaffar,49,Male,Literate,GEN,525500,0,,Independent
IND,West Bengal,Purulia,07-05-2014,monbodhmahato,35,Male,Graduate,GEN,525486,0,,Independent
IND,Tamil Nadu,Chidambaram,24-04-2014,chandragasan-n,57,Male,8th,GEN,525000,0,,Independent
IND,Maharashtra,Latur,17-04-2014,udareminakshimahadev,42,Female,Graduate,GEN,525000,0,,Independent
SP,Himachal Pradesh,Shimla,07-05-2014,shurveersingh,33,Male,Not Given,GEN,524000,1,#B15928,Samajwadi Party
IND,Uttar Pradesh,Kaiserganj,07-05-2014,munni,37,Female,Not Given,GEN,524000,0,,Independent
JMM,West Bengal,Asansol,07-05-2014,kanaibanerjee,45,Male,10th,GEN,524000,0,,Jharkhand Mukti Morcha
IND,Tamil Nadu,Karur,24-04-2014,murugaan-n,44,Male,10th,GEN,523120,0,,Independent
IND,Rajasthan,Ajmer,17-04-2014,jagdishsinghrawat,54,Male,5th,GEN,520000,0,,Independent
IND,Jammu Kashmir,Jammu,10-04-2014,vijaykumar,48,Male,8th,GEN,520000,0,,Independent
JDU,Jharkhand,Kodarma,10-04-2014,krishnasingh,50,Male,Literate,GEN,518000,1,#8064a2,Janata Dal  (United)
IND,Rajasthan,Alwar,24-04-2014,harisinghsharma,41,Male,8th,GEN,516000,0,,Independent
CPI,Madhya Pradesh,Shahdol,10-04-2014,parmeshwarsingh,33,Male,5th,GEN,515000,0,#DE0000,Communist Party of India
IND,Madhya Pradesh,Sidhi,10-04-2014,ramakantpandeymalaihna,68,Male,Post Graduate,GEN,515000,0,,Independent
IND,Kerala,Kottayam,10-04-2014,praveenkmohan,37,Male,10th,GEN,512500,3,,Independent
IND,Haryana,Faridabad,10-04-2014,nanakchand,47,Male,10th,GEN,512000,0,,Independent
IND,Maharashtra,Solapur,17-04-2014,bhisekrishnanagnath,28,Male,10th,GEN,511665,0,,Independent
IND,Tamil Nadu,Sivaganga,24-04-2014,radhakrishnana,58,Male,12th,GEN,511000,0,,Independent
IND,Karnataka,Bangalore Rural,17-04-2014,kenchaiah,34,Male,Not Given,GEN,510000,0,,Independent
IND,Karnataka,Bidar,17-04-2014,naganathpatil,47,Male,Graduate,GEN,510000,0,,Independent
IND,Maharashtra,Bhandara-Gondiya,10-04-2014,bantejitendraramaji,29,Male,12th,GEN,510000,0,,Independent
IND,Tamil Nadu,Tiruvannamalai,24-04-2014,kamarajm,44,Male,5th,GEN,507000,0,,Independent
IND,Madhya Pradesh,Morena,17-04-2014,akashgupta,28,Male,Graduate,GEN,505042,0,,Independent
IND,Uttar Pradesh,Jaunpur,12-05-2014,jogendraprasad,30,Male,Literate,GEN,505000,0,,Independent
IND,Madhya Pradesh,Chhindwara,10-04-2014,dhaniramyaduwanshi,42,Male,12th,GEN,504199,0,,Independent
AAP,Uttar Pradesh,Bahraich,07-05-2014,jagatram,40,Male,10th,GEN,502257,1,,Aam Aadmi Party
IND,Assam,Tezpur,07-04-2014,eliaskujur,42,Male,Graduate Professional,GEN,502074,0,,Independent
IND,Karnataka,Chikkodi,17-04-2014,shrinikannasahebjangate,34,Male,12th,GEN,500500,0,,Independent
JMM,West Bengal,Medinipur,07-05-2014,mukimkhan,60,Male,Literate,GEN,500000,0,,Jharkhand Mukti Morcha
IND,Tamil Nadu,Chennai South,24-04-2014,ssesuraj,44,Male,Others,GEN,500000,0,,Independent
IND,Jammu Kashmir,Udhampur,17-04-2014,nazakathussain,28,Male,Post Graduate,GEN,500000,0,,Independent
IND,Karnataka,Mysore,17-04-2014,deswarthoremavu,47,Male,Graduate,GEN,500000,0,,Independent
IND,Maharashtra,Kolhapur,17-04-2014,jeevanaliascapatil,43,Male,Graduate,GEN,500000,0,,Independent
AITC,Rajasthan,Churu,17-04-2014,gordhansarswat,69,Male,Literate,GEN,500000,0,#0C6965,All India Trinamool Congress
AAP,Madhya Pradesh,Chhindwara,10-04-2014,maheshdubey,58,Male,Graduate,GEN,500000,0,,Aam Aadmi Party
AITC,West Bengal,Jhargram,07-05-2014,umasaren,30,Female,Graduate Professional,GEN,499646,0,#0C6965,All India Trinamool Congress
INC,West Bengal,Bankura,07-05-2014,nilmadhabgupta,59,Male,Others,GEN,498159,2,#019733,Indian National Congress
IND,Maharashtra,Madha,17-04-2014,drpramodramchandragawade,34,Male,Doctorate,GEN,498000,0,,Independent
IND,Maharashtra,Aurangabad,24-04-2014,phularesureshasaram,33,Male,12th,GEN,497750,0,,Independent
SP,Tamil Nadu,Pollachi,24-04-2014,sathishkumarl,39,Male,Post Graduate,GEN,497545,0,#B15928,Samajwadi Party
AAP,Manipur,Inner Manipur,17-04-2014,dribomchasingh,43,Male,Graduate Professional,GEN,497250,0,,Aam Aadmi Party
IND,Tamil Nadu,Chennai Central,24-04-2014,dramesh,52,Male,Post Graduate,GEN,495000,0,,Independent
IND,Bihar,Bhagalpur,24-04-2014,sumankumar,30,Male,Graduate,GEN,492000,0,,Independent
IND,Chhattisgarh,Raipur,24-04-2014,shankarlalvarandaani,45,Male,10th,GEN,492000,0,,Independent
SP,Madhya Pradesh,Morena,17-04-2014,rajeshkushwah,28,Male,Graduate Professional,GEN,491500,0,#B15928,Samajwadi Party
IND,Madhya Pradesh,Gwalior,17-04-2014,asifkhan,48,Male,5th,GEN,491000,0,,Independent
