state,constituency,poll_date,name,party,age,gender,education,category,assets,criminal_cases,color
Gujarat,Bhavnagar,30-04-2014,Pravinbhai Jinabhai Rathod,INC,43,Male,10th,GEN,2888968,0,#019733
Karnataka,Bagalkot,17-04-2014,Muttappa Hirekumbi,IND,41,Male,Literate,GEN,2887000,0,
Karnataka,Tumkur,17-04-2014,Anwar,IND,58,Male,Graduate,GEN,2886450,0,
Karnataka,Raichur,17-04-2014,Bhimaraya,AAP,62,Male,10th,GEN,2885000,0,
Maharashtra,Wardha,10-04-2014,Mohd Alim Patel Mohd Wahid,AAP,37,Male,Post Graduate,GEN,2882200,0,
Tamil Nadu,Perambalur,24-04-2014,Subramani -d,IND,34,Male,12th,GEN,2880137,0,
Rajasthan,Bharatpur,24-04-2014,Lakhan Singh,PEOPLES GREEN PARTY,47,Male,8th,GEN,2879000,0,
Uttar Pradesh,Rae Bareli,30-04-2014,Anju Singh,AITC,31,Female,Post Graduate,GEN,2874863,0,#0C6965
Uttar Pradesh,Salempur,12-05-2014,Dr Sanjay Kr Singh,JDU,41,Male,Doctorate,GEN,2874000,0,#8064a2
Gujarat,Navsari,30-04-2014,Ravshaheb Bhimrav Patil Bandhu,IND,40,Male,12th,GEN,2871000,0,
Tamil Nadu,Kanniyakumari,24-04-2014,Kamaraj G,IND,29,Male,Graduate Professional,GEN,2871000,0,
Jharkhand,Jamshedpur,17-04-2014,Mobin Khan,IND,50,Male,12th,GEN,2865000,0,
Bihar,Khagaria,30-04-2014,Tej Bahadur Singh,PROUTIST SARVA SAMAJ,71,Male,Graduate,GEN,2864479,0,
Haryana,Karnal,10-04-2014,Paramjit Singh,AAP,36,Male,Graduate,GEN,2863613,0,
Uttar Pradesh,Shrawasti,07-05-2014,Praksh Chandra Mishra,JAN SEVAK PARTY,40,Male,Graduate,GEN,2860000,0,
Gujarat,Vadodara,30-04-2014,Pathan Sahebkhan Asifkhan,SP,37,Male,12th,GEN,2860000,0,#B15928
Maharashtra,Latur,17-04-2014,Balaji Dnyanoba Kamble,SP,44,Male,Post Graduate,GEN,2860000,0,#B15928
West Bengal,Coochbehar,17-04-2014,Dipak Kumar Roy,AIFB,48,Male,Post Graduate,GEN,2859128,1,
Uttar Pradesh,Kannauj,24-04-2014,Rakesh Kumar Tiwari Advocate,IND,52,Male,Graduate Professional,GEN,2856442,0,
Tamil Nadu,Kanniyakumari,24-04-2014,Nagoor Meeran Peer Mohammed U,IND,54,Male,10th,GEN,2855555,0,
West Bengal,Diamond Harbour,12-05-2014,Bechu Mondal,IND,64,Male,Graduate Professional,GEN,2852000,0,
Punjab,Amritsar,30-04-2014,Arun Kumar Joshi,IND,40,Male,12th,GEN,2852000,3,
Uttar Pradesh,Kushi Nagar,12-05-2014,Ameeruddin,APNA DAL UNITED PARTY,36,Male,Graduate,GEN,2850774,0,
Madhya Pradesh,Sagar,17-04-2014,Mohammad Hanif Qurashi,IND,43,Male,Literate,GEN,2850500,1,
Maharashtra,Pune,17-04-2014,Umesh Bhujang Masankhamb,IND,32,Male,12th,GEN,2850400,0,
Tamil Nadu,Dharmapuri,24-04-2014,Kumaranv,IND,44,Male,Doctorate,GEN,2850000,0,
Uttar Pradesh,Sitapur,30-04-2014,Ram Avtar Nishad,JAI HIND SAMAJ PARTY,70,Male,12th,GEN,2849728,0,
Maharashtra,Nashik,24-04-2014,Pathan Ayub Maddekhan,IUML,45,Male,Graduate Professional,GEN,2842358,0,
Tamil Nadu,Theni,24-04-2014,Kannan -s,IND,48,Male,Graduate,GEN,2839263,0,
Chhattisgarh,Korba,24-04-2014,Jeevan Lal Rautel,IND,47,Male,8th,GEN,2836042,0,
Karnataka,Mysore,17-04-2014,Bojanna N Somaiah,IND,32,Male,Graduate Professional,GEN,2835000,0,
Maharashtra,Kalyan,24-04-2014,Anil Motiram More,BAHUJAN MUKTI PARTY,52,Male,Graduate Professional,GEN,2828101,0,
Bihar,Katihar,24-04-2014,Md Iqbal Ahmad,SAMAJWADI JANATA PARTY RASHTRIYA,33,Male,Others,GEN,2827500,2,
Madhya Pradesh,Mandla,10-04-2014,Phool Singh Dhurwey,CHHATTISGARH SWABHIMAN MANCH,43,Male,Graduate,GEN,2820609,3,
Gujarat,Sabarkantha,30-04-2014,Solanki Chhaganbhai Kevalabhai,IND,68,Male,Post Graduate,GEN,2805000,0,
Puducherry,Pondicherry,24-04-2014,J Dhandapani,IND,61,Male,Post Graduate,GEN,2802323,1,
Bihar,Saran,07-05-2014,Chandan Kumar Alias Chandan Gupta,BIHAR JANTA PARTY,34,Male,Post Graduate,GEN,2800179,4,
Gujarat,Porbandar,30-04-2014,Butani Rajeshbhai Maganbhai,IND,41,Male,10th,GEN,2799596,0,
Rajasthan,Tonk-sawai Madhopur,24-04-2014,Varis Ali,AWAMI AAMJAN PARTY,41,Male,8th,GEN,2796100,0,
Assam,Karimganj,12-04-2014,Krishna Das,BJP,45,Male,12th,GEN,2794334,0,#FB7B0D
Maharashtra,Nagpur,10-04-2014,Rammurti Keshvrao Chimote,GGP,45,Male,12th,GEN,2792000,0,
Gujarat,Surendranagar,30-04-2014,Bar Ajamalbhai Karmanbhai,BAHUJAN MUKTI PARTY,36,Male,10th,GEN,2791000,3,
Orissa,Bhubaneswar,17-04-2014,Prana Krushna Dalabehera,SAMRUDDHA ODISHA,59,Male,Graduate Professional,GEN,2790039,0,
Tamil Nadu,Tenkasi,24-04-2014,Janagar Raja,IND,25,Male,Graduate Professional,GEN,2790001,0,
Uttar Pradesh,Varanasi,12-05-2014,Baseer Kinnar,IND,50, -,Illiterate,GEN,2782158,0,
Uttar Pradesh,Varanasi,12-05-2014,Prakash Prasad,IND,42,Male,12th,GEN,2780000,0,
Uttar Pradesh,Ballia,12-05-2014,Ram Roop,JAI HIND SAMAJ PARTY,47,Male,8th,GEN,2776000,0,
Uttar Pradesh,Hardoi,24-04-2014,Saroj Kumar,IND,49,Male,12th,GEN,2776000,0,
Tamil Nadu,Virudhunagar,24-04-2014,Thanuskodi,IND,49,Male,Others,GEN,2772100,0,
Uttar Pradesh,Varanasi,12-05-2014,Narendra Bahadur Singh,IND,55,Male,Post Graduate,GEN,2772000,0,
Rajasthan,Dausa,24-04-2014,Rukmani,SOCIALIST PARTY INDIA,67,Female,Literate,GEN,2767391,0,
Haryana,Bhiwani-mahendragarh,10-04-2014,Satpal So Sube,IND,34,Male,12th,GEN,2766000,0,
Chhattisgarh,Bilaspur,24-04-2014,Dilip Kumar Koshle,IND,43,Male,12th,GEN,2764540,0,
Tamil Nadu,Tirunelveli,24-04-2014,Prabakarankrp,AIADMK,34,Male,Graduate Professional,GEN,2764500,0,#9DBC2A
Haryana,Rohtak,10-04-2014,Sajjan Singh,IND,66,Male,Illiterate,GEN,2761000,0,
Maharashtra,Ramtek,10-04-2014,Dr Sunilbhau Vishwanathji Narnavre,REPUBLICAN PARTY OF INDIA KHOBRAGADE,42,Male,Not Given,GEN,2760000,0,
West Bengal,Murshidabad,24-04-2014,Badaruddoza Khan,CPIM,59,Male,Graduate,GEN,2758610,0,#DE0000
Gujarat,Surendranagar,30-04-2014,Majethiya Samratbhai Jerambhai,HINDUSTAN JANTA PARTY,47,Male,Literate,GEN,2758000,0,
National Capital Territory Of Delhi,South Delhi,10-04-2014,Tej Pal Singh,IND,38,Male,10th,GEN,2755320,0,
Assam,Dhubri,24-04-2014,Ram Ekbal Shahani,IND,62,Male,5th,GEN,2755078,0,
Uttar Pradesh,Etah,24-04-2014,Rajveer Singh,IND,59,Male,Graduate,GEN,2752626,0,
Tamil Nadu,Ramanathapuram,24-04-2014,Velchsamy R,IND,40,Male,8th,GEN,2750000,0,
Assam,Dhubri,24-04-2014,Kasir Uddin Sk,IUML,63,Male,12th,GEN,2746500,0,
Kerala,Chalakudy,10-04-2014,Abdul Kareem,IND,53,Male,10th,GEN,2746000,0,
Maharashtra,Sangli,17-04-2014,Bandgar Nanaso Balaso,BSP,40,Male,8th,GEN,2743505,0,#77968E
Andhra Pradesh,Eluru,07-05-2014,Juluri Bhaskara Veera Venkata Anil Kumar Gupta,IND,34,Male,12th,GEN,2741859,1,
West Bengal,Barasat,12-05-2014,Bikash Hazra,BAHUJAN MUKTI PARTY,50,Male,8th,GEN,2737500,0,
Maharashtra,Madha,17-04-2014,Adv Savita Balkrishna Shinde,AAP,38,Female,Graduate Professional,GEN,2737166,0,
Chhattisgarh,Korba,24-04-2014,Rajendra Singh Kanwar,CHHATTISGARH SWABHIMAN MANCH,32,Male,Graduate,GEN,2737000,0,
Uttar Pradesh,Jhansi,30-04-2014,Chintamani,AKHIL RASHTRAWADI PARTY,65,Male,Graduate Professional,GEN,2736855,0,
Kerala,Kannur,10-04-2014,Sasidharan K V,AAP,48,Male,Post Graduate,GEN,2730285,0,
Haryana,Hisar,10-04-2014,Vijay Kumar Sharma,IND,43,Male,Post Graduate,GEN,2730250,0,
Karnataka,Koppal,17-04-2014,Shivakumar Navalisiddappa Tontapur,AAP,48,Male,Graduate,GEN,2725000,0,
Punjab,Jalandhar,30-04-2014,Nirmal Singh Bolina,IND,72,Male,Post Graduate,GEN,2724000,0,
Tamil Nadu,Chennai South,24-04-2014,K Mani,JDU,61,Male,5th,GEN,2723000,0,#8064a2
Haryana,Bhiwani-mahendragarh,10-04-2014,Dharambir So Banwari,IND,54,Male,Illiterate,GEN,2715000,0,
Chhattisgarh,Raigarh,24-04-2014,Amrit Tirkey,IND,36,Male,8th,GEN,2711000,0,
Punjab,Bathinda,30-04-2014,Jagdeep Singh,IND,35,Male,Post Graduate,GEN,2710473,0,
Orissa,Aska,10-04-2014,Mahesh Chandra Mohanty,BJP,58,Male,Graduate,GEN,2702481,0,#FB7B0D
Andhra Pradesh,Kakinada,07-05-2014,Merla Bhavani Sankara Prasad,IND,52,Male,5th,GEN,2700000,0,
Andhra Pradesh,Khammam,30-04-2014,Dodda Ram Babu,BSP,48,Male,Literate,GEN,2700000,0,#77968E
Tamil Nadu,Perambalur,24-04-2014,Chinna Rajendran -c,IND,37,Male,12th,GEN,2700000,0,
Uttar Pradesh,Lalganj,12-05-2014,Sukhanayan,JAN SHAKTI EKTA PARTY,59,Male,10th,GEN,2691000,0,
Rajasthan,Pali,17-04-2014,Shobharam Mali,JAI MAHA BHARATH PARTY,36,Male,10th,GEN,2690500,0,
West Bengal,Krishnanagar,12-05-2014,Kamal Kanti Datta,SUCIC,59,Male,Post Graduate,GEN,2689878,0,
Madhya Pradesh,Satna,10-04-2014,Shyamlal Kushwaha,GGP,40,Male,Post Graduate,GEN,2689000,0,
Uttar Pradesh,Shrawasti,07-05-2014,Arun Kumar,IND,41,Male,Graduate,GEN,2685000,1,
Orissa,Mayurbhanj,17-04-2014,Prabhudan Marandi,AAMA ODISHA PARTY,42,Male,Graduate Professional,GEN,2683854,0,
Rajasthan,Rajsamand,17-04-2014,Idrish Mohammad,JAGO PARTY,40,Male,8th,GEN,2682000,0,
Andhra Pradesh,Secunderabad,30-04-2014,K Srinivasulu,JAI SAMAIKYANDHRA PARTY,42,Male,Post Graduate,GEN,2680000,0,
Gujarat,Kheda,30-04-2014,Ratansinh Udesinh Chauhan,IND,65,Male,10th,GEN,2680000,0,
Bihar,Katihar,24-04-2014,Mohammad Hamid Mobarak,AITC,39,Male,Graduate,GEN,2677359,0,#0C6965
Maharashtra,Gadchiroli-chimur,10-04-2014,Ramrao Govinda Nannaware,BSP,47,Male,Graduate,GEN,2671687,0,#77968E
Rajasthan,Rajsamand,17-04-2014,Bhanwar Lal Mali,IND,50,Male,8th,GEN,2671280,0,
Punjab,Bathinda,30-04-2014,Sanjeev Kumar Thapar,IND,34,Male,10th,GEN,2670000,0,
National Capital Territory Of Delhi,East Delhi,10-04-2014,Padam Chand,IND,61,Male,10th,GEN,2670000,0,
Bihar,Gopalganj,12-05-2014,Jaleswarnath Ram,BAHUJAN MUKTI PARTY,47,Male,12th,GEN,2665022,0,
Karnataka,Davanagere,17-04-2014,B Gnana Prakash,IND,31,Male,Graduate,GEN,2665000,0,
Rajasthan,Jaipur,17-04-2014,Neeru Agarwal,NATIONAL UNIONIST ZAMINDARA PARTY,33,Female,Post Graduate,GEN,2665000,0,
West Bengal,Diamond Harbour,12-05-2014,Sailen Sadhukhan,IND,54,Male,12th,GEN,2663064,0,
Uttar Pradesh,Muzaffarnagar,10-04-2014,Mange Ram Kashyap,MAJDOOR KISAN UNION PARTY,46,Male,Graduate Professional,GEN,2663000,0,
Uttar Pradesh,Azamgarh,12-05-2014,Rajesh Yadav,AAP,43,Male,Graduate Professional,GEN,2662066,1,
Uttar Pradesh,Ghosi,12-05-2014,Dudhnath Chauhan,IND,59,Male,10th,GEN,2662000,0,
Tamil Nadu,Tiruchirappalli,24-04-2014,Sundarrajs,IND,55,Male,Graduate,GEN,2661024,0,
Uttar Pradesh,Kairana,10-04-2014,Ramkaran,BHARTIYA VANCHITSAMAJ PARTY,42,Male,Post Graduate,GEN,2659619,0,
Rajasthan,Alwar,24-04-2014,Jagdish Prasad Bairwa,IND,33,Male,10th,GEN,2659200,0,
Uttar Pradesh,Firozabad,24-04-2014,Laxmi Narayan,RASHTRIYA JANWADI PARTY KRANTIKARI,34,Male,Graduate,GEN,2658630,0,
Jharkhand,Dhanbad,24-04-2014,Munshi Hembram,IND,62,Male,Literate,GEN,2653000,0,
Rajasthan,Tonk-sawai Madhopur,24-04-2014,Ram Parkash,IND,50,Male,8th,GEN,2650000,0,
Maharashtra,Palghar,24-04-2014,Kharapade Ladakya Rupa,CPIM,51,Male,12th,GEN,2641309,0,#DE0000
Maharashtra,Kolhapur,17-04-2014,Yashwant Balkrushna Joshi,IND,59,Male,10th,GEN,2638600,0,
Bihar,Jahanabad,17-04-2014,Prashuram Bind,BAHUJAN MUKTI PARTY,72,Male,Graduate,GEN,2636206,0,
Kerala,Ernakulam,10-04-2014,Densil Mendez,JDU,50,Male,10th,GEN,2634109,0,#8064a2
Bihar,Banka,24-04-2014,Deepak Kumar,SUCIC,35,Male,12th,GEN,2633089,0,
Bihar,Muzaffarpur,07-05-2014,Mohammad Taiyab,IND,43,Male,8th,GEN,2630000,0,
Maharashtra,Mumbai North East,24-04-2014,Dv Amarsen Baburao Babar,IND,37,Male,Doctorate,GEN,2629000,0,
Uttar Pradesh,Gonda,07-05-2014,Rajendra Prasad,SAMYAK PARIVARTAN PARTY,34,Male,Literate,GEN,2627510,0,
Karnataka,Chikkballapur,17-04-2014,H N Ramakrishna Reddy,PYRAMID PARTY OF INDIA,66,Male,10th,GEN,2626000,0,
Maharashtra,Mumbai North,24-04-2014,Subodh G Ranjan,IND,39,Male,12th,GEN,2621363,0,
Uttar Pradesh,Mainpuri,24-04-2014,Satendra Veer Singh Chauhan,AIFB,48,Male,Post Graduate,GEN,2621288,0,
Uttar Pradesh,Lalganj,12-05-2014,Lal Bahadur,BAHUJAN MUKTI PARTY,46,Male,12th,GEN,2619800,0,
Uttarakhand,Nainital-udhamsingh Nagar,07-05-2014,Balli Singh Cheema,AAP,61,Male,Graduate,GEN,2614200,0,
Andhra Pradesh,Malkajgiri,30-04-2014,Jajula Bhaskar,SHRAMAJEEVI PARTY,39,Male,Graduate,GEN,2611000,0,
Bihar,Nawada,10-04-2014,Umakant Rahi,SHOSHIT SAMAJ DAL,42,Male,Post Graduate,GEN,2610034,0,
Rajasthan,Jaipur,17-04-2014,Dk Chhangani,CPI,74,Male,Graduate,GEN,2605791,0,#DE0000
Kerala,Kollam,10-04-2014,Premachandran,IND,58,Male,10th,GEN,2605267,1,
Madhya Pradesh,Dewas,24-04-2014,Kamal Singh,PRAJATANTRIK SAMADHAN PARTY,43,Male,Post Graduate,GEN,2604000,0,
Tamil Nadu,Pollachi,24-04-2014,Manoharanm,BSP,32,Male,Graduate Professional,GEN,2602000,0,#77968E
Punjab,Bathinda,30-04-2014,Rajinder Singh,SHIROMANI AKALI DAL AMRITSARSIMRANJIT SING,0,Male,10th,GEN,2600000,0,
Uttar Pradesh,Unnao,30-04-2014,Roop Narayan Singh,IND,59,Male,10th,GEN,2600000,0,
Jammu Kashmir,Jammu,10-04-2014,Abdul Majid Chouhan,IND,34,Male,10th,GEN,2600000,0,
Jharkhand,Kodarma,10-04-2014,Manju Kumari,AITC,36,Female,Post Graduate,GEN,2598000,0,#0C6965
Chhattisgarh,Bilaspur,24-04-2014,Ramji Sahu,CHHATTISGARH SWABHIMAN MANCH,50,Male,12th,GEN,2597500,0,
West Bengal,Bishnupur,07-05-2014,Narayan Chandra Khan,INC,62,Male,Graduate Professional,GEN,2594651,0,#019733
Tamil Nadu,Madurai,24-04-2014,Bvikraman,CPIM,52,Male,10th,GEN,2591109,0,#DE0000
Uttar Pradesh,Saharanpur,10-04-2014,Raghuveer Singh Bodh,IND,76,Male,8th,GEN,2590110,0,
Andhra Pradesh,Araku,07-05-2014,Gummidi Sandhya Rani,TDP,41,Female,Graduate,GEN,2587354,0,#4bacc6
Orissa,Sambalpur,10-04-2014,Tarani Bhoi,PASCHIMANCHAL VIKAS PARTY,46,Female,10th,GEN,2587176,0,
Andhra Pradesh,Visakhapatnam,07-05-2014,Durga Prasad Guntu,IND,45,Male,Graduate,GEN,2587000,0,
Bihar,Sitamarhi,07-05-2014,Sone Lal Sah,IND,66,Male,8th,GEN,2584902,0,
Chhattisgarh,Janjgir-champa,24-04-2014,Lakhan Lahare,IND,46,Male,Post Graduate,GEN,2584567,0,
Punjab,Jalandhar,30-04-2014,Manjit Kaur Wo Sukhwinder Singh,IND,40,Female,Graduate,GEN,2582974,0,
Maharashtra,Osmanabad,17-04-2014,Tukaram Dasu Gangawane,IND,63,Male,10th,GEN,2580700,0,
Rajasthan,Jalore,17-04-2014,Sukh Dev,AWAMI AAMJAN PARTY,50,Male,5th,GEN,2579600,0,
Karnataka,Uttara Kannada,17-04-2014,Naik Santosh Omu,BSP,50,Male,Post Graduate,GEN,2577000,0,#77968E
Tamil Nadu,Kallakurichi,24-04-2014,Kvellaiyan,IND,48,Male,5th,GEN,2575000,0,
Chhattisgarh,Mahasamund,17-04-2014,Chandu Lal Sahu So Parmanand Sahu,IND,61,Male,Literate,GEN,2574000,0,
Madhya Pradesh,Bhopal,17-04-2014,Abdul Tahir Bablu -advocate,IND,0,Male,Graduate Professional,GEN,2573572,0,
West Bengal,Jadavpur,12-05-2014,Asok Kumar Samanta,SUCIC,60,Male,Post Graduate,GEN,2570063,0,
Tripura,Tripura West,07-04-2014,Kamal Kanti Debnath,IND,63,Male,10th,GEN,2569416,0,
West Bengal,Purulia,07-05-2014,Nepal Mahata,INC,52,Male,Post Graduate,GEN,2568043,25,#019733
Bihar,Valmiki Nagar,12-05-2014,Amar Sahani,BHARATIYA EKTA DAL,38,Male,Literate,GEN,2566000,0,
Tamil Nadu,Erode,24-04-2014,Murugesan_s,IND,52,Male,5th,GEN,2566000,0,
Uttar Pradesh,Farrukhabad,24-04-2014,Imamuddin Husain Husain,IND,39,Male,10th,GEN,2560296,0,
Uttar Pradesh,Amethi,07-05-2014,Girija Baksh,IND,52,Male,Post Graduate,GEN,2555620,0,
Bihar,Madhubani,30-04-2014,Kumari Rita,SHS,34,Female,Graduate,GEN,2555000,0,#F05A00
Uttar Pradesh,Hamirpur,30-04-2014,Atul Kumar Singh,AAP,31,Male,Graduate Professional,GEN,2553384,0,
Bihar,Muzaffarpur,07-05-2014,Kunal Priyadarshi,RASHTRIYA KRANTIKARI SAMAJWADI PARTY,29,Male,Graduate,GEN,2550000,0,
Uttar Pradesh,Kaiserganj,07-05-2014,Chaman Lal Kasaundhan,LOK DAL,56,Male,5th,GEN,2550000,0,
Bihar,Purvi Champaran,12-05-2014,Shambhu Das,IND,38,Male,Literate,GEN,2549763,2,
West Bengal,Kolkata Dakshin,12-05-2014,Raveendran Tp,CPIML RED STAR,57,Male,Post Graduate,GEN,2547624,0,
West Bengal,Coochbehar,17-04-2014,Hitendra Das,IND,58,Male,8th,GEN,2546997,0,
Uttar Pradesh,Rae Bareli,30-04-2014,Suresh Chandra Mishra,MANAVTAWADI SAMAJ PARTY,61,Male,12th,GEN,2545709,0,
Tamil Nadu,Krishnagiri,24-04-2014,Virginiya Benatin Franciles,IND,42,Female,8th,GEN,2545000,0,
Maharashtra,Nagpur,10-04-2014,Suresh Udhavrao Shinde,IND,45,Male,Graduate Professional,GEN,2545000,0,
Andhra Pradesh,Secunderabad,30-04-2014,Ch Murahari,SUCIC,55,Male,Post Graduate,GEN,2544964,0,
Bihar,Samastipur,30-04-2014,Mithilesh Kumar Rajak,IND,35,Male,Graduate,GEN,2540933,0,
Maharashtra,Beed,17-04-2014,Sayyed Navidujjamma,IND,43,Male,Graduate,GEN,2539615,1,
Uttar Pradesh,Baghpat,10-04-2014,Subhash Chand Kashyap,IND,35,Male,Post Graduate,GEN,2539312,0,
Uttar Pradesh,Jaunpur,12-05-2014,Anil Kumar Singh,IND,38,Male,10th,GEN,2536000,0,
Kerala,Vadakara,10-04-2014,Vk Sajeeva,BJP,39,Male,Graduate Professional,GEN,2534579,2,#FB7B0D
West Bengal,Ghatal,12-05-2014,Gangaram Sasmal,PARTY FOR DEMOCRATIC SOCIALISM,65,Male,Graduate,GEN,2528000,0,
Punjab,Khadoor Sahib,30-04-2014,Mahinder Singh Hamira,IND,48,Male,5th,GEN,2525000,1,
Bihar,Maharajganj,07-05-2014,Shiv Nath Mahto,IND,57,Male,Literate,GEN,2523555,2,
Gujarat,Mahesana,30-04-2014,Mahmad Azam Haiderkhan Pathan,IND,29,Male,8th,GEN,2522354,1,
Uttar Pradesh,Machhlishahr,12-05-2014,Hari,SUHELDEV BHARTIYA SAMAJ PARTY,47,Male,8th,GEN,2522000,1,
Maharashtra,Kolhapur,17-04-2014,Pandurang Tukaram Chougale,IND,68,Male,8th,GEN,2522000,0,
Bihar,Maharajganj,07-05-2014,Gopal Prasad,IND,63,Male,Graduate Professional,GEN,2518000,0,
Chhattisgarh,Janjgir-champa,24-04-2014,Daduram Manhar,AAP,35,Male,Post Graduate,GEN,2517042,0,
Maharashtra,Mumbai North,24-04-2014,Mohammad Akhtar Mehboob Shaikh,PRABUDDHA REPUBLICAN PARTY,44,Male,8th,GEN,2515000,0,
West Bengal,Purulia,07-05-2014,Narahari Mahato,AIFB,59,Male,Post Graduate,GEN,2514936,15,
Uttar Pradesh,Rampur,17-04-2014,Akbar Masood,IND,51,Male,Post Graduate,GEN,2513782,0,
Madhya Pradesh,Vidisha,24-04-2014,Engineear Bhagwat Singh Rajput,AAP,57,Male,Others,GEN,2513476,0,
Jammu Kashmir,Jammu,10-04-2014,Satish Poonchi,IND,65,Male,10th,GEN,2513000,0,
Kerala,Thiruvananthapuram,10-04-2014,Adv Perurkada Harikumar,SHS,40,Male,Graduate Professional,GEN,2511500,4,#F05A00
Uttar Pradesh,Jaunpur,12-05-2014,Arvind,SUHELDEV BHARTIYA SAMAJ PARTY,31,Male,12th,GEN,2500000,0,
Maharashtra,Thane,24-04-2014,Bhanudas Dhotare,IND,63,Male,12th,GEN,2500000,0,
Tamil Nadu,Vellore,24-04-2014,Gopu -c,IND,58,Male,12th,GEN,2500000,0,
Karnataka,Chikkballapur,17-04-2014,Venkatesh D T,IND,45,Male,Post Graduate,GEN,2500000,0,
Maharashtra,Hingoli,17-04-2014,Uttam Rathod,IND,59,Male,12th,GEN,2500000,0,
Uttar Pradesh,Pilibhit,17-04-2014,Ravindra Kumar Devnath,IND,27,Male,Graduate,GEN,2495450,0,
National Capital Territory Of Delhi,North East Delhi,10-04-2014,Ramesh Singh Siral,NAYA DAUR PARTY,40,Male,8th,GEN,2490000,0,
Kerala,Malappuram,10-04-2014,Gopinathann,IND,61,Male,Post Graduate,GEN,2486000,0,
Orissa,Bargarh,10-04-2014,Lingaraj Pradhan,AAP,52,Male,Post Graduate,GEN,2470000,0,
Rajasthan,Bhilwara,17-04-2014,Govind Kumar Bairwa,BSP,45,Male,8th,GEN,2470000,0,#77968E
Gujarat,Jamnagar,30-04-2014,Dharaviya Vallabhbhai,IND,45,Male,5th,GEN,2463263,0,
Bihar,Sheohar,07-05-2014,Jagranath Sahani,SARVAJAN KALYAN LOKTANTRIK PARTY,31,Male,Post Graduate,GEN,2462500,1,
Gujarat,Jamnagar,30-04-2014,Mekani Amadbhai Noormamdbhai,IND,64,Male,Literate,GEN,2461000,0,
Andhra Pradesh,Bapatla,07-05-2014,Rayapati David Wilson,JAI SAMAIKYANDHRA PARTY,47,Male,Graduate Professional,GEN,2460000,0,
Maharashtra,Pune,17-04-2014,Shivaji Pandurang Adhav,IND,40,Male,Graduate Professional,GEN,2459700,0,
Tamil Nadu,Kallakurichi,24-04-2014,Kmohammed Yasin,AAP,35,Male,Others,GEN,2457180,0,
National Capital Territory Of Delhi,West Delhi,10-04-2014,Jarnail Singh So Rajinder Singh,IND,44,Male,10th,GEN,2457012,0,
Uttar Pradesh,Moradabad,17-04-2014,Vimal Kumar,AAP,37,Male,Graduate,GEN,2456083,0,
Karnataka,Udupi Chikmagalur,17-04-2014,Srinivasa,IND,57,Male,5th,GEN,2452000,0,
Madhya Pradesh,Satna,10-04-2014,Birendra Singh,IND,42,Male,12th,GEN,2451500,0,
Jharkhand,Palamau,10-04-2014,Rambadan Ram,SP,57,Male,Post Graduate,GEN,2450000,0,#B15928
Uttar Pradesh,Varanasi,12-05-2014,Abhimanyu Singh Patel,BAHUJAN MUKTI PARTY,38,Male,12th,GEN,2445000,0,
Jharkhand,Singhbhum,17-04-2014,Snehlata Jojo,IND,31,Female,Graduate Professional,GEN,2444000,0,
Tripura,Tripura West,07-04-2014,Arun Kumar Bhowmik,SUCIC,59,Male,Graduate,GEN,2443828,0,
National Capital Territory Of Delhi,North West Delhi,10-04-2014,Inder Singh,ASANKHYA SAMAJ PARTY,51,Male,10th,GEN,2437000,0,
Madhya Pradesh,Indore,24-04-2014,Syed Nizam Ahmed,IND,37,Male,12th,GEN,2425000,0,
Uttar Pradesh,Maharajganj,12-05-2014,Daya Ram Nishad,IND,34,Male,Post Graduate,GEN,2420000,1,
Gujarat,Patan,30-04-2014,Bhoraniya Soyabbhai Hasambhai,IND,47,Male,8th,GEN,2413000,0,
Maharashtra,Parbhani,17-04-2014,Udhav Rangrao Pawar Patil,IND,40,Male,Graduate,GEN,2411162,0,
Bihar,Arrah,17-04-2014,Gopal Singh,IND,73,Male,10th,GEN,2410664,0,
Assam,Nowgong,24-04-2014,Faruk Hazarika,IND,42,Male,5th,GEN,2408443,0,
Uttar Pradesh,Kushi Nagar,12-05-2014,Akhand,AAP,49,Male,Graduate,GEN,2407300,0,
Maharashtra,Beed,17-04-2014,Saksamudre Bhagwan Kachruba,BAHUJAN MUKTI PARTY,39,Male,Others,GEN,2407094,0,
Kerala,Attingal,10-04-2014,Sri Hariharan K S,IND,50,Male,Graduate Professional,GEN,2401400,0,
Kerala,Wayanad,10-04-2014,Ramla Mampad,WELFARE PARTY OF INDIA,56,Female,12th,GEN,2401057,0,
Rajasthan,Nagaur,17-04-2014,Abdul Aziz,BSP,63,Male,Graduate,GEN,2400000,0,#77968E
Maharashtra,Solapur,17-04-2014,Adv Sanjeev Sidram Sadafule,BSP,46,Male,Graduate Professional,GEN,2397559,0,#77968E
Chhattisgarh,Kanker,17-04-2014,Malik Ram Thakur,AMBEDKARITE PARTY OF INDIA,52,Male,10th,GEN,2397500,0,
Tamil Nadu,Sivaganga,24-04-2014,Velladhurai A,EZHUCHI TAMILARGAL MUNNETRA KAZHAGAM,46,Male,8th,GEN,2397000,0,
Maharashtra,Mumbai North East,24-04-2014,Deepak Digambar Shinde,IND,37,Male,Post Graduate,GEN,2394016,0,
Uttar Pradesh,Rae Bareli,30-04-2014,Archana Srivastava,AAP,47,Male,Post Graduate,GEN,2392500,0,
