state,constituency,poll_date,name,party,age,gender,education,category,assets,criminal_cases,color
Haryana,Bhiwani-mahendragarh,10-04-2014,Shruti Choudhry,INC,38,Female,Graduate Professional,GEN,1083115000,0,#019733
Punjab,Bathinda,30-04-2014,Harsimrat Kaur Badal,SAD,47,Female,10th,GEN,1081664910,0,
Maharashtra,Mumbai North Central,24-04-2014,Poonam Mahajan Alias Poonam Vajendla Rao,BJP,33,Female,Others,GEN,1080867626,0,#FB7B0D
Tamil Nadu,Vellore,24-04-2014,Shanmugam -ac,BJP,63,Male,Graduate Professional,GEN,1061039972,0,#FB7B0D
Andhra Pradesh,Zahirabad,30-04-2014,Bbpatil,TRS,58,Male,Graduate,GEN,1023173039,0,
Karnataka,Uttara Kannada,17-04-2014,Deshpande Prashanth,INC,37,Male,Post Graduate,GEN,999522016,0,#019733
Jammu Kashmir,Srinagar,30-04-2014,Tariq Hameed Karra,JKPDP,58,Male,Graduate Professional,GEN,984556436,0,
Uttar Pradesh,Fatehpur Sikri,24-04-2014,Amar Singh,RLD,58,Male,Graduate Professional,GEN,966849798,0,
Karnataka,Belgaum,17-04-2014,Nasir Papulsab Bagwan,JDS,56,Male,12th,GEN,962297866,0,#8064a2
Tamil Nadu,Sriperumbudur,24-04-2014,Ramachandran -kn Thiru,AIADMK,59,Male,Post Graduate,GEN,936721057,0,#9DBC2A
Bihar,Paschim Champaran,12-05-2014,Sri Praksh Jha,JDU,61,Male,12th,GEN,925480118,1,#8064a2
Uttar Pradesh,Allahabad,07-05-2014,Nand Gopal Gupta Nandi,INC,40,Male,10th,GEN,881714000,7,#019733
Maharashtra,Pune,17-04-2014,Drvishwajeet Patangrao Kadam,INC,33,Male,Doctorate,GEN,874957697,0,#019733
Punjab,Amritsar,30-04-2014,Captain Amarinder Singh,INC,72,Male,Graduate,GEN,863564071,3,#019733
Punjab,Patiala,30-04-2014,Preneet Kaur,INC,69,Female,Graduate,GEN,863564071,0,#019733
Karnataka,Bangalore Rural,17-04-2014,Dksuresh,INC,47,Male,12th,GEN,858713138,7,#019733
Maharashtra,Pune,17-04-2014,Arun Bhatia,PEOPLES GUARDIAN,71,Male,Post Graduate,GEN,842515000,1,
Karnataka,Bangalore Central,17-04-2014,Dhananjaya Hh,IND,42,Male,12th,GEN,809580000,1,
Karnataka,Bangalore Central,17-04-2014,Nandini Alva,JDS,52,Female,Graduate,GEN,807875641,3,#8064a2
Gujarat,Ahmedabad East,30-04-2014,Paresh Dahyalal Rawal,BJP,59,Male,12th,GEN,795211576,0,#FB7B0D
Andhra Pradesh,Guntur,07-05-2014,Balashowry Vallabhaneni,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,45,Male,Graduate,GEN,794017805,0,
Haryana,Hisar,10-04-2014,Kuldeep Bishnoi,HARYANA JANHIT CONGRESS BL,45,Male,Graduate,GEN,786595116,1,
Tamil Nadu,Sriperumbudur,24-04-2014,Jagathrakshakan -s Thiru,DMK,66,Male,10th,GEN,780453455,0,#800000
Tamil Nadu,Perambalur,24-04-2014,Parivendar Pachamuthu -tr,BJP,72,Male,Post Graduate,GEN,776948435,1,#FB7B0D
