AC_NO,AC_NAME,NAME,#,ST_CD,ST_NAME,VOTES,YEAR,polled_votes,vote_percent,PARTY,a_constituency,District,p_constituency,Male_voters,Female_voters,Other_voters,Region
11,Belgaum Uttar ,Mallappa C. Chougala,8,S10,Karnataka,207,2023,149478,0.14,UPP,Belgaum Uttar,Belgaum,Belgaum,117761,117311,26,Mumbai Karnataka
11,Belgaum Uttar ,Amar Kisan  Yallurakar,3,S10,Karnataka,11743,2023,149478,7.86,IND,Belgaum Uttar,Belgaum,Belgaum,117761,117311,26,Mumbai Karnataka
11,Belgaum Uttar ,Ashok Basavant Govekar,10,S10,Karnataka,150,2023,149478,0.1,IND,Belgaum Uttar,Belgaum,Belgaum,117761,117311,26,Mumbai Karnataka
11,Belgaum Uttar ,Kashiram Bishan Chavhan,16,S10,Karnataka,61,2023,149478,0.04,IND,Belgaum Uttar,Belgaum,Belgaum,117761,117311,26,Mumbai Karnataka
11,Belgaum Uttar ,Nagesh Divate,9,S10,Karnataka,177,2023,149478,0.12,IND,Belgaum Uttar,Belgaum,Belgaum,117761,117311,26,Mumbai Karnataka
11,Belgaum Uttar ,Magdum Ismailmagdum,15,S10,Karnataka,66,2023,149478,0.04,IND,Belgaum Uttar,Belgaum,Belgaum,117761,117311,26,Mumbai Karnataka
11,Belgaum Uttar ,Vishal Gayakwad,12,S10,Karnataka,108,2023,149478,0.07,IND,Belgaum Uttar,Belgaum,Belgaum,117761,117311,26,Mumbai Karnataka
11,Belgaum Uttar ,Shrinivas Suresh Talawar,7,S10,Karnataka,294,2023,149478,0.2,IND,Belgaum Uttar,Belgaum,Belgaum,117761,117311,26,Mumbai Karnataka
11,Belgaum Uttar ,NOTA,4,S10,Karnataka,1161,2023,149478,0.78,NOTA,Belgaum Uttar,Belgaum,Belgaum,117761,117311,26,Mumbai Karnataka
12,Belgaum Dakshin ,ABHAY PATIL,1,S10,Karnataka,77094,2023,159111,48.45,BJP,Belgaum Dakshin,Belgaum,Belgaum,118846,115988,62,Mumbai Karnataka
12,Belgaum Dakshin ,NOORAHMMAD KUTUBUDDIN MULLA,7,S10,Karnataka,511,2023,159111,0.32,AAP,Belgaum Dakshin,Belgaum,Belgaum,118846,115988,62,Mumbai Karnataka
12,Belgaum Dakshin ,PRABHAVATI BASAVARAJ MASTMARDI,3,S10,Karnataka,13015,2023,159111,8.18,INC,Belgaum Dakshin,Belgaum,Belgaum,118846,115988,62,Mumbai Karnataka
12,Belgaum Dakshin ,SHRINIVAS YALLAPPA TALUKAR,5,S10,Karnataka,952,2023,159111,0.6,JDS,Belgaum Dakshin,Belgaum,Belgaum,118846,115988,62,Mumbai Karnataka
