tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***76279,20120101,347,PARK IN A FIRE ROUTE,250,2330,AT,100 GRAYDON HALL DR,,,ON
***30667,20120101,5,PARK HWY PROHIBED TIME/DAY,40,2331,E/S,BORDEN ST,N/O,COLLEGE ST,ON
***30668,20120101,5,PARK HWY PROHIBED TIME/DAY,40,2331,E/S,BORDEN ST,N/O,COLLEGE ST,ON
***99978,20120101,8,STD VEH HWY PROHIB TIME/DAY,60,2335,NR,270 WELLINGTON ST W,,,ON
***38468,20120101,8,STD VEH HWY PROHIB TIME/DAY,60,2336,NR,40 ORCHARD VIEW BLVD,,,ON
***99979,20120101,5,PARK HWY PROHIBED TIME/DAY,40,2338,OPP,318 WELLINGTON ST W,,,ON
***68674,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2339,AT,88 MUTUAL ST,,,ON
***99308,20120101,5,PARK HWY PROHIBITED TIMES/DAYS,40,2339,NR,1139 ROYAL YORK RD,,,ON
***76280,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2340,AT,100 GRAYDON HALL DR,,,ON
***94112,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,2341,NR,1 HARCOURT AVE,,,ON
***99222,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,2341,NR,6 LIVERPOOL ST,,,ON
***99223,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,2342,NR,6 LIVERPOOL ST,,,ON
***99224,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,2342,NR,6 LIVERPOOL ST,,,ON
***99225,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,2343,NR,6 LIVERPOOL ST,,,ON
***99980,20120101,5,PARK HWY PROHIBED TIME/DAY,40,2343,OPP,255 BREMNER BLVD,,,ON
***99226,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,2344,NR,6 LIVERPOOL ST,,,ON
***99227,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,2344,NR,6 LIVERPOOL ST,,,ON
***99309,20120101,337,PARK - ON BOULEVARD,50,2344,NR,1194 ROYAL YORK RD,,,ON
***86168,20120101,5,PARK HWY PROHIBED TIME/DAY,40,2346,NR,2 CHARLES ST W,,,ON
