#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
1,Heingang,2,NONGTHOMBAM BIREN SINGH,BJP,24814,2022,31596,78.54
2,Heingang,2,PANGEIJAM SARATCHANDRA SINGH,INC,6543,2022,31596,20.71
3,Heingang,2,NOTA,NOTA,239,2022,31596,0.76
7,Khurai,3,R.K. AMUSANA SINGH,CPI,356,2022,33110,1.08
5,Khurai,3,KHURAIJAM RATANKUMAR SINGH,NCP,2461,2022,33110,7.43
2,Khurai,3,LAITONJAM JAYANANDA SINGH,NPP,8894,2022,33110,26.86
1,Khurai,3,LEISHANGTHEM SUSINDRO MEITEI,BJP,11131,2022,33110,33.62
3,Khurai,3,KHAGOKPAM KHAMBA SINGH,RPI(AT),6792,2022,33110,20.51
4,Khurai,3,TOIJAM LOKENDRO SINGH,JD(U),2922,2022,33110,8.83
6,Khurai,3,HEISNAM SUBHAS SINGH,LJP(R),385,2022,33110,1.16
8,Khurai,3,NOTA,NOTA,169,2022,33110,0.51
4,Khetrigao,4,Mohammed Amin Shah,INC,2832,2022,34100,8.3
2,Khetrigao,4,Nahakpam Indrajit Singh,BJP,12376,2022,34100,36.29
6,Khetrigao,4,Punnam Rani Wangkhem,NCP,99,2022,34100,0.29
1,Khetrigao,4,Sheikh Noorul Hassan,NPP,13118,2022,34100,38.47
3,Khetrigao,4,Wahengbam Rojit Singh @ Bullet,JD(U),5437,2022,34100,15.94
5,Khetrigao,4,NOTA,NOTA,238,2022,34100,0.7
1,Thongju,5,Thongam Biswajit Singh,BJP,15338,2022,29510,51.98
2,Thongju,5,Seram Neken Singh,INC,8649,2022,29510,29.31
3,Thongju,5,Sanglakpam Preshyojit Sharma,JD(U),4849,2022,29510,16.43
4,Thongju,5,NOTA,NOTA,674,2022,29510,2.28
3,Keirao,6,M.I. Khan,NCP,983,2022,28103,3.5
4,Keirao,6,Thongram Tony Meitei,INC,249,2022,28103,0.89
2,Keirao,6,Md. Nasiruddin Khan,NPP,9126,2022,28103,32.47
1,Keirao,6,Lourembam Rameshwor Meetei,BJP,17335,2022,28103,61.68
5,Keirao,6,Toijam Debananda Singh,SHS,202,2022,28103,0.72
6,Keirao,6,Yumnam Shanta Meetei,JD(U),111,2022,28103,0.39
7,Keirao,6,NOTA,NOTA,97,2022,28103,0.35
4,Andro,7,Keisham Ningthemjao Singh,INC,388,2022,33423,1.16
1,Andro,7,Thounaojam Shyamkumar,BJP,16739,2022,33423,50.08
2,Andro,7,Lourembam Sanjoy Singh,NPP,15282,2022,33423,45.72
3,Andro,7,Asheibam Bele Singh,IND,894,2022,33423,2.67
