NAME,VOTES,ST_NAME,AC_NAME,ST_CD,AC_NO,#,YEAR,PARTY
NIRMALJIT SINGH,846,Punjab,Rajpura,S19,111,5.0,2017,IND
RAVINDER JAIN,494,Punjab,Rajpura,S19,111,7.0,2017,BSP
SOBHA SINGH,456,Punjab,Rajpura,S19,111,8.0,2017,SADASSM
DALBIR SINGH,232,Punjab,Rajpura,S19,111,9.0,2017,IND
MAHESH KUMAR,215,Punjab,Rajpura,S19,111,10.0,2017,IND
RAJINDER KUMAR,186,Punjab,Rajpura,S19,111,11.0,2017,APP
SHER SINGH,162,Punjab,Rajpura,S19,111,12.0,2017,JJJKP
None of the Above,613,Punjab,Rajpura,S19,111,6.0,2017,NOTA
NARINDER KUMAR SHARMA,21743,Punjab,Dera Bassi ,S19,112,1.0,2017,SAD
DEEPINDER SINGH,18481,Punjab,Dera Bassi ,S19,112,2.0,2017,INC
SARABJIT KAUR,6484,Punjab,Dera Bassi ,S19,112,3.0,2017,AAP
GURMEET SINGH,255,Punjab,Dera Bassi ,S19,112,5.0,2017,BSP
DHARMINDER KUMAR,233,Punjab,Dera Bassi ,S19,112,6.0,2017,SS
AMRIK SINGH,139,Punjab,Dera Bassi ,S19,112,7.0,2017,APP
VINOD KUMAR SHARMA,116,Punjab,Dera Bassi ,S19,112,8.0,2017,IND
MANJU KAUSHAL,97,Punjab,Dera Bassi ,S19,112,9.0,2017,SAKP
MAAN SINGH,62,Punjab,Dera Bassi ,S19,112,10.0,2017,IND
None of the Above,432,Punjab,Dera Bassi ,S19,112,4.0,2017,NOTA
THEKEDAR MADAN LAL JALALPUR,18741,Punjab,Ghanaur,S19,113,1.0,2017,INC
HARPREET KAUR MUKHMAILPUR,9155,Punjab,Ghanaur,S19,113,2.0,2017,SAD
ANU RANDHAWA,7398,Punjab,Ghanaur,S19,113,3.0,2017,AAP
ANUPINDER KAUR SANDHU,755,Punjab,Ghanaur,S19,113,4.0,2017,IND
JAGJEET SINGH,371,Punjab,Ghanaur,S19,113,5.0,2017,BSP
GURSEWAK SINGH,247,Punjab,Ghanaur,S19,113,7.0,2017,DSP
SURINDER KAUR,154,Punjab,Ghanaur,S19,113,8.0,2017,IND
BALJIT SINGH,131,Punjab,Ghanaur,S19,113,9.0,2017,JJJKP
None of the Above,254,Punjab,Ghanaur,S19,113,6.0,2017,NOTA
HARINDER PAL SINGH MANN,6413,Punjab,Sanour ,S19,114,1.0,2017,INC
HARINDER PAL SINGH CHANDUMAJRA,6078,Punjab,Sanour ,S19,114,2.0,2017,SAD
KULDEEP KAUR TOHRA,4710,Punjab,Sanour ,S19,114,3.0,2017,AAP
HARMEET SINGH PATHAN MAJRA,825,Punjab,Sanour ,S19,114,4.0,2017,IND
MOHAN LAL,108,Punjab,Sanour ,S19,114,5.0,2017,IND
GURPINDER SINGH CHHINA,86,Punjab,Sanour ,S19,114,7.0,2017,BSP
RAJINDER SINGH PAWAR,72,Punjab,Sanour ,S19,114,8.0,2017,IND
LAKHWINDER SINGH SANAUR,59,Punjab,Sanour ,S19,114,9.0,2017,IND
TARSEM SINGH KHATKAR,47,Punjab,Sanour ,S19,114,10.0,2017,IND
RAJINDER SINGH,42,Punjab,Sanour ,S19,114,11.0,2017,SS
PURAN CHAND VARTIA,41,Punjab,Sanour ,S19,114,12.0,2017,IND
GURPREET SINGH,38,Punjab,Sanour ,S19,114,13.0,2017,IND
BHUPINDER SINGH MASSINGAN,36,Punjab,Sanour ,S19,114,14.0,2017,SADASSM
RAMESH SINGH,34,Punjab,Sanour ,S19,114,15.0,2017,CPM
KULDIP KAUR,27,Punjab,Sanour ,S19,114,16.5,2017,IND
KULWANT KAUR BHUNERHERI,27,Punjab,Sanour ,S19,114,16.5,2017,IND
GURVINDER SINGH,23,Punjab,Sanour ,S19,114,18.0,2017,IND
GURMAIL SINGH,13,Punjab,Sanour ,S19,114,19.0,2017,BMP
None of the Above,88,Punjab,Sanour ,S19,114,6.0,2017,NOTA
AMARINDER SINGH,42047,Punjab,Patiala ,S19,115,1.0,2017,INC
DR.BALBIR SINGH,11775,Punjab,Patiala ,S19,115,2.0,2017,AAP
JOGINDER JASWANT SINGH,6490,Punjab,Patiala ,S19,115,3.0,2017,SAD
KSHAMA KANT PANDEY,209,Punjab,Patiala ,S19,115,5.0,2017,HSS
SARBJIT SINGH,172,Punjab,Patiala ,S19,115,6.0,2017,IND
AKSHNINDER SINGH,157,Punjab,Patiala ,S19,115,7.0,2017,APP
None of the Above,617,Punjab,Patiala ,S19,115,4.0,2017,NOTA
SURJIT SINGH RAKHRA,22158,Punjab,Samana,S19,116,1.0,2017,SAD
RAJINDER SINGH,21817,Punjab,Samana,S19,116,2.0,2017,INC
JAGTAR SINGH RAJLA,12886,Punjab,Samana,S19,116,3.0,2017,AAP
RAJINDER SINGH,487,Punjab,Samana,S19,116,4.0,2017,SADASSM
DAVINDER SINGH DHIMAN,356,Punjab,Samana,S19,116,6.0,2017,BSP
AJAIB SINGH BATHOI,178,Punjab,Samana,S19,116,7.0,2017,IND
RAJINDER SINGH,133,Punjab,Samana,S19,116,8.0,2017,IND
JASPAL SINGH,112,Punjab,Samana,S19,116,9.0,2017,IND
None of the Above,443,Punjab,Samana,S19,116,5.0,2017,NOTA
NIRMAL SINGH,24352,Punjab,Shutrana ,S19,117,1.0,2017,INC
VANINDER KAUR LOOMBA,18329,Punjab,Shutrana ,S19,117,2.0,2017,SAD
PALWINDER KAUR,15880,Punjab,Shutrana ,S19,117,3.0,2017,AAP
AMARJIT SINGH,1076,Punjab,Shutrana ,S19,117,4.0,2017,SADASSM
SARDEEP SINGH,401,Punjab,Shutrana ,S19,117,5.0,2017,BSP
NARANJAN SINGH,379,Punjab,Shutrana ,S19,117,6.0,2017,CPI
BALDEV RAM,346,Punjab,Shutrana ,S19,117,7.0,2017,AITC
PARMINDER SINGH,320,Punjab,Shutrana ,S19,117,9.0,2017,IND
BIRA SINGH,272,Punjab,Shutrana ,S19,117,10.0,2017,IND
NIRMAL SINGH,269,Punjab,Shutrana ,S19,117,11.0,2017,IND
KULWINDER SINGH,250,Punjab,Shutrana ,S19,117,12.0,2017,DSP
NARINDER,126,Punjab,Shutrana ,S19,117,13.0,2017,IND
GURJANT SINGH,112,Punjab,Shutrana ,S19,117,14.0,2017,IND
None of the Above,328,Punjab,Shutrana ,S19,117,8.0,2017,NOTA
