#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
5,Hardwar,25,None Of The Above,NOTA,632,2017,93549,0.68
1,B.H.E.L. Ranipur,26,Adesh Chauhan,BJP,56644,2017,103812,54.56
2,B.H.E.L. Ranipur,26,Ambrish Kumar,INC,34404,2017,103812,33.14
3,B.H.E.L. Ranipur,26,Prashant Rai,BSP,9971,2017,103812,9.6
5,B.H.E.L. Ranipur,26,Pitambar Dutt Baluni,CPM,322,2017,103812,0.31
6,B.H.E.L. Ranipur,26,Naveen Kaushik,SP,282,2017,103812,0.27
7,B.H.E.L. Ranipur,26,Tirath Pal,IND,253,2017,103812,0.24
8,B.H.E.L. Ranipur,26,Sanjay Kumar,BMP,211,2017,103812,0.2
9,B.H.E.L. Ranipur,26,Dhanesh Kumar,IND,204,2017,103812,0.2
10,B.H.E.L. Ranipur,26,Faizan,IND,187,2017,103812,0.18
11,B.H.E.L. Ranipur,26,Irfan Ali,IND,161,2017,103812,0.16
12,B.H.E.L. Ranipur,26,Gulshan Khatri,IND,156,2017,103812,0.15
13,B.H.E.L. Ranipur,26,Toufeeq Ahmad,UKD,154,2017,103812,0.15
14,B.H.E.L. Ranipur,26,Umesh Chandr Mishra,IND,152,2017,103812,0.15
15,B.H.E.L. Ranipur,26,Pankaj Kumar,IND,98,2017,103812,0.09
16,B.H.E.L. Ranipur,26,Anand Kumar Verma,BMF,96,2017,103812,0.09
4,B.H.E.L. Ranipur,26,None Of The Above,NOTA,517,2017,103812,0.5
1,Jwalapur,27,Suresh Rathor,BJP,29513,2017,86877,33.97
2,Jwalapur,27,S.P.Singh Engineer,INC,24725,2017,86877,28.46
3,Jwalapur,27,Mulki Raj,BSP,19483,2017,86877,22.43
4,Jwalapur,27,Braj Rani,IND,9338,2017,86877,10.75
5,Jwalapur,27,Subhash Chanchal,IND,1544,2017,86877,1.78
6,Jwalapur,27,Madan Lal,IND,1077,2017,86877,1.24
8,Jwalapur,27,Arvind Kumar,IND,559,2017,86877,0.64
7,Jwalapur,27,None Of The Above,NOTA,638,2017,86877,0.73
1,Bhagwanpur,28,Mamta Rakesh,INC,44882,2017,93151,48.18
2,Bhagwanpur,28,Subodh Rakesh,BJP,42369,2017,93151,45.48
3,Bhagwanpur,28,Ram Kumar Rana,BSP,4069,2017,93151,4.37
4,Bhagwanpur,28,Prempati,SP,889,2017,93151,0.95
6,Bhagwanpur,28,Bishamber Singh,UKD,167,2017,93151,0.18
7,Bhagwanpur,28,Adesh Kumar,IND,154,2017,93151,0.17
8,Bhagwanpur,28,Prem Singh,IND,153,2017,93151,0.16
9,Bhagwanpur,28,Surendra Kumar,BMP,119,2017,93151,0.13
5,Bhagwanpur,28,None Of The Above,NOTA,349,2017,93151,0.37
1,Jhabrera,29,Desraj Karanwal,BJP,32146,2017,84415,38.08
2,Jhabrera,29,Rajpal Singh,INC,29893,2017,84415,35.41
3,Jhabrera,29,Bhagavat Singh,BSP,20468,2017,84415,24.25
4,Jhabrera,29,Vimla,SP,470,2017,84415,0.56
5,Jhabrera,29,Atar Singh,RLD,409,2017,84415,0.48
7,Jhabrera,29,Mempal,IND,151,2017,84415,0.18
8,Jhabrera,29,Tejpal Singh,BKD,149,2017,84415,0.18
9,Jhabrera,29,Reeta,IND,139,2017,84415,0.16
10,Jhabrera,29,Komal Rani,IND,121,2017,84415,0.14
11,Jhabrera,29,Hav. Harpal Singh,SHI,96,2017,84415,0.11
6,Jhabrera,29,None Of The Above,NOTA,373,2017,84415,0.44
1,Pirankaliyar,30,Furkan Ahmad,INC,29243,2017,90529,32.3
2,Pirankaliyar,30,Jaibhagwan,BJP,27894,2017,90529,30.81
3,Pirankaliyar,30,Shahzad,IND,23843,2017,90529,26.34
4,Pirankaliyar,30,Rao Sajid,BSP,6188,2017,90529,6.84
5,Pirankaliyar,30,Netra Pal,IND,1367,2017,90529,1.51
6,Pirankaliyar,30,Moti Lal Maurya,IND,519,2017,90529,0.57
8,Pirankaliyar,30,Mahak Singh Saini,IND,329,2017,90529,0.36
9,Pirankaliyar,30,Sameer Alvi,IND,227,2017,90529,0.25
10,Pirankaliyar,30,Afzal Ahmed,BSP,215,2017,90529,0.24
11,Pirankaliyar,30,Nitin,UKD,197,2017,90529,0.22
12,Pirankaliyar,30,Sushma,IND,157,2017,90529,0.17
7,Pirankaliyar,30,None Of The Above,NOTA,350,2017,90529,0.39
1,Roorkee,31,Pradeep Batra,BJP,40000,2017,72267,55.35
2,Roorkee,31,Suresh Chand Jain,INC,27458,2017,72267,38.0
3,Roorkee,31,Ram Subhag Singh,BSP,3239,2017,72267,4.48
4,Roorkee,31,Sunita Singh,SP,918,2017,72267,1.27
6,Roorkee,31,Adesh Kumar Sharma,UKD,169,2017,72267,0.23
7,Roorkee,31,Sharad Pandey,PPP,72,2017,72267,0.1
8,Roorkee,31,Yudhvijay Singh,IND,65,2017,72267,0.09
9,Roorkee,31,Narendra Singh,IND,43,2017,72267,0.06
5,Roorkee,31,None Of The Above,NOTA,303,2017,72267,0.42
1,Khanpur,32,Kunwar Parnav Singh Champion,BJP,53192,2017,107134,49.65
2,Khanpur,32,Mufti Riyasat Ali,BSP,39457,2017,107134,36.83
3,Khanpur,32,Choudhary Yashveer Singh,INC,6894,2017,107134,6.43
4,Khanpur,32,Ravinder Singh,IND,4856,2017,107134,4.53
