#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
1,Ponda,21,Lavoo Mamledar,MAG,12662.0,2012,23230.0,54.51
2,Ponda,21,Ravi Naik,INC,9472.0,2012,23230.0,40.77
3,Ponda,21,Sayad Imtiyaz,AITC,502.0,2012,23230.0,2.16
4,Ponda,21,Gitesh Gokuldas Naik,UGDP,223.0,2012,23230.0,0.96
5,Ponda,21,Mohan Govind Naik,IND,189.0,2012,23230.0,0.81
6,Ponda,21,Vaibhav P Marathe,SP,91.0,2012,23230.0,0.39
6,Ponda,21,John Mascarenhas,IND,91.0,2012,23230.0,0.39
1,Siroda,22,Mahadev Narayan Naik,BJP,12216.0,2012,22984.0,53.15
2,Siroda,22,Subhash Ankush,INC,9954.0,2012,22984.0,43.31
3,Siroda,22,Vishwas Prabhudesai,IND,422.0,2012,22984.0,1.84
4,Siroda,22,Shaila Shenvi Borkar,AITC,230.0,2012,22984.0,1.0
5,Siroda,22,Savio Fernandes,SP,162.0,2012,22984.0,0.7
1,Marcaim,23,Ramkrishna Alias Sudin,MAG,14952.0,2012,22674.0,65.94
2,Marcaim,23,Ritesh Naik,INC,7722.0,2012,22674.0,34.06
1,Mormugao,24,Milind Sagun Naik,BJP,7419.0,2012,16236.0,45.69
2,Mormugao,24,Sankalp Padmanabh,INC,6506.0,2012,16236.0,40.07
3,Mormugao,24,Nazir Khan,IND,1710.0,2012,16236.0,10.53
4,Mormugao,24,Jerry Fernandes,AITC,346.0,2012,16236.0,2.13
5,Mormugao,24,Narayan Ramchandra,IND,154.0,2012,16236.0,0.95
6,Mormugao,24,Gopal Dattaram,JMBP,64.0,2012,16236.0,0.39
7,Mormugao,24,Shantaram Vasudev,SHS,37.0,2012,16236.0,0.23
1,Vasco Da Gama,25,Jose Luis Carlos Almeida,BJP,11468.0,2012,21751.0,52.72
2,Vasco Da Gama,25,Jose Filepe D'Souza,NCP,6978.0,2012,21751.0,32.08
3,Vasco Da Gama,25,G. Karl Vaz,IND,1394.0,2012,21751.0,6.41
4,Vasco Da Gama,25,Mohammed Iqbal Shaikh,GVP,600.0,2012,21751.0,2.76
5,Vasco Da Gama,25,Adam Abdulla Jumma,UGDP,489.0,2012,21751.0,2.25
6,Vasco Da Gama,25,Amindin Mulla,AITC,328.0,2012,21751.0,1.51
7,Vasco Da Gama,25,Stanley C.Almeida,IND,143.0,2012,21751.0,0.66
8,Vasco Da Gama,25,Hamza Issak Khan,AIMF,106.0,2012,21751.0,0.49
9,Vasco Da Gama,25,Gluck D'Souza,JD(U),104.0,2012,21751.0,0.48
10,Vasco Da Gama,25,Prashant Mahadev,IND,77.0,2012,21751.0,0.35
11,Vasco Da Gama,25,Jagdish Yadu Durbhatkar,SHS,64.0,2012,21751.0,0.29
1,Dabolim,26,Mauvin Heliodoro,INC,7468.0,2012,15274.0,48.89
2,Dabolim,26,Premanand Nanoskar,MAG,6524.0,2012,15274.0,42.71
3,Dabolim,26,Pratap Mardolkar,AITC,849.0,2012,15274.0,5.56
4,Dabolim,26,Simon D'Souza,IND,433.0,2012,15274.0,2.83
1,Cortalim,27,Matanhy Saldanha,BJP,7427.0,2012,20422.0,36.37
2,Cortalim,27,Nelly Rodrigues,GVP,5158.0,2012,20422.0,25.26
3,Cortalim,27,Ramakant Borkar,UGDP,3716.0,2012,20422.0,18.2
4,Cortalim,27,Caitan Xavier,INC,3393.0,2012,20422.0,16.61
5,Cortalim,27,Tolentino D'Souza,AITC,728.0,2012,20422.0,3.56
